0 10 0	0 10 0	0 10 0
10191 11 0.2992527736794762	9972 11 0.2992527736794762	10006 9 0.2992527736794762
20158 12 0.3046399207032831	20066 11 0.3023364509413794	19976 10 0.2906333384413847
30212 13 0.3093314859083077	30146 11 0.303108402277358	30142 11 0.2963466039440277
40154 14 0.3135339527812707	40050 12 0.3030712495392627	39950 11 0.3025717516159826
50098 15 0.3170663661667857	49929 13 0.3081941993143927	49782 10 0.3025800077800037
60013 16 0.3212083067384013	59978 13 0.3132241084718996	59730 9 0.2969761364506411
70078 17 0.3248003278136076	69962 14 0.3122787776914768	69739 10 0.290891343567046
80131 18 0.3283613015493224	79894 15 0.3164870624382626	79725 10 0.2974983388249795
90138 17 0.3319499317000201	90052 16 0.3203354668926259	89775 11 0.297316703216514
100267 16 0.328176569879349	99889 15 0.3240135879640528	99738 10 0.3028070522905857
110233 15 0.324998696897366	109895 15 0.3199267867735784	109642 10 0.2962692024063293
120143 16 0.3207235519651589	119938 16 0.3201589913866735	119642 11 0.2971769835176944
130052 17 0.3240139281905921	129948 16 0.3237720951664338	129644 12 0.3024826009217926
139965 18 0.3270470858140696	139927 16 0.3238742651961957	139815 13 0.3076736640500972
149885 19 0.3297380622633896	149831 15 0.3235288331908103	149653 12 0.3119805237662124
159827 20 0.3306069901008514	159827 16 0.3193481181345952	159770 11 0.3079155537786786
169826 21 0.3308283584986688	169956 17 0.3241986144970269	169788 10 0.303329254664924
179822 20 0.3320098008269468	179904 16 0.3260016150222363	179824 9 0.297793496688736
189734 21 0.3307499532926794	189869 17 0.322820129968494	189795 10 0.2912546147839771
199706 20 0.3350605555007273	199900 16 0.3268643841624475	199797 10 0.2965220474294774
209810 21 0.3307499532926794	209860 15 0.3230440784175679	209818 11 0.2972454938018315
219690 20 0.3298690954414603	219723 15 0.3192978439929665	219805 11 0.3024468771351625
229585 21 0.3308283584986688	229604 14 0.3196693713739187	229992 11 0.3020237487290781
239457 22 0.3328153795536732	239550 14 0.3144927565326512	240177 10 0.3018730737356919
249530 23 0.3356808128314787	249410 13 0.3155113607687618	250142 11 0.2968481659083132
259571 24 0.3373656284605528	259397 14 0.3115686455176952	260019 11 0.3024664855247128
269514 25 0.3351785712117472	269485 13 0.3148380864700747	270194 10 0.3023525663384592
279562 26 0.3432768196183645	279477 14 0.3104739666273895	280034 11 0.2963255666030122
289616 25 0.3434871249832112	289405 14 0.3165750790439881	290043 12 0.3018530684151791
299721 24 0.3371660787907028	299386 13 0.3154804001536824	300041 11 0.3074043066989068
309623 25 0.3405966788506336	309373 14 0.3118314705193304	309889 11 0.3024093274661048
319525 24 0.3420299784110071	319414 13 0.3156506835366188	319854 12 0.3014443882961317
329652 25 0.3424527677246407	329396 12 0.3128026471758579	329930 12 0.3072453755414994
339749 24 0.3422458181275603	339350 13 0.3062645137694854	339993 13 0.3066177596443908
349747 23 0.3411634792538363	349326 14 0.3113674015196794	349997 13 0.3117710689677139
359881 24 0.3406696574433207	359347 14 0.3161335670638949	359971 14 0.3112537318328881
369849 25 0.343003350662802	369246 15 0.3154701253121946	369948 15 0.315734469992372
379811 24 0.3442071253944107	379261 16 0.3198293799153672	379917 16 0.3200937245955446
389863 25 0.3438955607395502	389173 16 0.3237038797452974	389938 17 0.3237718456669715
399839 24 0.3455862887082451	399086 17 0.3243102655063516	400081 18 0.3266257379268742
409826 25 0.3452487607657684	408930 18 0.3274560721370024	410018 19 0.329804361075021
419877 24 0.3471142557694995	419070 19 0.3302260151661017	420243 20 0.3324544655729711
429867 25 0.343959472294964	429119 19 0.3324998744750874	430227 20 0.3357239065253506
439724 26 0.3470457131304856	439035 20 0.3328647674385226	440062 21 0.3357693154274669
449784 25 0.3474526467532979	448940 21 0.3355503796494058	450137 22 0.3388830687154474
459803 26 0.346832916352349	458895 20 0.3380803041958899	459985 21 0.3400470404109306
469719 27 0.3478564616328328	468871 20 0.3358860811757662	469868 20 0.3384370884268043
