#priceratio seed hitratio
100 10 0.463875
100 11 0.448799
100 12 0.467782
100 13 0.449804
100 14 0.396273
100 15 0.349570
100 16 0.328441
100 17 0.463707
100 18 0.469787
100 19 0.481932
100 1 0.437754
100 20 0.397957
100 2 0.409482
100 3 0.398244
100 4 0.468775
100 5 0.393164
100 6 0.466695
100 7 0.388200
100 8 0.328079
100 9 0.497873
10 10 0.467376
10 11 0.452555
10 12 0.471850
10 13 0.453265
10 14 0.399929
10 15 0.353260
10 16 0.332346
10 17 0.467712
10 18 0.473574
10 19 0.485718
10 1 0.441341
10 20 0.402131
10 2 0.413292
10 3 0.402037
10 4 0.472824
10 5 0.397052
10 6 0.470872
10 7 0.391691
10 8 0.331699
10 9 0.501811
1 10 0.469068
1 11 0.454426
1 12 0.473762
1 13 0.454717
1 14 0.401495
1 15 0.355142
1 16 0.334259
1 17 0.469819
1 18 0.475238
1 19 0.487526
1 1 0.443067
1 20 0.404364
1 2 0.415153
1 3 0.404023
1 4 0.475059
1 5 0.399028
1 6 0.472865
1 7 0.393192
1 8 0.333294
1 9 0.503871
2 10 0.468958
2 11 0.454205
2 12 0.473653
2 13 0.454613
2 14 0.401411
2 15 0.354890
2 16 0.334073
2 17 0.469552
2 18 0.475127
2 19 0.487443
2 1 0.442914
2 20 0.404118
2 2 0.415036
2 3 0.403790
2 4 0.474804
2 5 0.398787
2 6 0.472624
2 7 0.393135
2 8 0.333229
2 9 0.503606
5 10 0.468245
5 11 0.453499
5 12 0.472754
5 13 0.454073
5 14 0.400772
5 15 0.354205
5 16 0.333249
5 17 0.468667
5 18 0.474448
5 19 0.486670
5 1 0.442206
5 20 0.403182
5 2 0.414273
5 3 0.402961
5 4 0.473831
5 5 0.397967
5 6 0.471806
5 7 0.392533
5 8 0.332556
5 9 0.502794
