#priceratio seed hitratio
100 10 0.599373
100 11 0.599373
100 12 0.599373
100 13 0.599373
100 14 0.599373
100 15 0.599373
100 16 0.599373
100 17 0.599373
100 18 0.599373
100 19 0.599373
100 1 0.599373
100 20 0.599373
100 2 0.599373
100 3 0.599373
100 4 0.599373
100 5 0.599373
100 6 0.599373
100 7 0.599373
100 8 0.599373
100 9 0.599373
10 10 0.599373
10 11 0.599373
10 12 0.599373
10 13 0.599373
10 14 0.599373
10 15 0.599373
10 16 0.599373
10 17 0.599373
10 18 0.599373
10 19 0.599373
10 1 0.599373
10 20 0.599373
10 2 0.599373
10 3 0.599373
10 4 0.599373
10 5 0.599373
10 6 0.599373
10 7 0.599373
10 8 0.599373
10 9 0.599373
1 10 0.599373
1 11 0.599373
1 12 0.599373
1 13 0.599373
1 14 0.599373
1 15 0.599373
1 16 0.599373
1 17 0.599373
1 18 0.599373
1 19 0.599373
1 1 0.599373
1 20 0.599373
1 2 0.599373
1 3 0.599373
1 4 0.599373
1 5 0.599373
1 6 0.599373
1 7 0.599373
1 8 0.599373
1 9 0.599373
2 10 0.599373
2 11 0.599373
2 12 0.599373
2 13 0.599373
2 14 0.599373
2 15 0.599373
2 16 0.599373
2 17 0.599373
2 18 0.599373
2 19 0.599373
2 1 0.599373
2 20 0.599373
2 2 0.599373
2 3 0.599373
2 4 0.599373
2 5 0.599373
2 6 0.599373
2 7 0.599373
2 8 0.599373
2 9 0.599373
5 10 0.599373
5 11 0.599373
5 12 0.599373
5 13 0.599373
5 14 0.599373
5 15 0.599373
5 16 0.599373
5 17 0.599373
5 18 0.599373
5 19 0.599373
5 1 0.599373
5 20 0.599373
5 2 0.599373
5 3 0.599373
5 4 0.599373
5 5 0.599373
5 6 0.599373
5 7 0.599373
5 8 0.599373
5 9 0.599373
