0 10 0	0 10 0	0 10 0
1049 12 0.2992527736794761	950 9 0.2992527736794761	1024 9 0.2992527736794761
2025 14 0.3091808109149214	1965 10 0.2909966096583158	2045 10 0.2909512007561995
3030 16 0.3164721605158398	2964 12 0.2969049270359587	3044 8 0.2965024390399271
4050 14 0.3232752226579488	3981 14 0.3075553786232555	4011 8 0.2843035597677002
5011 16 0.316149105743635	5016 12 0.315624588161052	4946 6 0.2834525397839806
6010 18 0.3253118414041685	6073 10 0.3072880853130704	5948 4 0.2671992942513625
6976 20 0.3301168267965222	7053 10 0.2972568460273606	6935 4 0.2431844720178132
8057 22 0.3337434360776724	8102 8 0.2969111191589746	7931 5 0.2435377632562571
9089 20 0.3359486427445741	9092 6 0.2840573037985306	8943 7 0.2551754161700841
10103 19 0.328263140697838	10102 6 0.2672544336325038	9935 8 0.2752220742074246
11117 20 0.325807566991083	11042 7 0.2666558617409697	10928 8 0.2824712810810041
12123 19 0.3276158143432174	12028 7 0.275959968866816	11937 9 0.2820511013049272
13149 20 0.3296024538108091	13020 8 0.2747972786912975	12933 10 0.2892793729054531
14094 19 0.3294967907885767	14011 8 0.2825167920510823	13856 9 0.2960175821987229
15123 18 0.3222674418040096	15035 7 0.2820709591939397	14882 10 0.2894787002939639
16107 19 0.3204031472030736	16060 8 0.2747147170510859	15927 11 0.2962708241528334
17061 20 0.3274165190050327	17017 8 0.2829302353416805	16870 12 0.3011254485972757
18061 21 0.3300152620118671	18022 9 0.2818404216908873	17875 11 0.3064462514459128
19061 20 0.3325347509721506	19002 10 0.2891058460295084	18910 11 0.3018795607217085
20063 21 0.3287320049193658	19978 10 0.2951906389131035	19869 11 0.3022510881026607
21110 20 0.326806417970169	20967 11 0.2952422399382357	20859 10 0.3022510881026607
22080 21 0.3303095673369474	22000 11 0.3011866780334712	21883 11 0.2966472167732982
23102 20 0.3329478245499093	23029 12 0.3010473552656142	22904 11 0.3025916548685336
24107 21 0.330064359265519	23986 12 0.3062192069353309	23925 10 0.3015699545709151
25139 21 0.3277694632124065	24980 12 0.3040395796337447	24995 11 0.2961101691809602
26137 22 0.3312017668288701	25987 12 0.3061248961386277	25948 10 0.3012372470381007
27126 23 0.3256708778724895	27033 13 0.3057843293727549	26989 11 0.2961363666244889
28081 23 0.3354862988085301	28004 13 0.3095427892710031	27985 11 0.3017402379538515
