0 10 0	0 10 0	0 10 0
992 14 0.2992527736794761	988 12 0.2992527736794761	968 9 0.2992527736794761
1963 10 0.318752234032722	1953 15 0.3074989123586108	1917 5 0.2908503009055178
2984 15 0.2894193891350507	2956 19 0.3190026861292101	2921 4 0.2559104642674296
3972 10 0.3051820259088395	3890 21 0.332185800015744	3965 4 0.2432231444344508
4954 8 0.2823121304441234	4875 18 0.3380839446198609	4927 4 0.2428651523993217
6011 11 0.2771388247475111	5901 18 0.3290491715665472	5907 3 0.2417840785679242
7005 17 0.2936406653401123	6898 21 0.3288478255005695	6887 7 0.22333637585927
8016 20 0.3175767829683177	7913 20 0.3376442018177723	7871 3 0.2678783070376797
9025 17 0.3254701416502566	8938 24 0.3350692653001343	8920 3 0.2250483787938694
9981 17 0.3249408959896654	9981 25 0.340037675305624	9968 1 0.2235885574406664
10975 16 0.3221495831525638	10991 27 0.3395281225540182	10935 3 0.1711784282343407
11987 17 0.3201558892333903	12103 28 0.3463137783283455	11962 4 0.2251047429905523
12993 19 0.3141412607353131	13125 28 0.3456812971917244	13004 6 0.2389579511285192
14015 16 0.3304626145475522	14063 27 0.3492572482333896	14056 6 0.2635897004753997
14987 15 0.3146997726196178	15086 26 0.3498682497344939	15104 4 0.2648122478400715
15968 15 0.3154686125505386	16094 24 0.3474464416216202	16115 4 0.2398831575091405
16990 18 0.30887571759355	17056 26 0.3426923269014279	17107 5 0.2426076916361234
17986 19 0.3270881467333688	18019 25 0.3468609911336197	18102 4 0.2545897858957065
19020 17 0.3242923244023996	19079 24 0.3461996928091172	19123 2 0.2415037659221674
20017 18 0.3179804960844413	20110 25 0.3432258815012953	20112 3 0.2034670207911277
20960 21 0.3237154571207423	21112 25 0.3451183848218073	21142 4 0.2248917664260387
21947 20 0.3315435010085752	22135 25 0.3458335750301403	22143 5 0.2404587636879364
22929 21 0.3279076266460038	23171 25 0.3453031164917807	23111 4 0.2528477352872416
24016 23 0.3269620671343332	24188 26 0.3453794860089764	24116 5 0.240280821626533
24985 24 0.3257815267826837	25224 25 0.347681844364185	25156 4 0.2516295541631579
26008 26 0.3343618267169773	26206 23 0.3472102903806688	26176 5 0.2389233177345922
27023 25 0.3423618462970246	27210 25 0.3418702034917823	27168 4 0.2513151848408137
28016 26 0.3392683098037001	28258 26 0.3472102903806688	28137 3 0.2387297324150434
28968 27 0.3434598022816593	29285 25 0.3495890182530731	29123 5 0.2240289972858274
29923 26 0.3346720985578033	30288 25 0.3464300828806691	30115 5 0.2534539658572427
30887 26 0.3281537587754303	31327 25 0.3464300828806691	31154 5 0.2534993747593591
31850 27 0.3322954498475838	32326 25 0.3461885900830501	32161 6 0.2531278473784069
32802 28 0.3400057733105118	33296 25 0.3461885900830501	33126 7 0.2620961055463923
33806 27 0.3409301688178811	34331 24 0.3458820799937646	34171 6 0.2703248473084823
34760 28 0.3430970716468963	35351 25 0.3448217821293471	35176 5 0.2637762349246984
35734 29 0.3378650679250254	36347 25 0.3467562013595049	36144 6 0.2513197474577728
36771 28 0.3379207665290991	37323 24 0.3471648814785523	37195 6 0.2643975112672907
37770 28 0.3372131258303544	38339 24 0.3440384785678395	38224 7 0.2644800729075023
38773 29 0.3351511488660696	39311 25 0.3440013258297443	39233 6 0.2742754217926075
39794 28 0.3415623983041824	40327 25 0.3462373899096753	40221 6 0.2642835920810372
40808 27 0.3398792770831875	41281 24 0.3462373899096753	41246 7 0.2644233117798569
41761 28 0.3402417374268665	42195 24 0.344205665889268	42238 7 0.2736820100035867
42747 27 0.3420589043847739	43194 24 0.3435554929726016	43226 7 0.2732117035173812
