0 10 0	0 10 0	0 10 0
9864 9 0.2992527736794762	9942 10 0.2992527736794762	10078 10 0.2992527736794762
19966 10 0.2929368082032884	19987 11 0.2972093730842389	19929 11 0.2967635402270962
29881 11 0.2989514236927038	29787 10 0.3026543132561942	29890 12 0.303108402277358
40010 10 0.304019914539771	39830 11 0.2971639641821226	39778 13 0.3072860212720651
50048 11 0.2988007486993177	49997 11 0.3022456331371468	49686 13 0.3131786995697832
60072 12 0.304019914539771	60143 10 0.3029886878990511	59637 13 0.3122333687893604
70121 13 0.3085866052639755	70061 11 0.2960937589208796	69500 13 0.3126420489084079
80138 14 0.3126175185749219	80090 12 0.3021063103692896	79451 13 0.3116853659024558
90199 15 0.3167886505836125	90024 11 0.3075099697211391	89445 14 0.3120259326683287
100223 14 0.3198083425743517	100032 12 0.3026904339737868	99379 13 0.3152775344091626
110194 13 0.3152674523627137	110068 13 0.3075247128711769	109566 12 0.3118862129695091
120117 14 0.3120498052305053	120166 12 0.3121913508117528	119532 13 0.307310392833166
129985 15 0.3150355426126192	130183 13 0.3079788018923407	129423 14 0.3123403019906729
139925 16 0.3174581823903668	140119 13 0.3123275775181019	139650 13 0.3161027538803161
149910 17 0.3222839386129467	150192 14 0.311748614016118	149739 14 0.3118408040673928
159754 18 0.3239416907580721	160101 14 0.3161403035493738	159868 13 0.3159276052578672
169705 17 0.3235851560266198	169942 15 0.3154883614547029	169838 14 0.3114692766864406
179616 18 0.325621570636916	179887 16 0.3196773326749391	179888 15 0.3145911387069419
189674 19 0.3293001907072673	189798 17 0.3235484415803606	189776 14 0.3201504857231902
199666 20 0.3308567390624915	199753 16 0.327394842700807	199772 15 0.315556077876915
209725 21 0.3354048647585329	209738 15 0.3233519607538955	209777 16 0.3199286013151215
219889 22 0.3363646891895312	219897 16 0.319532747736607	219684 15 0.3233519607538955
229892 23 0.3367146462078898	229884 17 0.3237168537173307	229683 16 0.3195489652016485
239840 24 0.3388995041227068	239862 16 0.326919421475627	239646 17 0.3239082198048212
249603 23 0.335414886895526	249797 15 0.3235271093763444	249589 18 0.3267992648028191
259520 22 0.3389523753269193	259673 16 0.319894397207034	259349 18 0.3296635186286216
269392 23 0.3374718997573691	269653 16 0.323470348248699	269345 19 0.3311101165103292
279336 24 0.3376206719475447	279715 16 0.3234216958535743	279564 20 0.3332234229154034
289369 23 0.3420982516706552	289830 17 0.3231297814828261	289445 21 0.3359657962539321
299602 22 0.3417904317091932	299848 17 0.3270587442434842	299553 21 0.3390795495419125
309563 23 0.339008357138557	309911 16 0.3265478940946748	309620 22 0.337955679214532
319490 24 0.3397241468765206	320065 15 0.3237231932718471	319666 23 0.3403489347601659
329365 25 0.3435870149614708	329991 16 0.3205445701237002	329600 23 0.3418637165057656
339376 24 0.34440929767719	339988 16 0.3237686021739634	339532 24 0.3435097892074844
349499 25 0.344352184448432	350045 17 0.3236664321442015	349586 24 0.3445882506327485
359614 26 0.344753140290948	360098 18 0.3271984639423038	359617 24 0.3448152951433305
369457 25 0.3424742122034149	370080 19 0.3302927562722343	369586 25 0.3460867444025891
379404 26 0.3459045803088992	380149 20 0.3328990736145721	379530 26 0.3477373579945195
389241 27 0.3475574291891931	390143 21 0.3362090582295555	389493 27 0.3489808633140143
399233 28 0.3482558497870615	400096 22 0.3388119613687267	399592 28 0.3512323880439516
409251 29 0.3513256838314792	410039 23 0.3409585640142284	409614 27 0.3528865694781912
419344 30 0.3514107059605783	420095 22 0.3438015561467322	419465 28 0.3504782759195189
429182 29 0.3548550160159558	430264 22 0.342053242904534	429451 29 0.3524503196685732
439234 30 0.3526212076379805	440200 23 0.3419139201366769	439518 28 0.3550683777492142
449261 31 0.3553269442486653	449991 23 0.3440709134979226	449267 29 0.3525865463749223
459274 32 0.3560618308298633	459991 23 0.3437447950190867	459323 29 0.3529860552378773
469170 33 0.3534765174027756	469954 24 0.3435324936585426	469499 30 0.3536444843185648
479188 34 0.3575518189362205	479961 25 0.3451623488952199	479599 29 0.3565620062795423
489075 35 0.3587971294577064	490086 26 0.3473609653740549	489705 28 0.3536331320930357
499099 36 0.3625160436911994	500049 27 0.3488834110922645	499770 27 0.3524162629919858
508979 37 0.361883415123078	509881 26 0.352297728065682	509728 28 0.3507847860088044
519063 38 0.3601055426446564	519803 25 0.3500786382658279	519597 29 0.3528362953365624
529037 39 0.36612378184516	529744 26 0.3481769987286463	529470 29 0.3543562836023891
539036 40 0.3682626159846802	539630 26 0.3486839362722533	539495 30 0.356438606113726
548965 41 0.3704065648631751	549503 25 0.3488431622926613	549648 29 0.3570694655038429
559020 40 0.3722935779784486	559457 24 0.347116376514928	559729 28 0.3553439272234203
569053 39 0.3705363045835077	569428 23 0.3444602800904206	569668 29 0.3532367192915886
579077 38 0.3695405522299555	579320 24 0.3429273327130302	579690 28 0.3539427382438292
589096 37 0.3681931303844637	589197 24 0.3451977778188492	589861 29 0.3530891403597104
599120 38 0.3679822179838441	599146 24 0.3456064579378967	599943 29 0.3558953210348335
609023 39 0.3692975397537943	609440 24 0.3447890976998018	609825 28 0.3553893361255367
618888 40 0.3693656531069688	619615 24 0.3436944188094961	619816 29 0.3533615937724087
628911 39 0.3702249292547096	629577 25 0.3443382521716462	629737 30 0.3558434251467005
638941 38 0.3695405522299555	639382 26 0.3467154081974388	639970 29 0.3568878298953773
649057 37 0.3669687117738256	649497 27 0.3468950478102069	649961 28 0.3554460972531822
659224 38 0.3662339752523634	659650 28 0.3499949954612802	659932 29 0.3531913103894723
669019 39 0.3671406169032662	669725 28 0.3512923926646054	669991 28 0.3549352471043729
679017 38 0.3693656531069688	679676 27 0.3516408186635369	680141 29 0.353924339809351
689029 39 0.3671114254661914	689626 27 0.3488060057742713	690283 29 0.3550439041201514
698864 38 0.3668583309435809	699599 28 0.3468861074128122	700364 29 0.3548103726235529
708828 39 0.3672168389889615	709512 29 0.3498052511202939	710337 30 0.3546710498556958
718966 38 0.3661139492981731	719687 29 0.3516513578649563	720409 30 0.3573986800441867
728931 37 0.3654395522519064	729552 29 0.3535812362049026	730389 31 0.3550552563456805
739152 38 0.3642527453867472	739541 28 0.353751519587839	740360 32 0.3563472128510562
749100 39 0.3650569675084258	749539 29 0.3520075828729384	750388 31 0.3583452045441771
759102 40 0.3658967826981166	759590 28 0.3549662077194523	760417 32 0.3579073329880548
769130 41 0.3682303284860974	769527 27 0.3524843763451604	770394 31 0.3581315763001295
779253 40 0.3680754606846761	779565 26 0.3506908721430637	780327 32 0.3554070421731466
789321 39 0.364099740140011	789569 27 0.3476930945217523	790314 33 0.3560881757048923
799318 40 0.3662191133214812	799536 28 0.351144564233265	800264 32 0.3580696550699707
809488 41 0.3640135380758284	809523 27 0.3526625189611555	810226 33 0.3570789153874316
819489 42 0.3653424208942099	819490 26 0.3506337140844556	820062 34 0.357153220863622
829555 42 0.3629057467717148	829422 26 0.3471026313627389	830020 35 0.3596602501653416
839560 43 0.3665589802717895	839348 26 0.3477578169504182	839844 34 0.3611569747571776
