0 10 0	0 10 0	0 10 0
1002 9 0.2992527736794761	1058 9 0.2992527736794761	1029 9 0.2992527736794761
2054 10 0.2944972232032877	2059 10 0.2931225718937645	2053 9 0.2923052116556696
3058 11 0.3018751377766971	3066 9 0.2998843702270949	2984 9 0.2911741171847708
4070 10 0.3061079698682957	4091 8 0.2950483221517002	4004 8 0.2930131777204842
5072 11 0.3021905674717555	5068 7 0.2892586871318615	5050 7 0.2866559314241908
6119 12 0.3052651266624049	6038 8 0.2819024449890077	6082 6 0.2816609521913888
7087 11 0.3083958345729287	7019 8 0.2900017418937659	7052 5 0.2755132854433248
8068 12 0.3021841031675082	7989 9 0.2885032481239254	8050 6 0.2659774159988846
9104 13 0.3090325912230606	8961 10 0.2941174396583144	9065 7 0.2752294798050974
10109 12 0.3105382807842082	9938 9 0.2973497278725986	10106 8 0.2832327988031096
11101 11 0.3089572537263676	10928 8 0.2916282062059345	11062 9 0.2916585090497045
12094 10 0.3028565042180778	11897 9 0.284003638732393	12008 9 0.2980157553459979
13076 9 0.2990605825426277	12907 10 0.2907324124096386	13027 8 0.2956480054499295
14096 10 0.2949276786547412	13872 11 0.2954838348038163	14001 9 0.287582685835566
15106 11 0.3008726327602279	14917 12 0.3008936862786817	14916 8 0.2947236099425603
16065 10 0.3059938151480193	15918 13 0.3062194280825813	15877 7 0.2906141043010277
17069 11 0.3012715841909163	16931 14 0.3106205985953999	16915 7 0.2834622022176976
18130 12 0.3052559204886282	17963 15 0.3126639991906371	17937 8 0.283415046819346
19104 12 0.307301305738678	18893 15 0.3153658288665618	18925 8 0.2895452486050576
20085 13 0.3091507658656105	19902 15 0.3180903629935447	19891 9 0.2877061880693441
21132 14 0.3169024685357926	20948 16 0.3188380618477111	20906 8 0.2929474232713157
22164 13 0.3188153883734191	21905 17 0.3216809097537472	21906 9 0.2880642197975694
23165 12 0.3151039459922408	22916 18 0.3232585352133053	22962 8 0.2940372369221088
24158 11 0.3099803005433712	23952 19 0.3264371583614521	23958 7 0.2878371752869875
25130 10 0.3071268244377572	24954 18 0.3268813345541036	24976 8 0.2824655879569126
26140 11 0.3030868611008645	25986 19 0.3219839898925387	25961 9 0.2878598797380457
27129 10 0.3097258566661549	26960 19 0.324284107527697	26977 9 0.2926278144602658
28124 11 0.3044538337975948	27966 20 0.3245906176169826	28004 9 0.2939726165614048
29118 10 0.3103246865628146	28954 20 0.3272243339397327	28995 9 0.2933089479920115
30105 9 0.307291226738117	29988 19 0.324691460763241	29986 10 0.2939726165614048
31081 10 0.3029505995379728	31002 20 0.3226002923618814	31016 11 0.3011537100818097
32005 11 0.3069934888231038	32014 21 0.3259564230364831	32037 12 0.3055766550931456
32988 12 0.3107498223054811	33030 21 0.3281336177183132	33017 13 0.3101402497558419
33966 13 0.3137906707165248	34011 22 0.3272765246908665	34060 14 0.3107842702425887
34947 14 0.3191794848503747	35009 21 0.3303725861988016	35130 14 0.3148710714330631
35972 15 0.3218099576801164	36074 22 0.3250814170817404	36087 15 0.3168792926041331
36981 14 0.3235249857956947	37074 21 0.3268306918337238	37079 15 0.3206936403819092
37988 13 0.3182172424760589	38094 20 0.3279762345916598	38104 16 0.3210504246128236
38960 14 0.315088082596289	39085 20 0.3286533137571452	39082 17 0.3220867206289796
39945 13 0.3189194488636957	40054 21 0.3251503413081672	40116 18 0.3259712804907003
40952 12 0.3151703550439421	40984 22 0.3248012405265993	41098 19 0.3289228591282651
41969 11 0.3144124380527111	41969 23 0.3270286186229811	42121 19 0.3297521263999037
42984 10 0.3116828056977474	42949 24 0.3290040767179363	43115 18 0.3308638336285029
43969 11 0.3081581413052211	43935 24 0.3309103660178221	44103 18 0.3292147734990133
44968 12 0.3143816043554731	44867 23 0.3308771939302371	45137 17 0.3299567225246649
45950 13 0.3171104096597464	45948 24 0.3322969592788759	46151 18 0.3269820651868486
46959 12 0.3204234359667026	47000 23 0.3373081559767194	47113 19 0.328934647977853
47958 13 0.3143865189787449	47978 23 0.3349241886156094	48106 20 0.3321568022163745
48940 13 0.3161042538351991	48987 24 0.3375433092198221	49077 20 0.3350175630497065
49912 12 0.3155392157633368	49978 23 0.341273326179382	50095 21 0.3339958627520879
50932 13 0.3144849456212411	50945 22 0.341905807316003	51102 22 0.3346276067312071
51965 14 0.3177068944567863	51923 21 0.3397101035708103	52128 21 0.337398581780809
52944 13 0.3193046251454865	52890 22 0.3387116237345013	53141 22 0.3347005853238941
53936 12 0.3161259135384396	53897 22 0.3410204010304185	54138 22 0.3393291972782572
54962 11 0.3115656757775979	54866 22 0.3391627641256575	55093 23 0.3398400474270664
55923 10 0.3058112311248852	55892 21 0.3370132128501482	56134 24 0.3392058035225061
56942 11 0.3014498599545047	56929 22 0.3352517749993837	57095 23 0.3415897708836161
57942 12 0.3079129620680695	57880 22 0.3359800866112504	58109 23 0.339786315055244
58978 13 0.3118786728529002	58861 22 0.3339366860160131	59065 22 0.338220592521231
59955 14 0.3160486306821042	59927 22 0.3313297285105816	60041 21 0.3376556286017178
60948 15 0.320770459435728	60925 22 0.3280587395274482	61086 20 0.3350549369350523
61929 14 0.3230655010301934	61916 22 0.3243125051028467	62073 21 0.3330196450723359
62891 15 0.3179627233532917	62905 23 0.3191188619232856	63052 20 0.3337007786040816
63908 16 0.3200717207985073	63881 23 0.3222721332634325	64056 19 0.3330196450723359
64908 15 0.3218475332205586	64890 23 0.3268285037826104	65043 18 0.332016521143765
65899 14 0.318150186605897	65876 22 0.3260305307868151	66063 19 0.3312188779289574
66947 13 0.3153504751722166	66785 21 0.3278851389357533	67103 18 0.3326530566466464
67950 12 0.3119190145893079	67745 22 0.3257952974178971	68041 19 0.3296417294536653
68947 13 0.3072176592741555	68715 23 0.32422404620262	69028 20 0.3334606126899661
69957 12 0.3123822145768253	69685 23 0.3297743325916604	70048 21 0.3360659484488935
71012 13 0.3087221822164063	70712 24 0.3320220732464213	71066 22 0.3387904825758764
72012 12 0.3117517294359017	71685 24 0.3333843403099128	72098 22 0.3414223616753141
73002 12 0.3088587831719487	72710 25 0.3315267034051517	73071 21 0.3434495448055097
74003 13 0.3090134686025149	73715 26 0.3364367915800361	74052 21 0.3394541511452697
75006 12 0.3137311037407267	74700 25 0.3346697740140265	75050 20 0.3386607428555439
76082 13 0.3092755720235169	75668 24 0.3367643366754491	76032 19 0.3339886386085695
77037 12 0.3137840132204249	76667 23 0.3347676423795316	77043 19 0.3303697112845442
78078 13 0.3133991487008942	77644 22 0.3351495636812605	78073 20 0.3284114523807752
79112 14 0.3169943112011471	78706 22 0.3330706256843671	79113 20 0.3307727152908271
80161 15 0.3177298571242219	79730 22 0.3296074597404911	80116 20 0.3294104482273357
81161 16 0.322341209425351	80747 23 0.3324049464428374	81148 21 0.3306875735993589
82172 17 0.3250708648570839	81762 22 0.3338368075845724	82100 21 0.3336133517243576
83221 18 0.3262541498508945	82706 21 0.3316046145430362	83145 21 0.3310874815441338
84239 17 0.3294077198116667	83689 22 0.3303661899398622	84154 22 0.3287886558744921
85314 17 0.325926130281659	84713 22 0.3320505948316792	85194 21 0.3322975255834851
86330 18 0.3281060975319227	85760 23 0.3325313949717351	86235 22 0.326045324231211
87339 18 0.3313548825551441	86742 22 0.3344197777543901	87241 22 0.3281311850985569
88385 17 0.3300607288448271	87741 23 0.3294258241320255	88272 21 0.3256749763022617
89378 16 0.3285849395260448	88729 24 0.3346055414448662	89251 22 0.3230742846355962
90393 15 0.3261067184003582	89697 23 0.3356272417424848	90233 23 0.3262652920297747
91397 16 0.3226330848199554	90663 23 0.3316863977373845	91238 23 0.3319444335501454
92363 17 0.3252679892671498	91727 23 0.3319353835241992	92259 22 0.3332783937655643
93391 18 0.3262374597876492	92740 22 0.3348545272316809	93234 23 0.3323857633364613
94345 17 0.3320259195337055	93725 23 0.3318641676994514	94277 22 0.3316136709790477
95329 18 0.3289064277580949	94729 23 0.3319637640880219	95285 22 0.3295347329821542
96306 19 0.3320907893938717	95698 23 0.3343720576466943	96279 21 0.3322722410811704
97293 20 0.3334700434312723	96709 24 0.332440557560244	97262 21 0.330618944235933
98227 21 0.3378527608325526	97731 24 0.3375733852458992	98317 21 0.3280403672943241
99223 22 0.3409478324914669	98742 23 0.3377436686288356	99356 22 0.330618944235933
100239 23 0.3403078323483267	99755 22 0.3356151263421302	100312 23 0.332063772939636
101253 22 0.3458118989619986	100753 22 0.3331275082261893	101301 24 0.3346876177619262
102250 21 0.3451218588132964	101754 21 0.3306891646587635	102289 23 0.3341524414155544
103230 22 0.3404965446688103	102748 22 0.328772850016852	103277 22 0.3319728141139682
104203 23 0.3427492436777155	103712 22 0.33077754984324	104301 21 0.3267193810509385
105141 24 0.3441978344149671	104683 22 0.3339521186251263	105318 22 0.3275243570430017
106130 23 0.34710324097559	105740 22 0.3309347345044121	106351 22 0.3302096743908841
107128 24 0.3456833542127744	106677 22 0.3332563123235388	107304 23 0.3266285632467058
108113 23 0.3453497167274193	107678 23 0.3314504498927338	108334 24 0.3318407154896296
109134 22 0.3429686928319322	108692 22 0.336904367114508	109369 25 0.3341524414155544
110124 21 0.3390563704120899	109676 22 0.3316547899522575	110405 25 0.3330353824234915
111124 22 0.3380472607646036	110636 23 0.3331177300487377	111378 24 0.3369570603335426
112106 23 0.3390857115488421	111657 23 0.3351245480246229	112378 25 0.3348542153573532
113071 22 0.3419099044392609	112648 23 0.337883138828193	113357 24 0.3332211461139676
114060 23 0.3385231900614157	113614 24 0.3383354813531216	114361 25 0.3309325374473019
115033 24 0.3418644955371445	114668 24 0.3424709349387208	115340 25 0.3337087758014673
115956 25 0.3431804804504021	115624 24 0.3408021577859437	116312 25 0.332965721039563
116962 24 0.3468050438359623	116638 24 0.3392128462118703	117303 24 0.3355824090240194
118006 25 0.348417994750255	117605 24 0.339727064603419	118279 24 0.3333221809211765
118984 26 0.3495696446412832	118616 25 0.3403221208207133	119255 25 0.3343949662336761
119981 27 0.3477419260575915	119654 26 0.3394888674668778	120276 26 0.3354575345431994
121027 28 0.3497905285464535	120634 26 0.3412353637021232	121267 25 0.3348257395300993
122077 29 0.3530273784648083	121666 27 0.3428165665436758	122261 26 0.33262515427369
123053 29 0.3574410454593101	122686 26 0.3449356486424403	123230 26 0.3386586636769229
124008 30 0.3582583203423257	123676 26 0.3422529619350548	124271 25 0.3373629619358521
124976 29 0.3576191513842077	124676 25 0.3405160714291032	125277 26 0.3382679475191523
125941 30 0.3576166208571548	125716 26 0.3411616512874885	126272 26 0.3403988713916331
126912 31 0.3599904309638441	126708 27 0.3440206656245853	127344 26 0.3424422719868703
127910 30 0.3581681192973746	127715 27 0.3437121179563586	128372 27 0.343361802254727
128931 31 0.3555922544445717	128777 27 0.3440696360092206	129351 26 0.3458100988938352
129918 32 0.3572951929027426	129834 28 0.3440355793326333	130386 25 0.3442018669438801
130959 33 0.3564445868613126	130789 29 0.3449649648292461	131375 24 0.3402984478581065
131949 32 0.3569042609346084	131764 28 0.3466459889642442	132387 23 0.3405976306018232
132964 31 0.3590718161980461	132779 29 0.3436513501608794	133388 23 0.3364229602371238
134000 30 0.3586020343945333	133701 28 0.3458513331772075	134352 23 0.3384209519302445
134967 29 0.3597693613088037	134696 27 0.3409592509639796	135362 22 0.3385282820625197
135927 30 0.3582722030949078	135660 27 0.3423823335213769	136400 23 0.3360406639465788
136918 31 0.3589977438618114	136695 28 0.3433529488041145	137430 24 0.3377336262754829
137923 30 0.3610959830303705	137655 29 0.3429418360653109	138485 24 0.3392246974363238
138921 31 0.3596975751767816	138658 29 0.3475541670065718	139490 25 0.3390625227859081
139980 32 0.3586323831460637	139587 30 0.3489164340700632	140504 24 0.340669997920828
140923 33 0.3597601170459983	140606 31 0.3468081159162333	141447 25 0.3365082720418616
141934 34 0.3607625350045001	141577 31 0.3512096882557473	142483 25 0.3358655739022643
142962 33 0.3608325085963119	142566 31 0.3522313885533659	143515 26 0.3382981936584992
143952 32 0.3578304910407354	143567 32 0.3517196798328779	144485 27 0.3397457895380554
144938 33 0.3551382444123353	144532 33 0.3511723403877251	145498 27 0.3384629464700239
145984 34 0.3537607919043049	145550 34 0.3545083466625252	146540 26 0.3411096367648073
147009 35 0.3528020990601051	146585 33 0.358457464176529	147563 27 0.3394973504485918
147996 36 0.3503972397881474	147552 34 0.3584093841625234	148557 27 0.3417554037477893
148998 36 0.3530769850925596	148580 35 0.3567749758942169	149513 26 0.3388362600403076
149961 35 0.3529646791471469	149576 34 0.3587559869474706	150489 27 0.336899312548933
150914 34 0.3483982464280683	150632 35 0.3579970095835254	151466 28 0.3384994357663675
151884 33 0.3507953785549178	151698 35 0.356434409128344	152433 27 0.3431781744308589
152866 32 0.351680422860348	152711 34 0.3584778097235811	153467 28 0.3436160459869812
153844 33 0.3522780798093356	153678 34 0.3563046694080114	154447 29 0.3424483885039886
154814 34 0.3496710789416982	154667 35 0.3583480700032486	155450 28 0.341210268931505
155798 33 0.351428026636032	155686 36 0.3592367870875264	156545 27 0.3371452774353968
156806 34 0.3464494318127647	156684 35 0.3571447340971645	157561 27 0.3349278509652905
157798 33 0.3451275414673841	157641 34 0.3562365560548368	158536 27 0.3362711560696564
158806 32 0.3475931685348211	158590 35 0.3546018355786471	159579 27 0.3315870531667281
159855 33 0.3478350881078358	159623 36 0.3543963005480151	160569 26 0.3323646806154711
160832 34 0.348618237075179	160626 36 0.3550125642195945	161544 25 0.3304342201101131
161870 33 0.353543645984685	161613 36 0.3534654180546293	162510 25 0.3239809165208812
162869 32 0.3535963830996142	162611 36 0.355100138530819	163502 25 0.3237520858209679
163881 31 0.3490496216452846	163617 36 0.3571435391260562	164534 24 0.3283497371602515
164896 29 0.3493374816497724	164626 35 0.3590053041128278	165508 25 0.3309043808659509
165885 30 0.3501952072059142	165597 35 0.3578052116997521	166440 26 0.3284774496974538
166910 29 0.3480349127770925	166603 35 0.3551455474329354	167419 26 0.3297414763477127
