0 10 0	0 10 0	0 10 0
117 11 0.2992527736794761	111 10 0.2992527736794761	100 9 0.2992527736794761
213 12 0.3046399207032832	213 11 0.2975809004651911	206 8 0.2914506986794796
331 13 0.3094821609016937	311 12 0.3035624912985218	294 8 0.2841398654387423
430 14 0.3141539589447829	413 13 0.3076575486530173	379 8 0.2835547098137425
526 15 0.31831993085096	500 14 0.3118050802807627	490 7 0.2835547098137425
637 16 0.3217836298164143	595 15 0.3169865603615426	587 7 0.2761984676708886
737 17 0.3255206327609153	706 14 0.3208917259435515	680 8 0.2766071477899361
832 18 0.3279571351023636	811 15 0.3169039987213311	798 7 0.2844742400815992
946 19 0.3311186675373511	897 14 0.3208545732054563	901 6 0.2763006377006505
1047 20 0.3337664017904106	1008 15 0.3164953186022836	1003 7 0.2676260630814178
1142 21 0.3361407407404573	1124 14 0.3198896340354832	1095 6 0.2766267561794863
1243 22 0.3393693885307708	1229 15 0.3165407275044	1209 6 0.267285496315545
1342 23 0.3402398241090017	1317 14 0.320343723056647	1307 6 0.2671977745728201
1438 22 0.3426449446853833	1420 15 0.316404500798051	1409 5 0.2670780601945133
1534 21 0.3398360092294667	1520 15 0.3207978120778108	1522 6 0.2566030520926662
1622 20 0.3360352251497254	1615 15 0.3207152504375992	1621 6 0.2665930105582701
1712 21 0.3317928383628139	1717 15 0.319677332674939	1713 7 0.2670842523175291
1796 20 0.3360352251497254	1812 16 0.3198070723952716	1816 6 0.2757019637411545
1887 19 0.3336421907513421	1906 17 0.3239310263238411	1912 7 0.2677129909622175
1986 18 0.331491091445079	2012 18 0.3269146583040763	1998 6 0.2762014616644347
2087 19 0.3295061525132952	2114 18 0.3306756358787156	2097 7 0.2665668131147415
2202 18 0.3304322384093651	2208 17 0.3294836521981606	2185 8 0.2762796003596351
2286 17 0.3249017646885327	2297 18 0.3267137091690613	2279 7 0.2844794001841124
2373 18 0.3169185677554341	2392 17 0.329892332317208	2377 8 0.2759652310372908
2463 17 0.310827951327574	2477 18 0.3268272314243523	2465 9 0.2840816753596315
2575 16 0.3159869403449936	2566 19 0.3300884162127106	2586 10 0.2904647221684911
2679 15 0.3170035620154019	2671 20 0.3330190828558797	2688 9 0.296197890923685
2769 14 0.3160412688528829	2767 21 0.3350170745490004	2793 9 0.2899995757847989
2880 13 0.3119120888656026	2862 22 0.3371091275393623	2898 9 0.2894530018493596
2980 14 0.307629437935538	2956 21 0.3404528739679323	3017 10 0.2900663168909315
3067 15 0.3119725227720957	3057 20 0.3382250365657224	3134 11 0.2968175001562346
3177 14 0.3160877045263928	3147 20 0.3349750565713928	3240 12 0.3010281438070264
3275 13 0.3119725227720957	3246 21 0.3351453399543293	3325 13 0.3070871361780554
3361 14 0.3074851024966681	3345 21 0.3371644143520041	3430 14 0.3113368378355627
3469 14 0.3131448657082237	3459 22 0.3368949549328519	3531 14 0.3156669010016605
3559 13 0.3131448657082237	3559 21 0.3400617835609684	3644 13 0.3154607917641322
3662 14 0.3099147282593568	3677 22 0.3367976501426025	3742 14 0.3111616892131137
