#ordinal id q req
1 1 5 387279
2 2 5 193294
3 3 5 128542
4 4 5 96915
5 5 5 77125
6 6 5 64005
7 7 5 55672
8 8 5 48359
9 9 5 43127
10 10 5 38439
11 11 5 35219
12 12 1 32270
13 13 5 29682
14 14 2 27826
15 15 4 25778
16 16 5 24179
17 17 3 22710
18 18 5 21683
19 19 5 20275
20 21 4 18342
21 22 2 17496
22 23 2 16595
23 24 2 16338
24 25 5 15554
25 26 5 14764
26 28 4 13894
27 29 1 13590
28 30 2 12951
29 32 5 12078
31 35 4 11041
32 37 5 10551
33 38 3 10213
34 39 3 9717
35 40 2 9816
36 41 5 9438
37 42 1 9381
40 46 1 8222
42 48 5 8093
61 73 4 5226
71 85 2 4683
75 91 3 4231
81 98 5 3881
82 104 3 3649
83 105 2 3775
86 110 3 3533
87 111 3 3471
88 113 3 3343
89 115 1 3303
90 116 1 3434
93 122 1 3230
94 123 1 2971
103 145 1 2624
104 147 3 2672
105 148 1 2665
107 154 1 2503
111 159 1 2385
127 191 1 2040
132 203 3 1898
133 205 1 1911
134 206 1 1922
138 225 5 1715
139 231 2 1651
143 241 1 1575
145 246 1 1541
148 251 1 1520
151 255 1 1480
158 291 2 1368
160 297 1 1285
162 303 1 1326
163 309 1 1236
167 314 2 1195
168 315 1 1253
169 319 1 1190
170 322 2 1201
171 325 1 1180
172 333 2 1169
173 338 1 1158
174 343 1 1073
175 344 1 1171
177 349 1 1150
182 377 2 1043
183 387 1 1018
186 393 1 980
187 394 1 969
189 408 1 910
190 409 1 947
193 418 1 964
194 421 1 940
200 462 1 854
201 463 1 865
204 483 1 768
206 487 1 793
207 489 1 773
208 494 1 816
209 497 1 848
211 510 1 803
212 521 1 795
214 528 1 735
217 535 1 788
218 539 1 709
219 551 1 690
220 553 2 722
221 554 1 651
222 560 1 692
224 578 1 669
225 585 1 643
227 602 2 603
229 614 1 655
230 618 1 657
231 625 1 623
237 653 1 578
239 669 1 588
241 690 1 634
242 696 1 545
243 701 2 515
244 714 1 522
246 733 1 580
248 738 1 529
249 748 2 497
250 752 1 474
254 778 1 525
256 791 1 465
257 795 1 496
258 807 1 461
260 819 1 484
262 826 1 476
263 840 1 454
265 856 1 462
266 860 1 451
267 868 1 471
268 905 2 422
269 919 1 442
271 932 1 411
272 959 2 395
273 960 1 379
274 970 1 371
275 972 1 375
276 974 1 446
277 997 1 400
279 1012 1 381
280 1032 1 355
281 1036 1 351
283 1083 1 353
284 1086 1 359
285 1097 1 346
286 1129 1 337
287 1160 1 342
288 1165 1 356
289 1178 1 330
293 1201 1 345
294 1224 1 319
296 1235 1 312
297 1254 1 299
298 1270 1 309
300 1295 1 295
302 1306 1 324
303 1308 1 278
304 1347 1 291
305 1374 1 292
306 1376 1 301
307 1396 1 299
308 1403 1 270
310 1434 1 290
311 1441 1 232
313 1460 1 264
315 1493 1 282
316 1511 1 251
317 1520 1 236
318 1524 1 290
320 1554 1 247
321 1574 1 234
322 1581 1 240
323 1592 1 259
325 1605 1 233
326 1617 1 259
327 1634 1 253
328 1646 1 238
329 1714 2 245
331 1745 1 233
332 1747 1 216
333 1748 1 210
334 1765 1 195
335 1768 1 235
338 1815 1 210
339 1860 2 228
340 1875 1 215
341 1879 2 199
343 1898 1 202
344 1904 1 223
347 1925 1 184
348 1965 1 203
349 1979 1 188
352 2071 1 198
354 2114 1 196
357 2157 1 192
358 2221 1 180
