#1.filename_list 2.decision 3.decision_root 4.target_decision_probability 5.xi 6.forwarding 7.network 8.replacement 9.alpha 10.q 11.ctlg 12.csize 13.priceratio 14.id_rep 15.weights 16.simtime 17.lambda 18.window 19.variance 20.p_hit 21.stabilization_time 22.hit_on_node_0 23.total_cost 24.hdistance 25.client_requests 26.free_link_load 27.cheap_link_load 28.expensive_link_load 29.decision_yes 30.decision_no 31.decision_ratio 32.cost_fraction 33.cost_reduction_wrt_fix 34.potential_reduction_wrt_costopt 35.potential_reduction_wrt_costprobtailcons 36.cost_savings_wrt_fix 37.potential_savings_wrt_costprobtailcons 38.potential_savings_wrt_costopt 39.free_repo_cardinality 40.cheap_repo_cardinality 41.expensive_repo_cardinality 42.free_repo_popularity 43.cheap_repo_popularity 44.expensive_repo_popularity 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-lce/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id1.sca lce lce NaN 1 nrr cost_scenario lru 1 0 1e5 1e3 1 1 0.333_0.333_0.334 1800 100 60 0.05 0.50844 76.4 0.50844 59845 NaN 180626 29828 28944 30017 88789 0 1 0.47644 NaN NaN NaN NaN NaN NaN 33396 33040 33564 0.29767 0.3067 0.3067 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-lce/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id2.sca lce lce NaN 1 nrr cost_scenario lru 1 0 1e5 1e3 1 2 0.333_0.333_0.334 1800 100 60 0.05 0.50635 77.5 0.50635 59000 NaN 179725 29357 29722 29643 88722 0 1 0.47847 NaN NaN NaN NaN NaN NaN 33328 33052 33620 0.31027 0.31297 0.31297 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-lce/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id3.sca lce lce NaN 1 nrr cost_scenario lru 1 0 1e5 1e3 1 3 0.333_0.333_0.334 1800 100 60 0.05 0.50553 77.1 0.50553 58508 NaN 180218 30604 29313 29195 89112 0 1 0.55187 NaN NaN NaN NaN NaN NaN 33497 33170 33333 0.40944 0.3185 0.3185 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-lce/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id4.sca lce lce NaN 1 nrr cost_scenario lru 1 0 1e5 1e3 1 4 0.333_0.333_0.334 1800 100 60 0.05 0.50427 77.6 0.50427 60386 NaN 179928 30293 28810 30093 89196 0 1 0.51707 NaN NaN NaN NaN NaN NaN 33272 33152 33576 0.29907 0.34947 0.34947 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-lce/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id5.sca lce lce NaN 1 nrr cost_scenario lru 1 0 1e5 1e3 1 5 0.333_0.333_0.334 1800 100 60 0.05 0.50482 77.9 0.50482 59699 NaN 180025 29446 29747 29952 89145 0 1 0.57139 NaN NaN NaN NaN NaN NaN 33101 33496 33403 0.41885 0.31227 0.31227 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-lce/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id6.sca lce lce NaN 1 nrr cost_scenario lru 1 0 1e5 1e3 1 6 0.333_0.333_0.334 1800 100 60 0.05 0.50645 76.8 0.50645 59659 NaN 180169 29835 29824 29263 88922 0 1 0.48686 NaN NaN NaN NaN NaN NaN 33436 33143 33421 0.32066 0.35999 0.35999 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-lce/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id7.sca lce lce NaN 1 nrr cost_scenario lru 1 0 1e5 1e3 1 7 0.333_0.333_0.334 1800 100 60 0.05 0.50408 77.6 0.50408 59464 NaN 180480 29313 30151 30040 89504 0 1 0.56684 NaN NaN NaN NaN NaN NaN 33104 33508 33388 0.26774 0.3166 0.3166 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-lce/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id8.sca lce lce NaN 1 nrr cost_scenario lru 1 0 1e5 1e3 1 8 0.333_0.333_0.334 1800 100 60 0.05 0.506 77.4 0.506 58972 NaN 179898 29444 29898 29528 88870 0 1 0.51156 NaN NaN NaN NaN NaN NaN 33481 33258 33261 0.32491 0.35879 0.35879 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-lce/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id9.sca lce lce NaN 1 nrr cost_scenario lru 1 0 1e5 1e3 1 9 0.333_0.333_0.334 1800 100 60 0.05 0.5071 78.4 0.5071 59333 NaN 180142 29459 29536 29797 88792 0 1 0.55104 NaN NaN NaN NaN NaN NaN 33408 33169 33423 0.40092 0.31104 0.31104 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-lce/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id10.sca lce lce NaN 1 nrr cost_scenario lru 1 0 1e5 1e3 1 10 0.333_0.333_0.334 1800 100 60 0.05 0.50713 77.2 0.50713 58630 NaN 180151 29457 30161 29173 88791 0 1 0.45747 NaN NaN NaN NaN NaN NaN 33053 33534 33413 0.39398 0.28552 0.28552 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-lce/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id11.sca lce lce NaN 1 nrr cost_scenario lru 1 0 1e5 1e3 1 11 0.333_0.333_0.334 1800 100 60 0.05 0.5072 77.3 0.5072 59053 NaN 179960 29631 29410 29643 88684 0 1 0.51292 NaN NaN NaN NaN NaN NaN 33093 33554 33353 0.35828 0.32609 0.32609 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-lce/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id12.sca lce lce NaN 1 nrr cost_scenario lru 1 0 1e5 1e3 1 12 0.333_0.333_0.334 1800 100 60 0.05 0.50456 77.7 0.50456 59910 NaN 180413 29650 30260 29474 89384 0 1 0.46595 NaN NaN NaN NaN NaN NaN 33375 33440 33185 0.29392 0.42036 0.42036 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-lce/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id13.sca lce lce NaN 1 nrr cost_scenario lru 1 0 1e5 1e3 1 13 0.333_0.333_0.334 1800 100 60 0.05 0.50624 77.1 0.50624 59618 NaN 180034 29512 30106 29276 88894 0 1 0.47498 NaN NaN NaN NaN NaN NaN 33151 33481 33368 0.41536 0.28236 0.28236 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-lce/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id14.sca lce lce NaN 1 nrr cost_scenario lru 1 0 1e5 1e3 1 14 0.333_0.333_0.334 1800 100 60 0.05 0.50783 77.4 0.50783 59512 NaN 180347 29026 29249 30486 88761 0 1 0.53065 NaN NaN NaN NaN NaN NaN 32965 33555 33480 0.35423 0.3761 0.3761 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-lce/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id15.sca lce lce NaN 1 nrr cost_scenario lru 1 0 1e5 1e3 1 15 0.333_0.333_0.334 1800 100 60 0.05 0.50501 78.4 0.50501 59628 NaN 180075 29918 29710 29508 89136 0 1 0.48168 NaN NaN NaN NaN NaN NaN 33354 33285 33361 0.40057 0.28606 0.28606 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-lce/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id16.sca lce lce NaN 1 nrr cost_scenario lru 1 0 1e5 1e3 1 16 0.333_0.333_0.334 1800 100 60 0.05 0.50565 77.3 0.50565 59678 NaN 180069 29862 29339 29816 89017 0 1 0.49364 NaN NaN NaN NaN NaN NaN 33301 33208 33491 0.31763 0.32934 0.32934 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-lce/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id17.sca lce lce NaN 1 nrr cost_scenario lru 1 0 1e5 1e3 1 17 0.333_0.333_0.334 1800 100 60 0.05 0.50502 77.4 0.50502 59367 NaN 180498 28432 30935 29975 89342 0 1 0.51106 NaN NaN NaN NaN NaN NaN 33433 33238 33329 0.32156 0.32376 0.32376 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-lce/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id18.sca lce lce NaN 1 nrr cost_scenario lru 1 0 1e5 1e3 1 18 0.333_0.333_0.334 1800 100 60 0.05 0.50645 76.7 0.50645 59190 NaN 179416 29988 29202 29360 88550 0 1 0.56689 NaN NaN NaN NaN NaN NaN 33458 33217 33325 0.30132 0.27822 0.27822 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-lce/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id19.sca lce lce NaN 1 nrr cost_scenario lru 1 0 1e5 1e3 1 19 0.333_0.333_0.334 1800 100 60 0.05 0.50642 76.9 0.50642 59223 NaN 179551 29514 29709 29400 88623 0 1 0.53784 NaN NaN NaN NaN NaN NaN 33369 33388 33243 0.27594 0.33426 0.33426 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-lce/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id20.sca lce lce NaN 1 nrr cost_scenario lru 1 0 1e5 1e3 1 20 0.333_0.333_0.334 1800 100 60 0.05 0.50606 77.2 0.50606 59646 NaN 180392 29626 30020 29457 89103 0 1 0.52992 NaN NaN NaN NaN NaN NaN 33322 33296 33382 0.32455 0.30216 0.30216 
~/software/ccnsim/results/sim_vs_che/variance-0.05/window-60/simtime-1800/lambda-100/cost_scenario/q-0/F-nrr/D-fix0.01/xi-1/R-lru/alpha-1/ctlg-1e5/cachesize-1e3/weights-0.333_0.333_0.334/priceratio-1/ccn-id1.sca fix0.01 fix 0.01 1 nrr cost_scenario lru 1 0 1e5 1e3 1 1 0.333_0.333_0.334 1800 100 60 0.05 0.54059 1791.3 0.54059 55565 NaN 179682 28015 26982 27550 842 81705 0.0102 0.44237 NaN NaN NaN NaN NaN NaN 33396 33040 33564 0.29767 0.3067 0.3067 
