rank	at_0_Kbps	At_490_Kbps	at_1_Gbps
1	2	2	2
2	2	2	2
3	2	2	2
4	2	2	2
5	2	2	2
6	1	2	2
7	1	2	2
8	1	1	2
9	1	1	2
10	2	1	1
11	1	1	1
12	1	2	2
13	1	1	1
14	2	1	1
15	1	1	1
16	1.75	1	1
17	1	1	1
18	1	1	1
19	1	1	1
20	1	1.77778	2
21	1	1	1
22	1	1	1
23	1	1	1
24	1	1	1
25	1	2	1
26	1	1	1
27	1	1	1
28	1	1	1
29	1	2	1
30	1	1	1
31	1	1	1
32	1	2	1
33	1	1	1
34	1	1	1
35	1	1	2
36	1	1	1
37	1	1	1
38	1	1	1
39	1	1	1
40	1	2	1
41	1	1	1
42	1	1	1
43	1	1	1
44	1	1	1
45	1	2	1
46	1	1	1
47	1	1	1
48	1	1	1
49	1	1	2
50	1	1	1
51	1	1	1
52	NaN	NaN	NaN
53	1	1	1
54	1	1	1
55	1	2	1
56	1	1	1
57	1	1	1
58	1	1	1
59	1	1	1
60	1	1	1
61	1	1	2
62	1	1	1
63	1	1	1
64	1	1	1
65	1	1	1
66	NaN	NaN	NaN
67	1	1	1
68	1	1	1
69	1	1	1
70	1	1	1
71	1	1	1
72	1	1	1
73	1	1	1
74	1	1	1
75	1	1	1
76	1	2	1
77	1	1	1
78	1	1	1
79	1	1	1
80	NaN	NaN	NaN
81	1	1	1
82	1	1	1
83	1	1	1
84	1	1	1
85	1	1	1
86	1	1	2
87	1	1	1
88	1	1	1
89	1	1	2
90	1	1	1
91	1	1	1
92	1	1	1
93	NaN	NaN	NaN
94	1	1	1
95	1	1	1
96	1	1	1
97	1	1	1
98	1	1	1
99	1	1	1
100	1	1	1
101	1	1	1
102	1	1	1
103	1	1	1
104	1	1	1
105	1	1	1
106	1	1	1
107	1	1	1
108	1	1	1
109	1	1	1
110	1	1	1
111	1	1	2
112	1	1	1
113	1	1	1
114	1	1	1
115	NaN	NaN	NaN
116	1	1	1
117	NaN	NaN	NaN
118	NaN	NaN	NaN
119	NaN	NaN	NaN
120	2	1	1
121	1	1	1
122	1	1	1
123	1	1	1
124	1	1	1
125	1	2	1
126	1	1	1
127	1	1	1
128	1	1	1
129	1	1	1
130	1	2	1
131	1	1	1
132	1	2	1
133	1	2	1
134	1	2	1
135	2	1	1
136	1	1	2
137	2	1	2
138	1	1	1
139	1	1	1
140	1	1	1
141	NaN	NaN	NaN
142	1	1	1
143	1	1	1
144	1	1	1
145	1	1	1
146	NaN	NaN	NaN
147	1	1	1
148	1	1	2
149	1	1	1
150	1	1	1
151	1	1	1
152	1	1	1
153	1	1	1
154	1	1	1
155	1	1	2
156	1	1	1
157	NaN	NaN	NaN
158	1	1	2
159	1	1	1
160	NaN	NaN	NaN
161	1	1	1
162	1	1	1
163	NaN	NaN	NaN
164	NaN	NaN	NaN
165	1	1	1
166	NaN	NaN	NaN
167	1	1	1
168	1	1	1
169	NaN	NaN	NaN
