#rank q_avg rank q_avg
1 2 0 0
2 2 0 0
3 2 0 0
4 2 0 0
5 1.9 0 0.196
6 1.272073 0 0.2665092222931702
7 1.2 0 0.2613333333333334
8 1.380952 0 0.3067244050002864
9 1.4 0 0.3200666597236687
10 1.3 0 0.2993949454037815
11 1.6 0 0.3200666597236687
12 1.58125 0 0.3120746104699963
13 1.5 0 0.3266666666666667
14 1.6 0 0.3200666597236687
15 1.4 0 0.3200666597236687
16 1.5 0 0.3266666666666667
17 1.8 0 0.2613333333333334
18 1.5 0 0.3266666666666667
19 1.6 0 0.3200666597236687
20 1.3 0 0.2993949454037815
21 1.5 0 0.3266666666666667
22 1.3 0 0.2993949454037815
23 1.444444444444444 0 0.3443369007738902
24 1.3 0 0.2993949454037815
25 1.4 0 0.3200666597236687
26 1.625 0 0.3586432768085859
27 1.333333333333333 0 0.3266666666666667
28 1.528571 0 0.312492630968467
29 1.5 0 0.3704051835490427
30 1.555555555555556 0 0.3443369007738902
31 1.555555555555556 0 0.3443369007738902
32 1.6 0 0.3200666597236687
33 1.8 0 0.2613333333333334
34 1.625 0 0.3586432768085859
35 1.5 0 0.3704051835490427
36 1.619047142857143 0 0.3614786866327808
37 1.714285714285714 0 0.3614784456460256
38 1.666666666666667 0 0.4132042809286681
39 1.555555555555556 0 0.3443369007738902
40 1.4 0 0.4800999895855027
41 1.25 0 0.49
42 1.857142857142857 0 0.28
43 1.428571428571429 0 0.3959797974644666
44 2 0 0
45 1.6 0 0.4800999895855027
46 1.4 0 0.4800999895855027
47 1.428571428571429 0 0.3959797974644667
48 1.8 0 0.3919999999999993
49 1.571428571428571 0 0.3959797974644667
50 1.6 0 0.4800999895855031
51 1.333333333333333 0 0.6533333333333339
52 1.857142857142857 0 0.28
53 1.666666666666667 0 0.6533333333333339
54 1.75 0 0.49
55 1.75 0 0.49
56 1.5 0 0.4382693235899588
57 1.25 0 0.49
58 1.25 0 0.49
59 1.6 0 0.4800999895855031
60 1 0 0
61 1.75 0 0.49
62 1.5 0 0.5658032638058332
63 1.6 0 0.4800999895855031
64 1.5 0 0.4382693235899588
65 1 0 0
66 1.5 0 0.3704051835490427
67 1.4 0 0.4800999895855027
68 1.5 0 0.9800000000000001
69 1 0 0
70 1 0 0
71 1.5 0 0.9800000000000001
72 1.5 0 0.9800000000000001
73 1.333333333333333 0 0.6533333333333339
74 2 0 0
75 2 0 0
76 2 0 0
77 1.666666666666667 0 0.6533333333333339
78 1.6 0 0.4800999895855031
79 1 0 0
80 1.5 0 0.9800000000000001
81 1.25 0 0.49
82 NaN 0 NaN
83 1.5 0 0.9800000000000001
84 1.5 0 0.9800000000000001
85 2 0 0
86 1 0 0
87 NaN 0 NaN
88 1 0 0
89 1 0 0
90 1.8 0 0.3919999999999993
91 2 0 0
92 1.666666666666667 0 0.6533333333333339
93 2 0 0
94 2 0 0
95 2 0 0
96 1.666666666666667 0 0.6533333333333339
97 2 0 0
98 2 0 0
99 2 0 0
100 NaN 0 NaN
101 1 0 0
102 NaN 0 NaN
103 1.6 0 0.4800999895855031
104 NaN 0 NaN
105 1 0 0
106 1 0 0
107 1.5 0 0.9800000000000001
108 NaN 0 NaN
109 1.5 0 0.5658032638058332
110 1.666666666666667 0 0.6533333333333339
111 NaN 0 NaN
112 1.5 0 0.9800000000000001
113 1.5 0 0.9800000000000001
114 1 0 0
115 1 0 0
116 2 0 0
117 NaN 0 NaN
118 NaN 0 NaN
119 NaN 0 NaN
120 2 0 0
121 1.75 0 0.49
122 1.5 0 0.9800000000000001
123 2 0 0
124 2 0 0
125 NaN 0 NaN
126 2 0 0
127 2 0 0
128 NaN 0 NaN
129 NaN 0 NaN
130 2 0 0
131 1.5 0 0.9800000000000001
132 NaN 0 NaN
133 NaN 0 NaN
134 2 0 0
135 2 0 0
136 NaN 0 NaN
137 2 0 0
138 NaN 0 NaN
139 NaN 0 NaN
140 2 0 0
141 1.5 0 0.9800000000000001
142 NaN 0 NaN
143 2 0 0
144 NaN 0 NaN
145 NaN 0 NaN
146 2 0 0
147 NaN 0 NaN
148 2 0 0
149 NaN 0 NaN
150 NaN 0 NaN
151 NaN 0 NaN
152 NaN 0 NaN
153 NaN 0 NaN
154 2 0 0
155 NaN 0 NaN
156 2 0 0
157 1.5 0 0.9800000000000001
158 NaN 0 NaN
159 NaN 0 NaN
160 NaN 0 NaN
161 1 0 0
162 NaN 0 NaN
163 2 0 0
164 NaN 0 NaN
165 NaN 0 NaN
166 2 0 0
167 NaN 0 NaN
168 NaN 0 NaN
169 2 0 0
170 2 0 0
171 2 0 0
172 NaN 0 NaN
173 NaN 0 NaN
174 NaN 0 NaN
175 NaN 0 NaN
176 1.5 0 0.9800000000000001
177 NaN 0 NaN
178 NaN 0 NaN
179 NaN 0 NaN
180 2 0 0
181 NaN 0 NaN
182 NaN 0 NaN
183 NaN 0 NaN
184 2 0 0
185 2 0 0
186 1.5 0 0.9800000000000001
187 NaN 0 NaN
188 1.5 0 0.9800000000000001
