#rank	alpha_0_mean	alpha_0_conf	alpha_0.5_mean	alpha_0.5_conf	alpha_0.8_mean	alpha_0.8_conf	alpha_1_mean	alpha_1_conf	alpha_1.2_mean	alpha_1.2_conf	alpha_2_mean	alpha_2_conf
1	1	0	1	0	2	0	2	0	2	0	2	0
2	0.95	0.098	1	0	2	0	2	0	2	0	2	0
3	0.875	0.1603901493	1	0	1.001149	0.00225204	2	0	2	0	2	0
4	1	0	1	0	1	0	1.9	0.196	2	0	2	0
5	0.9666667	0.065333268	1	0	1	0	1.6	0.3200666597	2	0	1.9	0.196
6	0.88125	0.1282285557	1	0	1	0	1	0	1.028571	0.05599916	1.272073	0.2665092223
7	0.962963	0.07259252	1	0	1	0	1	0	1.003774	0.00739704	1.2	0.2613333333
8	0.9722222222	0.0544444444	1	0	1	0	1	0	1.073333	0.14373268	1.380952	0.306724405
9	0.9375	0.1225	1	0	1	0	0.9	0.196	1	0	1.4	0.3200666597
10	1	0	1	0	1	0	0.9305556	0.0950830597	1	0	1.3	0.2993949454
11	1	0	1	0	1	0	1	0	1.065203	0.1220249871	1.6	0.3200666597
12	1	0	1	0	1	0	0.9011904	0.131075849	1	0	1.58125	0.3120746105
13	0.9666667	0.065333268	1	0	1	0	0.812	0.2462780708	1	0	1.5	0.3266666667
14	1	0	1	0	1	0	0.9	0.196	1	0	1.6	0.3200666597
15	1	0	1	0	1	0	0.9878676	0.015862096	1	0	1.4	0.3200666597
16	1	0	1	0	1	0	0.9971429	0.005599916	1.136	0.2008019761	1.5	0.3266666667
17	1	0	1	0	1	0	1	0	1.075	0.147	1.8	0.2613333333
18	1	0	0.9	0.196	1	0	1	0	1.018095	0.0267549876	1.5	0.3266666667
19	1	0	0.9	0.196	1	0	1	0	0.9954545	0.00890918	1.6	0.3200666597
20	1	0	0.9	0.196	1	0	1	0	1.004348	0.00852208	1.3	0.2993949454
21	1	0	1	0	1	0	0.8947368	0.1951233038	1.1	0.196	1.5	0.3266666667
22	1	0	1	0	0.8	0.2613333333	1	0	1.135417	0.1769710448	1.3	0.2993949454
23	1	0	1	0	0.9	0.196	0.9944444	0.010888976	1	0	1.4444444444	0.3443369008
24	1	0	1	0	1	0	1	0	1	0	1.3	0.2993949454
25	1	0	1	0	1	0	0.9	0.196	1	0	1.4	0.3200666597
26	1	0	1	0	1	0	1	0	1.2	0.2613333333	1.625	0.3586432768
27	1	0	1	0	1	0	1.094118	0.18447128	1	0	1.3333333333	0.3266666667
28	1	0	1	0	1	0	1.1	0.196	1.14	0.202849216	1.528571	0.312492631
29	0.9833333	0.032666732	0.9	0.196	1	0	1	0	1.1	0.196	1.5	0.3704051835
30	1	0	1	0	1	0	1	0	1.1	0.196	1.5555555556	0.3443369008
31	1	0	0.9	0.196	0.9888889	0.021777756	1	0	1	0	1.5555555556	0.3443369008
32	1	0	1	0	1	0	1	0	1.14	0.202849216	1.6	0.3200666597
33	1	0	1	0	1	0	1	0	1	0	1.8	0.2613333333
34	1	0	1	0	0.9	0.196	1	0	1.1	0.196	1.625	0.3586432768
35	1	0	0.9	0.196	1	0	1	0	1.011111	0.02177756	1.5	0.3704051835
36	0.962963	0.07259252	1	0	0.9	0.196	1	0	1	0	1.6190471429	0.3614786866
37	1	0	1	0	1	0	1	0	1	0	1.7142857143	0.3614784456
38	1	0	0.8	0.2613333333	0.9	0.196	1	0	1	0	1.6666666667	0.4132042809
39	1	0	1	0	0.9857143	0.027999972	1.1	0.196	1.1	0.196	1.5555555556	0.3443369008
40	1	0	0.9	0.196	0.9857143	0.027999972	1	0	1.1	0.196	1.4	0.4800999896
41	1	0	0.9	0.196	0.9444445	0.0743851978	1	0	1	0	1.25	0.49
42	1	0	1	0	0.8757143	0.1933622501	1	0	1	0	1.8571428571	0.28
43	1	0	1	0	0.9833333	0.032666732	0.955556	0.2345543302	1.1	0.196	1.4285714286	0.3959797975
44	1	0	0.8	0.2613333333	1	0	1	0	1.1	0.196	2	0
45	1	0	0.9	0.196	1	0	1.1	0.196	1	0	1.6	0.4800999896
46	1	0	0.9	0.196	1	0	1	0	1.1	0.196	1.4	0.4800999896
47	1	0	0.7	0.2993949454	0.9	0.196	1	0	1.1	0.196	1.4285714286	0.3959797975
48	1	0	0.9	0.196	1	0	1	0	1.033333	0.06533268	1.8	0.392
49	1	0	0.8	0.2613333333	0.9818182	0.035636328	1	0	1	0	1.5714285714	0.3959797975
50	1	0	0.8833333	0.195090486	0.8833333	0.195090486	1	0	1.1111111111	0.2177777778	1.6	0.4800999896
51	1	0	0.7333333	0.2720043782	0.9	0.196	1	0	1	0	1.3333333333	0.6533333333
52	1	0	0.8	0.2613333333	1	0	1	0	1.075	0.147	1.8571428571	0.28
53	1	0	0.8	0.2613333333	1	0	1	0	1	0	1.6666666667	0.6533333333
54	1	0	0.4444444444	0.3443369008	1	0	1	0	1	0	1.75	0.49
55	1	0	0.7	0.2993949454	1	0	1	0	1	0	1.75	0.49
56	1	0	0.9	0.196	1	0	1	0	1	0	1.5	0.4382693236
57	1	0	0.9	0.196	1	0	1	0	1	0	1.25	0.49
58	1	0	0.9	0.196	1	0	1	0	1	0	1.25	0.49
59	1	0	1	0	1	0	1	0	1	0	1.6	0.4800999896
60	1	0	0.9	0.196	1	0	0.9666667	0.065333268	1	0	1	0
61	1	0	0.9	0.196	1	0	1	0	1	0	1.75	0.49
62	1	0	0.9	0.196	1	0	1	0	1	0	1.5	0.5658032638
63	1	0	0.9	0.196	1	0	1	0	1	0	1.6	0.4800999896
64	1	0	0.9	0.196	1	0	1	0	1	0	1.5	0.4382693236
65	1	0	1	0	1	0	1	0	1.1	0.196	1	0
66	1	0	0.75	0.2633670864	0.9	0.196	1	0	1	0	1.5	0.3704051835
67	1	0	0.8	0.2613333333	1	0	1	0	1	0	1.4	0.4800999896
68	1	0	0.9722222222	0.0544444444	1	0	1	0	1	0	1.5	0.98
69	0.9259258889	0.1451852578	0.8	0.2613333333	1	0	1	0	1	0	1	0
70	1	0	0.9	0.196	1	0	1	0	1	0	1	0
71	1	0	0.95	0.098	1	0	1	0	1	0	1.5	0.98
72	1	0	0.875	0.1966793781	1	0	1	0	1	0	1.5	0.98
73	1	0	1	0	1	0	1	0	1	0	1.3333333333	0.6533333333
74	1	0	0.9	0.196	1	0	1	0	1	0	2	0
75	1	0	0.9	0.196	1	0	1	0	1	0	2	0
76	1	0	1	0	1	0	1	0	1	0	2	0
77	1	0	0.9	0.196	1	0	1	0	1	0	1.6666666667	0.6533333333
78	1	0	1	0	1	0	1	0	1	0	1.6	0.4800999896
79	1	0	0.9	0.196	1	0	1	0	1	0	1	0
80	1	0	1	0	1	0	1	0	1	0	1.5	0.98
81	1	0	1	0	1	0	1	0	1	0	1.25	0.49
82	1	0	1	0	1	0	1	0	1	0	NaN	NaN
83	1	0	0.9	0.196	1	0	1	0	1.1	0.196	1.5	0.98
84	1	0	1	0	1	0	1	0	1	0	1.5	0.98
85	1	0	1	0	1	0	1	0	1	0	2	0
86	1	0	1	0	1	0	1.066667	0.13066732	1	0	1	0
87	1	0	1	0	1	0	1	0	1	0	NaN	NaN
88	1	0	0.9333333	0.130666732	1	0	0.9	0.196	1.1	0.196	1	0
89	1	0	1	0	1	0	0.9	0.196	1.1	0.196	1	0
90	1	0	1	0	1	0	0.9	0.196	1	0	1.8	0.392
91	1	0	1	0	1	0	1	0	1.1	0.196	2	0
92	1	0	1	0	0.8888888889	0.2177777778	0.9	0.196	1	0	1.6666666667	0.6533333333
93	1	0	1	0	1	0	0.9	0.196	1.1	0.196	2	0
94	1	0	0.9	0.196	1	0	0.9	0.196	1	0	2	0
95	1	0	1	0	1	0	0.9	0.196	1	0	2	0
96	1	0	1	0	1	0	0.9	0.196	1	0	1.6666666667	0.6533333333
97	1	0	1	0	1	0	0.9	0.196	1	0	2	0
98	1	0	1	0	1	0	0.9	0.196	1	0	2	0
99	1	0	1	0	1	0	0.8	0.2613333333	1.125	0.245	2	0
100	1	0	1	0	1	0	1	0	1	0	NaN	NaN
101	1	0	1	0	1	0	0.9	0.196	1	0	1	0
102	1	0	1	0	1	0	1	0	1	0	NaN	NaN
103	1	0	1	0	1	0	1	0	1	0	1.6	0.4800999896
104	1	0	1	0	1	0	1	0	1	0	NaN	NaN
105	1	0	1	0	1	0	0.8888888889	0.2177777778	1	0	1	0
106	1	0	1	0	1	0	0.9	0.196	1	0	1	0
107	1	0	1	0	1	0	0.875	0.245	1	0	1.5	0.98
108	0.8888888889	0.2177777778	1	0	1	0	0.9	0.196	1	0	NaN	NaN
109	0.9	0.196	1	0	1	0	0.8888888889	0.2177777778	1	0	1.5	0.5658032638
110	1	0	1	0	1	0	0.9	0.196	1	0	1.6666666667	0.6533333333
111	1	0	1	0	1	0	0.9	0.196	1	0	NaN	NaN
112	1	0	1	0	1	0	0.9	0.196	1	0	1.5	0.98
113	1	0	1	0	1	0	0.9	0.196	1	0	1.5	0.98
114	1	0	1	0	1	0	1	0	1	0	1	0
115	1	0	1	0	1	0	1	0	1	0	1	0
116	1	0	1	0	1	0	0.9	0.196	1	0	2	0
117	1	0	1	0	1	0	0.9	0.196	1	0	NaN	NaN
118	1	0	1	0	1	0	0.9	0.196	1	0	NaN	NaN
119	1	0	1	0	1	0	0.875	0.245	1	0	NaN	NaN
120	1	0	1	0	1	0	1	0	1	0	2	0
121	1	0	1	0	1	0	0.9	0.196	1	0	1.75	0.49
122	1	0	1	0	1	0	0.9	0.196	1	0	1.5	0.98
123	1	0	1	0	1	0	0.9	0.196	1	0	2	0
124	1	0	1	0	1	0	0.9	0.196	1	0	2	0
125	1	0	1	0	1	0	0.8888888889	0.2177777778	1	0	NaN	NaN
126	1	0	1	0	1	0	1	0	1	0	2	0
127	1	0	1	0	1	0	1	0	1	0	2	0
128	1	0	1	0	1	0	1	0	1	0	NaN	NaN
129	1	0	1	0	1	0	1.1	0.196	1	0	NaN	NaN
130	1	0	1	0	1	0	1	0	1	0	2	0
131	1	0	1	0	1	0	1	0	1	0	1.5	0.98
132	1	0	1	0	1	0	1	0	1	0	NaN	NaN
133	1	0	1	0	0.95	0.098	1	0	1	0	NaN	NaN
134	1	0	1	0	1	0	1	0	1	0	2	0
135	1	0	1	0	1	0	1	0	1	0	2	0
136	1	0	1	0	1	0	1	0	1	0	NaN	NaN
137	1	0	1	0	1	0	1	0	1	0	2	0
138	1	0	1	0	1	0	1	0	1	0	NaN	NaN
139	1	0	1	0	1	0	1	0	1	0	NaN	NaN
140	1	0	1	0	0.94	0.1176	1	0	1	0	2	0
141	1	0	1	0	0.8888888889	0.2177777778	1	0	1	0	1.5	0.98
142	1	0	0.9	0.196	0.9	0.196	1	0	1	0	NaN	NaN
143	1	0	1	0	1	0	1	0	1	0	2	0
144	1	0	0.9	0.196	1	0	1	0	1.1111111111	0.2177777778	NaN	NaN
145	1	0	1	0	1	0	1	0	1	0	NaN	NaN
146	1	0	1	0	1	0	1	0	1	0	2	0
147	1	0	1	0	0.8888888889	0.2177777778	1	0	1	0	NaN	NaN
148	1	0	0.8	0.2613333333	0.9	0.196	1	0	1	0	2	0
149	1	0	0.9	0.196	1	0	1	0	1	0	NaN	NaN
150	1	0	1	0	0.9	0.196	1	0	1	0	NaN	NaN
151	1	0	0.9	0.196	1	0	1	0	1	0	NaN	NaN
152	1	0	0.7037036667	0.2970980117	0.9	0.196	1	0	1	0	NaN	NaN
153	1	0	1	0	1	0	1	0	1.1	0.196	NaN	NaN
154	1	0	0.9	0.196	1	0	1.1111111111	0.2177777778	1	0	2	0
155	1	0	0.9	0.196	1	0	1	0	1	0	NaN	NaN
156	1	0	0.9	0.196	1	0	1	0	1	0	2	0
157	1	0	1	0	1	0	1	0	1	0	1.5	0.98
158	1	0	0.8	0.2613333333	1	0	1	0	1	0	NaN	NaN
159	1	0	0.7777777778	0.2880929205	1	0	1	0	1	0	NaN	NaN
160	1	0	0.9	0.196	0.8888888889	0.2177777778	1	0	1	0	NaN	NaN
161	1	0	1	0	0.9	0.196	1.125	0.245	1	0	1	0
162	1	0	1	0	1	0	1	0	1	0	NaN	NaN
163	1	0	1	0	1	0	1	0	1	0	2	0
164	1	0	0.9	0.196	0.8888888889	0.2177777778	1	0	1	0	NaN	NaN
165	0.7	0.2993949454	0.9	0.196	1	0	1	0	1	0	NaN	NaN
166	0.4444444444	0.3443369008	0.925	0.147	1	0	1	0	1	0	2	0
167	0.4444444444	0.3443369008	1	0	1	0	1	0	1	0	NaN	NaN
168	0.5555555556	0.3443369008	0.8	0.2613333333	0.8888888889	0.2177777778	1	0	1	0	NaN	NaN
169	0.2	0.2613333333	0.9	0.196	0.9	0.196	1	0	1	0	2	0
170	0.125	0.245	0.7	0.2993949454	0.9	0.196	1	0	1	0	2	0
171	0	0	1	0	1	0	1	0	1	0	2	0
172	0	0	0.8	0.2613333333	1	0	1	0	1	0	NaN	NaN
173	0.2	0.2613333333	0.7777777778	0.2880929205	1	0	1	0	1	0	NaN	NaN
174	0.2	0.2613333333	0.6666666667	0.3266666667	1	0	1	0	1	0	NaN	NaN
175	0	0	0.9	0.196	1	0	1	0	1	0	NaN	NaN
176	0.2333333	0.2585967777	0.8	0.2613333333	1	0	1	0	1	0	1.5	0.98
177	0	0	0.8	0.2613333333	1	0	1	0	1	0	NaN	NaN
178	0	0	0.8	0.2613333333	1	0	1	0	1	0	NaN	NaN
179	0	0	1	0	1	0	1	0	1	0	NaN	NaN
180	0.1111111111	0.2177777778	0.8888888889	0.2177777778	1	0	1	0	1	0	2	0
181	0	0	0.8	0.2613333333	1	0	1	0	1	0	NaN	NaN
182	0.2	0.2613333333	0.8	0.2613333333	1	0	1	0	1	0	NaN	NaN
183	0.25	0.3207802986	0.8	0.2613333333	1	0	1	0	1	0	NaN	NaN
184	0.1111111111	0.2177777778	0.75	0.3207802986	1	0	1	0	1	0	2	0
185	0	0	0.8	0.2613333333	1	0	1	0	1	0	2	0
186	0.1111111111	0.2177777778	1	0	1	0	1	0	1	0	1.5	0.98
187	0.4	0.3200666597	0.9	0.196	1	0	1	0	1	0	NaN	NaN
188	0.2222222222	0.2880929205	0.8	0.2613333333	1	0	1	0	1	0	1.5	0.98
189	0.2222222222	0.2880929205	0.7777777778	0.2880929205	1	0	1	0	1	0	2	0
190	0.4	0.3200666597	0.8	0.2613333333	1	0	1	0	1	0	NaN	NaN
191	0.5555555556	0.3443369008	0.7	0.2993949454	1	0	1	0	1	0	NaN	NaN
192	0.5	0.3704051835	0.8	0.2613333333	1	0	1	0	1	0	NaN	NaN
193	0.4444444444	0.3443369008	0.8	0.2613333333	1	0	1	0	1	0	NaN	NaN
194	0.5	0.3266666667	0.7	0.2993949454	1	0	1	0	1	0	1.5	0.98
195	0.3333333333	0.3266666667	0.9	0.196	1	0	1	0	1	0	NaN	NaN
196	0.5555555556	0.3443369008	0.8	0.2613333333	1	0	1	0	1	0	NaN	NaN
197	0.5	0.3266666667	0.9	0.196	1	0	1	0	1	0	1	0
198	0.4444444444	0.3443369008	0.8	0.2613333333	1	0	1	0	1	0	NaN	NaN
199	0.6666666667	0.3266666667	0.8	0.2613333333	1	0	1	0	1	0	NaN	NaN
200	0.9	0.196	0.7	0.2993949454	1	0	1	0	1	0	NaN	NaN
201	0.7	0.2993949454	0.7	0.2993949454	1	0	1.0555555556	0.1088888889	1	0	NaN	NaN
202	0.75	0.3207802986	0.6	0.3200666597	1	0	1	0	1	0	NaN	NaN
203	0.8	0.2613333333	0.8888888889	0.2177777778	1	0	1	0	1	0	NaN	NaN
204	0.6666666667	0.3266666667	0.5	0.3704051835	1	0	1	0	1	0	NaN	NaN
205	0.8888888889	0.2177777778	0.7	0.2993949454	1	0	1	0	1	0	1	0
206	0.8888888889	0.2177777778	0.7	0.2993949454	1	0	1	0	1	0	2	0
207	1	0	0.5555555556	0.3443369008	1	0	1	0	1	0	NaN	NaN
208	0.9	0.196	0.7	0.2993949454	1	0	1	0	1.125	0.245	2	0
209	0.7777777778	0.2880929205	0.7777777778	0.2880929205	1	0	1	0	1	0	NaN	NaN
210	1	0	0.6	0.3200666597	1	0	1	0	1	0	2	0
211	1	0	0.7	0.2993949454	1	0	1	0	1	0	2	0
212	1	0	0.6666666667	0.3266666667	1	0	1	0	1	0	NaN	NaN
213	1	0	0.7	0.2993949454	1	0	1	0	1	0	1	0
214	1	0	0.7	0.2993949454	1	0	1	0	1	0	1	0
215	1	0	0.8	0.2613333333	1	0	1	0	1	0	NaN	NaN
216	1	0	0.7777777778	0.2880929205	1	0	1	0	1	0	NaN	NaN
217	1	0	0.7777777778	0.2880929205	1	0	1	0	1	0	2	0
218	1	0	0.7	0.2993949454	1	0	1	0	1	0	NaN	NaN
219	1	0	0.82	0.2370078667	1	0	1	0	1	0	NaN	NaN
220	1	0	0.7777777778	0.2880929205	1	0	1	0	1	0	NaN	NaN
221	1	0	0.8	0.2613333333	1	0	1	0	1	0	NaN	NaN
222	1	0	0.7777777778	0.2880929205	1	0	1	0	1	0	NaN	NaN
223	1	0	0.7142857143	0.3614784456	1	0	1	0	1	0	NaN	NaN
224	0.8888888889	0.2177777778	0.7	0.2993949454	1	0	1	0	1	0	NaN	NaN
225	1	0	0.7777777778	0.2880929205	1	0	1	0	1	0	2	0
226	0.8888888889	0.2177777778	0.8	0.2613333333	1	0	1	0	1	0	NaN	NaN
227	0.8	0.2613333333	0.5555555556	0.3443369008	1	0	1	0	1	0	NaN	NaN
228	0.8	0.2613333333	0.5555555556	0.3443369008	1	0	1	0	1	0	NaN	NaN
229	0.8	0.2613333333	0.4444444444	0.3443369008	1	0	1	0	1	0	NaN	NaN
230	0.5555555556	0.3443369008	0.7	0.2993949454	1	0	1	0	1	0	NaN	NaN
231	0.3333333333	0.3266666667	0.6666666667	0.3266666667	1	0	1	0	1	0	NaN	NaN
232	0.4	0.3200666597	0.5	0.3266666667	1	0	1	0	1	0	NaN	NaN
233	0.2222222222	0.2880929205	0.4444444444	0.3443369008	1	0	1	0	1	0	1	0
234	0.2222222222	0.2880929205	0.5	0.3266666667	1	0	1	0	1	0	2	0
235	0	0	0.3333333333	0.3266666667	1	0	1	0	1	0	NaN	NaN
236	0.1111111111	0.2177777778	0.6	0.3200666597	1	0	1	0	1	0	NaN	NaN
237	0.2	0.2613333333	0.5	0.3266666667	1	0	1	0	1	0	NaN	NaN
238	0.2	0.2613333333	0.5	0.3704051835	1	0	1	0	1	0	NaN	NaN
239	0.3333333333	0.3266666667	0.6666666667	0.3266666667	1	0	1	0	1	0	NaN	NaN
240	0.1111111111	0.2177777778	0.5	0.3266666667	1	0	1	0	1	0	NaN	NaN
241	0.3333333333	0.3266666667	0.5	0.3266666667	1	0	1	0	1	0	NaN	NaN
242	0.3	0.2993949454	0.4	0.3200666597	1	0	1	0	1	0	NaN	NaN
243	0.3333333333	0.3266666667	0.6666666667	0.3266666667	1	0	1	0	1	0	NaN	NaN
244	0.3333333333	0.3266666667	0.5555555556	0.3443369008	1	0	1	0	1	0	NaN	NaN
245	0.6111111111	0.3174629365	0.3333333333	0.3266666667	1	0	1	0	1	0	NaN	NaN
246	0.7	0.2993949454	0.5	0.3266666667	1	0	1	0	1	0	NaN	NaN
247	0.5	0.3266666667	0.5555555556	0.3443369008	1	0	1	0	1	0	NaN	NaN
