#rank q_avg rank q_avg
1 2 0 0
2 2 0 0
3 2 0 0
4 1.098895 0 0.1962524479130444
5 1 0 0
6 1 0 0
7 1 0 0
8 1 0 0
9 1 0 0
10 1 0 0
11 1 0 0
12 1 0 0
13 1.052181 0 0.07187305315871437
14 1 0 0
15 1 0 0
16 1 0 0
17 1 0 0
18 1 0 0
19 1 0 0
20 1 0 0
21 1 0 0
22 1 0 0
23 1 0 0
24 1 0 0
25 0.8333332999999999 0 0.2231558485603075
26 0.9 0 0.196
27 1 0 0
28 1 0 0
29 0.9 0 0.196
30 1 0 0
31 0.9333332999999999 0 0.130666732
32 0.9315789000000001 0 0.134105356
33 1 0 0
34 0.8 0 0.2613333333333334
35 0.4349999999999999 0 0.3085400820350935
36 0.9 0 0.196
37 0.645 0 0.2952495667510228
38 0.9 0 0.196
39 0.8 0 0.2613333333333334
40 0.6285714 0 0.301569243064789
41 0.4210526 0 0.3113781647406944
42 0.4 0 0.3200666597236687
43 0.6352941 0 0.2985798676339863
44 0.5 0 0.3266666666666667
45 0.2 0 0.2613333333333334
46 0.5 0 0.3266666666666667
47 0.3928571 0 0.3146108396098378
48 0.3928571 0 0.3146108396098378
49 0.7 0 0.2993949454037815
50 0.3 0 0.2993949454037815
51 0.4 0 0.3200666597236685
52 0.2928571 0 0.2925147272022885
53 0.3 0 0.2993949454037815
54 0.4 0 0.3200666597236685
55 0.1861904 0 0.2432897839722304
56 0.2 0 0.2613333333333334
57 0.1 0 0.196
58 0.1 0 0.196
59 0.2 0 0.2613333333333334
60 0.2 0 0.2613333333333334
61 0.1 0 0.196
62 0.3 0 0.2993949454037815
63 0.2 0 0.2613333333333334
64 0.3933333 0 0.3149581456677905
65 0.4 0 0.3200666597236687
66 0.6 0 0.3200666597236687
67 0.8 0 0.2613333333333334
68 0.7 0 0.2993949454037815
69 0.8 0 0.2613333333333334
70 0.7 0 0.2993949454037815
71 0.6 0 0.3200666597236687
72 1 0 0
73 0.6928571 0 0.2966546668704321
74 0.9 0 0.196
75 0.7 0 0.2993949454037815
76 0.9 0 0.196
77 0.6 0 0.3200666597236685
78 0.9857143 0 0.027999972
79 1 0 0
80 0.8 0 0.2613333333333334
81 0.9 0 0.196
82 0.9 0 0.196
83 1 0 0
84 0.8 0 0.2613333333333334
85 0.9 0 0.196
86 0.8 0 0.2613333333333334
87 0.8 0 0.2613333333333334
88 0.6 0 0.3200666597236687
89 0.8 0 0.2613333333333334
90 0.9 0 0.196
91 1 0 0
92 0.8 0 0.2613333333333334
93 0.9 0 0.196
94 0.9 0 0.196
95 0.7 0 0.2993949454037815
96 0.8 0 0.2613333333333334
97 0.9 0 0.196
98 0.6 0 0.3200666597236685
99 0.8 0 0.2613333333333334
100 0.6 0 0.3200666597236685
101 0.6 0 0.3200666597236687
102 0.8 0 0.2613333333333334
103 0.8 0 0.2613333333333334
104 0.7 0 0.2993949454037815
105 0.8 0 0.2613333333333334
106 0.9538461999999999 0 0.090461448
107 0.7 0 0.2993949454037815
108 0.7 0 0.2993949454037815
109 0.8857143000000001 0 0.1948857206056944
110 0.7 0 0.2993949454037815
111 0.8 0 0.2613333333333334
112 0.7 0 0.2993949454037815
113 0.7 0 0.2993949454037815
114 0.7 0 0.2993949454037815
115 0.7 0 0.2993949454037815
116 0.8 0 0.2613333333333334
117 0.9 0 0.196
118 0.8 0 0.2613333333333334
119 0.8222222 0 0.2345538691971632
120 0.8888888888888888 0 0.2177777777777778
121 0.7857143 0 0.2581472464914393
122 0.9 0 0.196
123 0.8 0 0.2613333333333334
124 0.9 0 0.196
125 0.8 0 0.2613333333333333
126 0.8 0 0.2613333333333334
127 0.6 0 0.3200666597236687
128 0.5 0 0.3266666666666667
129 0.3 0 0.2993949454037815
130 0.3 0 0.2993949454037815
131 0.3857143 0 0.3096923297123573
132 0.3 0 0.2993949454037815
133 0.4 0 0.3200666597236687
134 0.3 0 0.2993949454037815
135 0 0 0
136 0.1 0 0.196
137 0 0 0
138 0.2857143 0 0.2861545935562351
139 0.2 0 0.2613333333333334
140 0.1 0 0.196
141 0.3 0 0.2993949454037815
142 0.1857143 0 0.2435624660228088
143 0.2 0 0.2613333333333334
144 0.2 0 0.2613333333333334
145 0.2 0 0.2613333333333334
146 0.3 0 0.2993949454037815
147 0.3 0 0.2993949454037815
148 0.3 0 0.2993949454037815
149 0.2 0 0.2613333333333334
150 0.1 0 0.196
151 0.1 0 0.196
152 0.2 0 0.2613333333333334
153 0.3 0 0.2993949454037815
154 0.2 0 0.2613333333333334
155 0.3 0 0.2993949454037815
156 0.1 0 0.196
157 0.2 0 0.2613333333333334
158 0.2 0 0.2613333333333334
159 0.1 0 0.196
160 0.1 0 0.196
161 0.2 0 0.2613333333333334
162 0.1 0 0.196
163 0.2222222222222222 0 0.2880929205381443
164 0.2 0 0.2613333333333334
165 0.2 0 0.2613333333333334
166 0.3 0 0.2993949454037815
167 0.2 0 0.2613333333333334
168 0.3 0 0.2993949454037815
