#rank q_avg rank q_avg
1 5 0 0
2 5 0 0
3 5 0 0
4 1 0 0
5 2 0 0
6 3 0 0
7 2 0 0
8 2.090909090909091 0 0
9 1 0 0
10 1.5 0 0
11 5 0 0
12 1 0 0
13 3 0 0
14 2 0 0
15 NaN 0 NaN
16 3 0 0
17 1 0 0
18 5 0 0
19 5 0 0
20 1 0 0
21 2 0 0
22 2 0 0
23 5 0 0
24 1 0 0
25 1 0 0
26 2 0 0
27 1 0 0
28 1 0 0
29 1 0 0
30 2 0 0
31 2 0 0
32 1 0 0
33 1 0 0
34 1 0 0
35 1 0 0
36 2 0 0
37 NaN 0 NaN
38 1 0 0
39 2 0 0
40 1 0 0
41 5 0 0
42 5 0 0
43 2 0 0
44 1 0 0
45 3 0 0
46 3 0 0
47 5 0 0
48 1 0 0
49 5 0 0
50 3 0 0
51 1 0 0
52 NaN 0 NaN
53 5 0 0
54 5 0 0
55 2 0 0
56 NaN 0 NaN
57 NaN 0 NaN
58 NaN 0 NaN
59 3 0 0
60 1 0 0
61 2 0 0
62 NaN 0 NaN
63 3 0 0
64 3 0 0
65 1 0 0
66 1 0 0
67 1 0 0
68 3 0 0
69 1 0 0
70 1.125 0 0
71 NaN 0 NaN
72 1 0 0
73 1.1 0 0
74 3 0 0
75 5 0 0
76 1 0 0
77 1 0 0
78 2 0 0
79 1 0 0
80 5 0 0
81 3 0 0
82 2 0 0
83 5 0 0
84 1 0 0
85 2 0 0
86 5 0 0
87 1 0 0
88 1 0 0
89 NaN 0 NaN
90 1 0 0
91 5 0 0
92 NaN 0 NaN
93 3 0 0
94 NaN 0 NaN
95 5 0 0
96 3 0 0
97 5 0 0
98 NaN 0 NaN
99 1 0 0
100 2 0 0
101 2 0 0
102 5 0 0
103 1 0 0
104 2 0 0
105 2 0 0
106 1 0 0
107 1 0 0
108 2 0 0
109 2 0 0
110 3 0 0
111 3 0 0
112 1 0 0
113 1 0 0
114 1 0 0
115 1 0 0
116 NaN 0 NaN
117 5 0 0
118 NaN 0 NaN
119 3 0 0
120 5 0 0
121 NaN 0 NaN
122 5 0 0
123 NaN 0 NaN
124 1 0 0
125 1 0 0
126 1 0 0
127 3 0 0
128 1 0 0
129 2 0 0
130 NaN 0 NaN
131 1 0 0
132 2 0 0
133 NaN 0 NaN
134 1 0 0
135 1 0 0
136 1 0 0
137 3 0 0
138 1 0 0
139 1 0 0
140 1 0 0
141 NaN 0 NaN
142 1 0 0
143 1 0 0
144 1 0 0
145 1 0 0
146 5 0 0
147 1 0 0
148 NaN 0 NaN
149 3 0 0
150 5 0 0
151 2 0 0
152 NaN 0 NaN
153 2 0 0
154 3 0 0
155 1 0 0
156 NaN 0 NaN
157 3 0 0
158 2 0 0
159 NaN 0 NaN
160 5 0 0
161 3 0 0
162 1 0 0
163 NaN 0 NaN
164 3 0 0
165 NaN 0 NaN
166 1 0 0
167 1 0 0
168 3 0 0
169 1 0 0
170 1 0 0
171 5 0 0
172 5 0 0
173 2 0 0
174 5 0 0
175 1 0 0
176 5 0 0
177 NaN 0 NaN
178 1 0 0
179 NaN 0 NaN
180 1 0 0
181 5 0 0
182 1 0 0
183 NaN 0 NaN
184 5 0 0
185 2 0 0
186 2 0 0
187 NaN 0 NaN
188 NaN 0 NaN
189 3 0 0
190 1 0 0
191 1 0 0
192 2 0 0
193 1 0 0
194 3 0 0
195 2 0 0
196 NaN 0 NaN
197 1 0 0
198 3 0 0
199 NaN 0 NaN
200 1 0 0
