#rank requests intersection
1 1396 0
2 728 0
3 428 0
4 332 0
5 286 0
6 247 0
7 221 0
8 158 0
9 148 0
10 124 0
11 137 0
12 103 0
13 106 0
14 116 0
15 89 0
16 99 0
17 78 0
18 76 0
19 80 0
20 79 0
21 75 0
22 65 0
23 59 0
24 62 0
25 57 0
26 37 0
27 52 0
28 51 0
29 53 0
30 41 0
31 48 0
32 45 0
33 34 0
34 38 0
35 46 0
36 39 0
37 33 0
38 40 0
39 31 0
40 27 0
41 30 0
42 21 0
43 17 0
44 37 0
45 37 0
46 28 0
47 31 0
48 27 0
49 26 0
50 34 0
51 27 0
52 26 0
53 22 0
54 22 0
55 22 0
56 29 0
57 26 0
58 12 0
59 14 0
60 25 0
61 30 0
62 18 0
63 25 0
64 13 0
65 25 0
66 21 0
67 17 0
68 26 0
69 19 0
70 26 0
71 18 0
72 10 0
73 19 0
74 16 0
75 23 0
76 24 0
77 15 0
78 20 0
79 29 0
80 14 0
81 16 0
82 13 0
83 15 0
84 19 0
85 21 0
86 16 0
87 25 0
88 23 0
89 13 0
90 8 0
91 20 0
92 11 0
93 7 0
94 18 0
95 13 0
96 14 0
97 12 0
98 12 0
99 10 0
100 10 0
101 17 0
102 12 0
103 16 0
104 13 0
105 11 0
106 13 0
107 15 0
108 10 0
109 7 0
110 17 0
111 14 0
112 12 0
113 16 0
114 6 0
115 23 0
116 12 0
117 12 0
118 16 0
119 14 0
120 12 0
121 17 0
122 11 0
123 11 0
124 5 0
125 7 0
126 13 0
127 18 0
128 12 0
129 12 0
130 9 0
131 13 0
132 6 0
133 9 0
134 5 0
135 12 0
136 8 0
137 12 0
138 16 0
139 12 0
140 9 0
141 3 0
142 12 0
143 14 0
144 9 0
145 11 0
146 7 0
147 10 0
148 8 0
149 7 0
150 4 0
151 8 0
152 12 0
153 7 0
154 12 0
155 3 0
156 6 0
157 4 0
158 11 0
159 13 0
160 7 0
161 12 0
162 9 0
163 4 0
164 8 0
165 7 0
166 10 0
167 7 0
168 12 0
169 17 0
170 8 0
171 11 0
172 10 0
173 5 0
174 9 0
175 11 0
176 8 0
177 5 0
178 7 0
179 2 0
180 7 0
181 9 0
182 10 0
183 3 0
184 11 0
185 4 0
186 10 0
187 5 0
188 4 0
189 11 0
190 7 0
191 11 0
192 5 0
193 13 0
194 8 0
195 6 0
196 7 0
197 8 0
198 7 0
199 6 0
200 6 0
