#rank q_avg rank q_avg
1 3 0 0
2 5 0 0
3 5 0 0
4 2 0 0
5 1.08974 0 0
6 2 0 0
7 1 0 0
8 5 0 0
9 2 0 0
10 2 0 0
11 5 0 0
12 2 0 0
13 5 0 0
14 2 0 0
15 2 0 0
16 5 0 0
17 2 0 0
18 5 0 0
19 5 0 0
20 2 0 0
21 2 0 0
22 2 0 0
23 5 0 0
24 2 0 0
25 2 0 0
26 2 0 0
27 2 0 0
28 2 0 0
29 2 0 0
30 2 0 0
31 2 0 0
32 2 0 0
33 2 0 0
34 2 0 0
35 2 0 0
36 NaN 0 NaN
37 5 0 0
38 2 0 0
39 2 0 0
40 2 0 0
41 5 0 0
42 5 0 0
43 2 0 0
44 2 0 0
45 5 0 0
46 5 0 0
47 5 0 0
48 2 0 0
49 5 0 0
50 5 0 0
51 2 0 0
52 2 0 0
53 5 0 0
54 5 0 0
55 2 0 0
56 2 0 0
57 2 0 0
58 2 0 0
59 5 0 0
60 2 0 0
61 2 0 0
62 2 0 0
63 5 0 0
64 5 0 0
65 2 0 0
66 2 0 0
67 2 0 0
68 5 0 0
69 2 0 0
70 2 0 0
71 2 0 0
72 2 0 0
73 NaN 0 NaN
74 5 0 0
75 5 0 0
76 2 0 0
77 NaN 0 NaN
78 2 0 0
79 NaN 0 NaN
80 NaN 0 NaN
81 5 0 0
82 2 0 0
83 5 0 0
84 2 0 0
85 2 0 0
86 5 0 0
87 2 0 0
88 2 0 0
89 NaN 0 NaN
90 2 0 0
91 5 0 0
92 2 0 0
93 5 0 0
94 5 0 0
95 5 0 0
96 5 0 0
97 5 0 0
98 2 0 0
99 2 0 0
100 2 0 0
