#rank requests AS=1 AS=2 AS=3 AS=4 AS=5
1 946 0 0 0 1 1
2 481 0 0 0 0 0
3 309 0 0 0 0 0
4 244 0 0 0 0 0
5 196 0 0 0 0 0
6 150 0 0 0 0 0
7 115 0 0 0 0 0
8 129 0 0 0 0 0
9 110 0 0 0 0 0
10 90 0 0 0 0 0
11 77 0 0 0 0 0
12 88 0 0 0 0 0
13 73 0 0 0 0 0
14 72 0 0 0 0 0
15 58 0 0 0 0 0
16 54 0 0 0 0 0
17 56 0 0 0 0 0
18 53 0 0 0 0 0
19 43 0 0 0 0 0
20 48 0 0 0 0 0
21 40 0 0 0 0 0
22 49 0 0 0 0 0
23 37 0 0 0 0 0
24 31 0 0 0 0 0
25 25 0 0 0 0 0
26 30 0 0 0 0 0
27 38 0 0 0 0 0
28 24 0 0 0 0 0
29 26 0 0 0 0 0
30 31 0 0 0 0 0
31 23 0 0 0 0 0
32 28 0 0 0 0 0
33 41 0 0 0 0 0
34 17 0 0 0 0 0
35 38 0 0 0 0 0
36 25 0 0 0 0 0
37 23 0 0 0 0 0
38 25 0 0 0 0 0
39 28 0 0 0 0 0
40 25 0 0 0 0 0
41 21 0 0 0 0 0
42 28 0 0 0 0 0
43 30 0 0 0 0 0
44 31 0 0 0 0 0
45 21 0 0 0 0 0
46 21 0 0 0 0 0
47 15 0 0 0 0 0
48 28 0 0 0 0 0
49 17 0 0 0 0 0
50 16 0 0 0 0 0
51 16 0 0 0 0 0
52 22 0 0 0 0 0
53 15 0 0 0 0 0
54 12 0 0 0 0 0
55 20 0 0 0 0 0
56 23 0 0 0 0 0
57 15 0 0 0 0 0
58 16 0 0 0 0 0
59 16 0 0 0 0 0
60 17 0 0 0 0 0
61 11 0 0 0 0 0
62 26 0 0 0 0 0
63 24 0 0 0 0 0
64 18 0 0 0 0 0
65 10 0 0 0 0 0
66 15 0 0 0 0 0
67 14 0 0 0 0 0
68 20 0 0 0 0 0
69 12 0 0 0 0 0
70 7 0 0 0 0 0
71 13 0 0 0 0 0
72 15 0 0 0 0 0
73 15 0 0 0 0 0
74 10 0 0 0 0 0
75 13 0 0 0 0 0
76 14 0 0 0 0 0
77 7 0 0 0 0 0
78 9 0 0 0 0 0
79 14 0 0 0 0 0
80 8 0 0 0 0 0
81 9 0 0 0 0 0
82 12 0 0 0 0 0
83 18 0 0 0 0 0
84 10 0 0 0 0 0
85 13 0 0 0 0 0
86 21 0 0 0 0 0
87 12 0 0 0 0 0
88 10 0 0 0 0 0
89 9 0 0 0 0 0
90 9 0 0 0 0 0
91 8 0 0 0 0 0
92 8 0 0 0 0 0
93 11 0 0 0 0 0
94 11 0 0 0 0 0
95 12 0 0 0 0 0
96 14 0 0 0 0 0
97 12 0 0 0 0 0
98 10 0 0 0 0 0
99 7 0 0 0 0 0
100 8 0 0 0 0 0
