#rank q_avg rank q_avg
1 5 0 0
2 5 0 0
3 5 0 0
4 4 0 0
5 2 0 0
6 3 0 0
7 4 0 0
8 2 0 0
9 3 0 0
10 4 0 0
11 5 0 0
12 0 0 0
13 2 0 0
14 0 0 0
15 NaN 0 NaN
16 2 0 0
17 3 0 0
18 5 0 0
19 5 0 0
20 2 0 0
21 2 0 0
22 2 0 0
23 5 0 0
24 5 0 0
25 2 0 0
26 2 0 0
27 2 0 0
28 2 0 0
29 4 0 0
30 2 0 0
31 2 0 0
32 3 0 0
33 3 0 0
34 1.777777777777778 0 0
35 3 0 0
36 2 0 0
37 NaN 0 NaN
38 NaN 0 NaN
39 4 0 0
40 2 0 0
41 5 0 0
42 5 0 0
43 2 0 0
44 2 0 0
45 2 0 0
46 2 0 0
47 5 0 0
48 2 0 0
49 5 0 0
50 2 0 0
51 2 0 0
52 NaN 0 NaN
53 5 0 0
54 5 0 0
55 2 0 0
56 NaN 0 NaN
57 NaN 0 NaN
58 NaN 0 NaN
59 2 0 0
60 NaN 0 NaN
61 3 0 0
62 NaN 0 NaN
63 3 0 0
64 3 0 0
65 0 0 0
66 2 0 0
67 2 0 0
68 NaN 0 NaN
69 2 0 0
70 2 0 0
71 NaN 0 NaN
72 0 0 0
73 2 0 0
74 2 0 0
75 5 0 0
76 2 0 0
77 2 0 0
78 2 0 0
79 2 0 0
80 5 0 0
81 2 0 0
82 2 0 0
83 5 0 0
84 3 0 0
85 2 0 0
86 5 0 0
87 2 0 0
88 2 0 0
89 NaN 0 NaN
90 2 0 0
91 5 0 0
92 NaN 0 NaN
93 2 0 0
94 NaN 0 NaN
95 5 0 0
96 2 0 0
97 5 0 0
98 NaN 0 NaN
99 2 0 0
100 2 0 0
101 2 0 0
102 5 0 0
103 3 0 0
104 2 0 0
105 2 0 0
106 2 0 0
107 2 0 0
108 2 0 0
109 2 0 0
110 2 0 0
111 2 0 0
112 2 0 0
113 2 0 0
114 2 0 0
115 2 0 0
116 NaN 0 NaN
117 5 0 0
118 NaN 0 NaN
119 2 0 0
120 5 0 0
121 NaN 0 NaN
122 5 0 0
123 NaN 0 NaN
