#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8 AS=9 AS=10 AS=11
1 828 0 0 0 0 0 0 0 0 0 0 0
2 380 0 0 0 0 0 0 0 0 0 0 0
3 258 0 0 0 0 0 0 0 0 0 0 0
4 197 0 0 0 0 0 0 0 0 0 0 0
5 143 0 0 0 0 0 0 0 0 0 0 0
6 144 0 0 0 0 0 0 0 0 0 0 0
7 104 0 0 0 0 0 0 0 0 0 0 0
8 108 0 0 0 0 0 0 0 0 0 0 0
9 80 0 0 0 0 0 0 0 0 0 0 0
10 70 0 0 0 0 0 0 0 0 0 0 0
11 87 0 0 0 0 0 0 0 0 0 0 0
12 70 0 0 0 0 0 0 0 0 0 0 0
13 63 0 0 0 0 0 0 0 0 0 0 0
14 48 0 0 0 0 0 0 0 0 0 0 0
15 54 0 0 0 0 0 0 0 0 0 0 0
16 49 0 0 0 0 0 0 0 0 0 0 0
17 40 0 0 0 0 0 0 0 0 0 0 0
18 47 0 0 0 0 0 0 0 0 0 0 0
19 36 0 0 0 0 0 0 0 0 0 0 0
20 36 0 0 0 0 0 0 0 0 0 0 0
21 42 0 0 0 0 0 0 0 0 0 0 0
22 37 0 0 0 0 0 0 0 0 0 0 0
23 42 0 0 0 0 0 0 0 0 0 0 0
24 34 0 0 0 0 0 0 0 0 0 0 0
25 26 0 0 0 0 0 0 0 0 0 0 0
26 26 0 0 0 0 0 0 0 0 0 0 0
27 39 0 0 0 0 0 0 0 0 0 0 0
28 32 0 0 0 0 0 0 0 0 0 0 0
29 16 0 0 0 0 0 0 0 0 0 0 0
30 26 0 0 0 0 0 0 0 0 0 0 0
31 26 0 0 0 0 0 0 0 0 0 0 0
32 29 0 0 0 0 0 0 0 0 0 0 0
33 26 0 0 0 0 0 0 0 0 0 0 0
34 22 0 0 0 0 0 0 0 0 0 0 0
35 14 0 0 0 0 0 0 0 0 0 0 0
36 22 0 0 0 0 0 0 0 0 0 0 0
37 23 0 0 0 0 0 0 0 0 0 0 0
38 17 0 0 0 0 0 0 0 0 0 0 0
39 19 0 0 0 0 0 0 0 0 0 0 0
40 21 0 0 0 0 0 0 0 0 0 0 0
41 14 0 0 0 0 0 0 0 0 0 0 0
42 23 0 0 0 0 0 0 0 0 0 0 0
43 9 0 0 0 0 0 0 0 0 0 0 0
44 12 0 0 0 0 0 0 0 0 0 0 0
45 14 0 0 0 0 0 0 0 0 0 0 0
46 15 0 0 0 0 0 0 0 0 0 0 0
47 13 0 0 0 0 0 0 0 0 0 0 0
48 10 0 0 0 0 0 0 0 0 0 0 0
49 14 0 0 0 0 0 0 0 0 0 0 0
50 18 0 0 0 0 0 0 0 0 0 0 0
51 17 0 0 0 0 0 0 0 0 0 0 0
52 17 0 0 0 0 0 0 0 0 0 0 0
53 26 0 0 0 0 0 0 0 0 0 0 0
54 18 0 0 0 0 0 0 0 0 0 0 0
55 17 0 0 0 0 0 0 0 0 0 0 0
56 21 0 0 0 0 0 0 0 0 0 0 0
57 12 0 0 0 0 0 0 0 0 0 0 0
58 15 0 0 0 0 0 0 0 0 0 0 0
59 14 0 0 0 0 0 0 0 0 0 0 0
60 12 0 0 0 0 0 0 0 0 0 0 0
61 12 0 0 0 0 0 0 0 0 0 0 0
62 13 0 0 0 0 0 0 0 0 0 0 0
63 9 0 0 0 0 0 0 0 0 0 0 0
64 9 0 0 0 0 0 0 0 0 0 0 0
65 18 0 0 0 0 0 0 0 0 0 0 0
66 10 0 0 0 0 0 0 0 0 0 0 0
67 8 0 0 0 0 0 0 0 0 0 0 0
68 7 0 0 0 0 0 0 0 0 0 0 0
69 15 0 0 0 0 0 0 0 0 0 0 0
70 10 0 0 0 0 0 0 0 0 0 0 0
71 16 0 0 0 0 0 0 0 0 0 0 0
72 7 0 0 0 0 0 0 0 0 0 0 0
73 10 0 0 0 0 0 0 0 0 0 0 0
74 14 0 0 0 0 0 0 0 0 0 0 0
75 11 0 0 0 0 0 0 0 0 0 0 0
76 12 0 0 0 0 0 0 0 0 0 0 0
77 14 0 0 0 0 0 0 0 0 0 0 0
78 8 0 0 0 0 0 0 0 0 0 0 0
79 9 0 0 0 0 0 0 0 0 0 0 0
80 9 0 0 0 0 0 0 0 0 0 0 0
81 11 0 0 0 0 0 0 0 0 0 0 0
82 10 0 0 0 0 0 0 0 0 0 0 0
83 14 0 0 0 0 0 0 0 0 0 0 0
84 6 0 0 0 0 0 0 0 0 0 0 0
85 14 0 0 0 0 0 0 0 0 0 0 0
86 11 0 0 0 0 0 0 0 0 0 0 0
87 2 0 0 0 0 0 0 0 0 0 0 0
88 14 0 0 0 0 0 0 0 0 0 0 0
89 9 0 0 0 0 0 0 0 0 0 0 0
90 5 0 0 0 0 0 0 0 0 0 0 0
91 6 0 0 0 0 0 0 0 0 0 0 0
92 6 0 0 0 0 0 0 0 0 0 0 0
93 8 0 0 0 0 0 0 0 0 0 0 0
94 10 0 0 0 0 0 0 0 0 0 0 0
95 5 0 0 0 0 0 0 0 0 0 0 0
96 6 0 0 0 0 0 0 0 0 0 0 0
97 9 0 0 0 0 0 0 0 0 0 0 0
98 8 0 0 0 0 0 0 0 0 0 0 0
99 8 0 0 0 0 0 0 0 0 1 0 0
100 6 0 0 0 0 0 0 0 0 0 0 0
