#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8 AS=9 AS=10 AS=11
1 1546 0 0 0 0 0 0 0 0 0 0 0
2 775 0 0 0 0 0 0 0 0 0 0 0
3 528 0 0 0 0 0 0 0 0 0 0 0
4 413 0 0 0 0 0 0 0 0 0 0 0
5 322 0 0 0 0 0 0 0 0 0 0 0
6 268 0 0 0 0 0 0 0 0 0 0 0
7 221 0 0 0 0 0 0 0 0 0 0 0
8 192 0 0 0 0 0 0 0 0 0 0 0
9 166 0 0 0 0 0 0 0 0 0 0 0
10 172 0 0 0 0 0 0 0 0 0 0 0
11 137 0 0 0 0 0 0 0 0 0 0 0
12 119 0 0 0 0 0 0 0 0 0 0 0
13 113 0 0 0 0 0 0 0 0 0 0 0
14 113 0 0 0 0 0 0 0 0 0 0 0
15 112 0 0 0 0 0 0 0 0 0 0 0
16 111 0 0 0 0 0 0 0 0 0 0 0
17 92 0 0 0 0 0 0 0 0 0 0 0
18 84 0 0 0 0 0 0 0 0 0 0 0
19 84 0 0 0 0 0 0 0 0 0 0 0
20 85 0 0 0 0 0 0 0 0 0 0 0
21 63 0 0 0 0 0 0 0 0 0 0 0
22 57 0 0 0 0 0 0 0 0 0 0 0
23 58 0 0 0 0 0 0 0 0 0 0 0
24 61 0 0 0 0 0 0 0 0 0 0 0
25 51 0 0 0 0 0 0 0 0 0 0 0
26 68 0 0 0 0 0 0 0 0 0 0 0
27 50 0 0 0 0 0 0 0 0 0 0 0
28 47 0 0 0 0 0 0 0 0 0 0 0
29 60 0 0 0 0 0 0 0 0 0 0 0
30 47 0 0 0 0 0 0 0 0 0 0 0
31 53 0 0 0 0 0 0 0 0 0 0 0
32 50 0 0 0 0 0 0 0 0 0 0 0
33 49 0 0 0 0 0 0 0 0 0 0 0
34 48 0 0 0 0 0 0 0 0 0 0 0
35 40 0 0 0 0 0 0 0 0 0 0 0
36 42 0 0 0 0 0 0 0 0 0 0 0
37 50 0 0 0 0 0 0 0 0 0 0 0
38 37 0 0 0 0 0 0 0 0 0 0 0
39 46 0 0 0 0 0 0 0 0 0 0 0
40 51 0 0 0 0 0 0 0 0 0 0 0
41 51 0 0 0 0 0 0 0 0 0 0 0
42 42 0 0 0 0 0 0 0 0 0 0 0
43 26 0 0 0 0 0 0 0 0 0 0 0
44 27 0 0 0 0 0 0 0 0 0 0 0
45 32 0 0 0 0 0 0 0 0 0 0 0
46 39 0 0 0 0 0 0 0 0 0 0 0
47 42 0 0 0 0 0 0 0 0 0 0 0
48 33 0 0 0 0 0 0 0 0 0 0 0
49 43 0 0 0 0 0 0 0 0 0 0 0
50 33 0 0 0 0 0 0 0 0 0 0 0
51 35 0 0 0 0 0 0 0 0 0 0 0
52 36 0 0 0 0 0 0 0 0 0 0 0
53 21 0 0 0 0 0 0 0 0 0 0 0
54 26 0 0 0 0 0 0 0 0 0 0 0
55 39 0 0 0 0 0 0 0 0 0 0 0
56 38 0 0 0 0 0 0 0 0 0 0 0
57 22 0 0 0 0 0 0 0 0 0 0 0
58 26 0 0 0 0 0 0 0 0 0 0 0
59 32 0 0 0 0 0 0 0 0 0 0 0
60 23 0 0 0 0 0 0 0 0 0 0 0
61 22 0 0 0 0 0 0 0 0 0 0 0
62 18 0 0 0 0 0 0 0 0 0 0 0
63 22 0 0 0 0 0 0 0 0 0 0 0
64 20 0 0 0 0 0 0 0 0 0 0 0
65 26 0 0 0 0 0 0 0 0 0 0 0
66 26 0 0 0 0 0 0 0 0 0 0 0
67 23 0 0 0 0 0 0 0 0 0 0 0
68 18 0 0 0 0 0 0 0 0 0 0 0
69 27 0 0 0 0 0 0 0 0 0 0 0
70 20 0 0 0 0 0 0 0 0 0 0 0
71 27 0 0 0 0 0 0 0 0 0 0 0
72 29 0 0 0 0 0 0 0 0 0 0 0
73 27 0 0 0 0 0 0 0 0 0 0 0
74 18 0 0 0 0 0 0 0 0 0 0 0
75 25 0 0 0 0 0 0 0 0 0 0 0
76 25 0 0 0 0 0 0 0 0 0 0 0
77 25 0 0 0 0 0 0 0 0 0 0 0
78 16 0 0 0 0 0 0 0 0 0 0 0
79 17 0 0 0 0 0 0 0 0 0 0 0
80 18 0 0 0 0 0 0 0 0 0 0 0
81 22 0 0 0 0 0 0 0 0 0 0 0
82 23 0 0 0 0 0 0 0 0 0 0 0
83 21 0 0 0 0 0 0 0 0 0 0 0
84 16 0 0 0 0 0 0 0 0 0 0 0
85 23 0 0 0 0 0 0 0 0 0 0 0
86 15 0 0 0 0 0 0 0 0 0 0 0
87 22 0 0 0 0 0 0 0 0 0 0 0
88 20 0 0 0 0 0 0 0 0 0 0 0
89 13 0 0 0 0 0 0 0 0 0 0 0
90 23 0 0 0 0 0 0 0 0 0 0 0
91 11 0 0 0 0 0 0 0 0 0 0 0
92 11 0 0 0 0 0 0 0 0 0 0 0
93 14 0 0 0 0 0 0 0 0 0 0 0
94 14 0 0 0 0 0 0 0 0 0 0 0
95 19 0 0 0 0 0 0 0 0 0 0 0
96 14 0 0 0 0 0 0 0 0 0 0 0
97 21 0 0 0 0 0 0 0 0 0 0 0
98 19 0 0 0 0 0 0 0 0 0 0 0
99 22 0 0 0 0 0 0 0 0 0 0 0
100 21 0 0 0 0 0 0 0 0 0 0 0
