#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8 AS=9 AS=10 AS=11
1 739 0 0 0 0 0 0 0 0 0 0 0
2 416 0 0 0 0 0 0 0 0 0 0 0
3 262 0 0 0 0 0 0 0 0 0 0 0
4 219 0 0 0 0 0 0 0 0 0 0 0
5 158 0 0 0 0 0 0 0 0 0 0 0
6 139 0 0 0 0 0 0 0 0 0 0 0
7 125 0 0 0 0 0 0 0 0 0 0 0
8 93 0 0 0 0 0 0 0 0 0 0 0
9 89 0 0 0 0 0 0 0 0 0 0 0
10 67 0 0 0 0 0 0 0 0 0 0 0
11 75 0 0 0 0 0 0 0 0 0 0 0
12 62 0 0 0 0 0 0 0 0 0 0 0
13 57 0 0 0 0 0 0 0 1 0 0 0
14 66 0 0 0 0 0 0 0 0 0 0 0
15 53 0 0 0 0 0 0 0 0 0 0 0
16 48 0 0 0 0 0 0 0 0 0 0 0
17 36 0 0 0 0 0 0 0 0 0 0 0
18 50 0 0 0 0 0 0 0 0 0 0 0
19 42 0 0 0 0 0 0 0 0 0 0 0
20 39 0 0 0 0 0 0 0 0 0 0 0
21 46 0 0 0 0 0 0 0 0 0 0 0
22 34 0 0 0 0 0 0 0 0 0 0 0
23 39 0 0 0 0 0 0 0 0 0 0 0
24 36 0 0 0 0 0 0 0 0 0 0 0
25 31 0 0 0 0 0 0 0 0 0 0 0
26 30 0 0 0 0 0 0 0 0 0 0 0
27 28 0 0 0 0 0 0 0 0 0 0 0
28 24 0 0 0 0 0 0 0 0 0 0 0
29 33 0 0 0 0 0 0 0 0 0 0 0
30 31 0 0 0 0 0 0 0 0 0 0 0
31 18 0 0 0 0 0 0 0 0 0 0 0
32 32 0 0 0 0 0 0 0 0 0 0 0
33 28 0 0 0 0 0 0 0 0 0 0 0
34 20 0 0 0 0 0 0 0 0 0 0 0
35 23 0 0 0 0 0 0 0 0 0 0 0
36 17 0 0 0 0 0 0 0 0 0 0 0
37 28 0 0 0 0 0 0 0 0 0 0 0
38 34 0 0 0 0 0 0 0 0 0 0 0
39 22 0 0 0 0 0 0 0 0 0 0 0
40 16 0 0 0 0 0 0 0 0 0 0 0
41 17 0 0 0 0 0 0 0 0 0 0 0
42 21 0 0 0 0 0 0 0 0 0 0 0
43 19 0 0 0 0 0 0 0 0 0 0 0
44 17 0 0 0 0 0 0 0 0 0 0 0
45 17 0 0 0 0 0 0 0 0 0 0 0
46 15 0 0 0 0 0 0 0 0 0 0 0
47 13 0 0 0 0 0 0 0 0 0 0 0
48 14 0 0 0 0 0 0 0 0 0 0 0
49 10 0 0 0 0 0 0 0 0 0 0 0
50 8 0 0 0 0 0 0 0 0 0 0 0
51 14 0 0 0 0 0 0 0 0 0 0 0
52 15 0 0 0 0 0 0 0 0 0 0 0
53 12 0 0 0 0 0 0 0 0 0 0 0
54 17 0 0 0 0 0 0 0 0 0 0 0
55 14 0 0 0 0 0 0 0 0 0 0 0
56 15 0 0 0 0 0 0 0 0 0 0 0
57 11 0 0 0 0 0 0 0 0 0 0 0
58 16 0 0 0 0 0 0 0 0 0 0 0
59 5 0 0 0 0 0 0 0 0 0 0 0
60 6 0 0 0 0 0 0 0 0 0 0 0
61 14 0 0 0 0 0 0 0 0 0 0 0
62 15 0 0 0 0 0 0 0 0 0 0 0
63 19 0 0 0 0 0 0 0 0 0 0 0
64 11 0 0 0 0 0 0 0 0 0 0 0
65 13 0 0 0 0 0 0 0 0 0 0 0
66 17 0 0 0 0 0 0 0 0 0 0 0
67 9 0 0 0 0 0 0 0 0 0 0 0
68 10 0 0 0 0 0 0 0 0 0 0 0
69 7 0 0 0 0 0 0 0 0 0 0 0
70 15 0 0 0 0 0 0 0 0 0 0 0
71 4 0 0 0 0 0 0 0 0 0 0 0
72 10 0 0 0 0 0 0 0 0 0 0 0
73 10 0 0 0 0 0 0 0 0 0 0 0
74 12 0 0 0 0 0 0 0 0 0 0 0
75 14 0 0 0 0 0 0 0 0 0 0 0
76 11 0 0 0 0 0 0 0 0 0 0 0
77 6 0 0 0 0 0 0 0 0 0 0 0
78 11 0 0 0 0 0 0 0 0 0 0 0
79 10 0 0 0 0 0 0 0 0 0 0 0
80 11 0 0 0 0 0 0 0 0 0 0 0
81 9 0 0 0 0 0 0 0 0 0 0 0
82 16 0 0 0 0 0 0 0 0 0 0 0
83 11 0 0 0 0 0 0 0 0 0 0 0
84 8 0 0 0 0 0 0 0 0 0 0 0
85 11 0 0 0 0 0 0 0 0 0 0 0
86 5 0 0 0 0 0 0 0 0 0 0 0
87 5 0 0 0 0 0 0 0 0 0 0 0
88 9 0 0 0 0 0 0 0 0 0 0 0
89 6 0 0 0 0 0 0 0 0 0 0 0
90 10 0 0 0 0 0 0 0 0 0 0 0
91 4 0 0 0 0 0 0 0 0 0 0 0
92 4 0 0 0 0 0 0 0 0 0 0 0
93 10 0 0 0 0 0 0 0 0 0 0 0
94 8 0 0 0 0 0 0 0 0 0 0 0
95 7 0 0 0 0 0 0 0 0 0 0 0
96 8 0 0 0 0 0 0 0 0 0 0 0
97 8 0 0 0 1 0 0 0 0 0 0 0
98 10 0 0 0 0 0 0 0 0 0 0 0
99 11 0 0 0 0 0 0 0 0 0 0 0
100 10 0 0 0 0 0 0 0 0 0 0 0
