#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8 AS=9 AS=10 AS=11
1 3091 0 0 0 0 0 0 0 0 0 0 0
2 1568 1 0 0 0 0 0 0 0 0 0 0
3 1065 0 0 0 0 0 0 0 0 0 0 0
4 812 0 0 0 0 0 0 0 0 0 0 0
5 632 0 0 0 0 0 0 0 0 0 0 0
6 525 0 0 0 0 0 0 0 0 0 0 0
7 445 0 0 0 0 0 0 0 0 0 0 0
8 375 0 0 0 0 0 0 0 0 0 0 0
9 324 0 0 0 0 0 0 0 0 0 0 0
10 320 0 0 0 0 0 0 0 0 0 0 0
11 266 0 0 0 0 0 0 0 0 0 0 0
12 251 0 0 0 0 0 0 0 0 0 0 0
13 246 0 0 0 0 0 0 0 0 0 0 0
14 223 0 0 0 0 0 0 0 0 0 0 0
15 211 0 0 0 0 0 0 0 0 0 0 0
16 211 0 0 0 0 0 0 0 0 0 0 0
17 207 0 0 0 0 0 0 0 0 0 0 0
18 171 0 0 0 0 0 0 0 0 0 0 0
19 170 0 0 0 0 0 0 0 0 0 0 0
20 158 0 0 0 0 0 0 0 0 0 0 0
21 133 0 0 0 0 0 0 0 0 0 0 0
22 134 0 0 0 0 0 0 0 0 0 0 0
23 147 0 0 0 0 0 0 0 0 0 0 0
24 133 0 0 0 0 0 0 0 0 0 0 0
25 99 0 0 0 0 0 0 0 0 0 0 0
26 131 0 0 0 0 0 0 0 0 0 0 0
27 117 0 0 0 0 0 0 0 0 0 0 0
28 111 0 0 0 0 0 0 0 0 0 0 0
29 119 0 0 0 0 0 0 0 0 0 0 0
30 107 0 0 0 0 0 0 0 0 0 0 0
31 106 0 0 0 0 0 0 0 0 0 0 0
32 94 0 0 0 0 0 0 0 0 0 0 0
33 105 0 0 0 0 0 0 0 0 0 0 0
34 91 0 0 0 0 0 0 0 0 0 0 0
35 96 0 0 0 0 0 0 0 0 0 0 0
36 89 0 0 0 0 0 0 0 0 0 0 0
37 96 0 0 0 0 0 0 0 0 0 0 0
38 79 0 0 0 0 0 0 0 0 0 0 0
39 90 0 0 0 0 0 0 0 0 0 0 0
40 92 0 0 0 0 0 0 0 0 0 0 0
41 86 0 0 0 0 0 0 0 0 0 0 0
42 80 0 0 0 0 0 0 0 0 0 0 0
43 60 0 0 0 0 0 0 0 0 0 0 0
44 62 0 0 0 0 0 0 0 0 0 0 0
45 64 0 0 0 0 0 0 0 0 0 0 0
46 78 0 0 0 0 0 0 0 0 0 0 0
47 77 0 0 0 0 0 0 0 0 0 0 0
48 71 0 0 0 0 0 0 0 0 0 0 0
49 78 0 0 0 0 0 0 0 0 0 0 0
50 59 0 0 0 0 0 0 0 0 0 0 0
51 75 0 0 0 0 0 0 0 0 0 0 0
52 66 0 0 0 0 0 0 0 0 0 0 0
53 41 0 0 0 0 0 0 0 0 0 0 0
54 49 0 0 0 0 0 0 0 0 0 0 0
55 66 0 0 0 0 0 0 0 0 0 0 0
56 77 0 0 0 0 0 0 0 0 0 0 0
57 56 0 0 0 0 0 0 0 0 0 0 0
58 45 0 0 0 0 0 0 0 0 0 0 0
59 55 0 0 0 0 0 0 0 0 0 0 0
60 54 0 0 0 0 0 0 0 0 0 0 0
61 45 0 0 0 0 0 0 0 0 0 0 0
62 47 0 0 0 0 0 0 0 0 0 0 0
63 57 0 0 0 0 0 0 0 0 0 0 0
64 47 0 0 0 0 0 0 0 0 0 0 0
65 58 0 0 0 0 0 0 0 0 0 0 0
66 52 0 0 0 0 0 0 0 0 0 0 0
67 46 0 0 0 0 0 0 0 0 0 0 0
68 37 0 0 0 0 0 0 0 0 0 0 0
69 47 0 0 0 0 0 0 0 0 0 0 0
70 40 0 0 0 0 0 0 0 0 0 0 0
71 47 0 0 0 0 0 0 0 0 0 0 0
72 47 0 0 0 0 0 0 0 0 0 0 0
73 50 0 0 0 0 0 0 0 0 0 0 0
74 36 0 0 0 0 0 0 0 0 0 0 0
75 43 0 0 0 0 0 0 0 0 0 0 0
76 47 0 0 0 0 0 0 0 0 0 0 0
77 42 0 0 0 0 0 0 0 0 0 0 0
78 31 0 0 0 0 0 0 0 0 0 0 0
79 37 0 0 0 0 0 0 0 0 0 0 0
80 28 0 0 0 0 0 0 0 0 0 0 0
81 37 0 0 0 0 0 0 0 0 0 0 0
82 43 0 0 0 0 0 0 0 0 0 0 0
83 44 0 0 0 0 0 0 0 0 0 0 0
84 32 0 0 0 0 0 0 0 0 0 0 0
85 35 0 0 0 0 0 0 0 0 0 0 0
86 33 0 0 0 0 0 0 0 0 0 0 0
87 36 0 0 0 0 0 0 0 0 0 0 0
88 45 0 0 0 0 0 0 0 0 0 0 0
89 29 0 0 0 0 0 0 0 0 0 0 0
90 39 0 0 0 0 0 0 0 0 0 0 0
91 29 0 0 0 0 0 0 0 0 0 0 0
92 35 0 0 0 0 0 0 0 0 0 0 0
93 30 0 0 0 0 0 0 0 0 0 0 0
94 37 0 0 0 0 0 0 0 0 0 0 0
95 37 0 0 0 0 0 0 0 0 0 0 0
96 36 0 0 0 0 0 0 0 0 0 0 0
97 37 0 0 0 0 0 0 0 0 0 0 0
98 31 0 0 0 0 0 0 0 0 0 0 0
99 37 0 0 0 0 0 0 0 0 0 0 0
100 32 0 0 0 0 0 0 0 0 0 0 0
