#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8 AS=9 AS=10
1 2193 0 0 0 0.0756219 0 0.0156042 0 0.045536 0.169022 0.322216
2 1056 0 0 0 0.012272 0 0.116866 0 0.0168519 0.119022 0.0501654
3 756 0 0.453571 0 0 0 0.0876494 0 0.0197203 0.0442935 0.0405182
4 567 0 0 0 0.094859 0 0.0564409 0 0.0154177 0.00815217 0.0104741
5 443 0 0.175 0 0.00696517 0 0.0474768 0 0.0494801 0.0171196 0.00799338
6 367 0 0 0 0.0208955 0 0.0169323 0 0.045536 0.0130435 0.0214994
7 320 0 0 0 0.0311774 0 0.0312085 0 0.0111151 0.0192935 0.00826902
8 256 0 0 0 0.00895522 0 0.00996016 0 0.013625 0.0402174 0.00358324
9 226 0 0 0 0.00961857 0 0.00265604 0 0.0430262 0.00271739 0.0162624
10 207 0 0 0 0.0162521 0 0.00431607 0 0.035138 0.00326087 0.00964719
11 197 0 0 0 0.00729685 0 0.00564409 0 0.00932234 0.0220109 0.0140573
12 190 0 0 0 0.0212272 0 0.00763612 0 0.0168519 0.0144022 0.000826902
13 169 0 0 0 0.00696517 0 0.00166003 0 0.00143421 0.0138587 0.0242558
14 147 0 0 0 0 0.0309524 0.0302125 0 0.00466117 0 0.00826902
15 148 0 0 0 0.0079602 0 0.00664011 0 0.0125493 0.00217391 0.0168137
16 139 0 0 0 0.0218905 0 0.00830013 0 0.00358551 0.00217391 0.00248071
17 132 0 0 0 0.00995025 0 0.0063081 0 0.00681248 0.00298913 0.0146086
18 113 0 0 0 0 0 0.00996016 0 0 0.00163043 0.0212238
19 148 0 0 0 0.00199005 0 0.00298805 0 0.0250986 0.0149457 0.00220507
20 94 0 0 0 0.015257 0 0.00498008 0 0.00215131 0.00271739 0.00468578
21 104 0 0 0 0 0 0.00830013 0 0.000717103 0.0125 0.00854465
22 90 0 0 0 0.0066335 0 0.0116202 0 0.000717103 0.00543478 0.00358324
23 105 0 0 0 0.0135987 0 0.0146082 0 0.000717103 0.00407609 0.000826902
24 99 0 0 0 0.0126036 0 0.00664011 0 0.00537827 0.0013587 0.00578831
25 91 0 0 0 0.0013267 0 0.00298805 0 0.00107565 0.00625 0.014333
26 82 0 0 0 0.00066335 0.00238095 0 0 0.0111151 0.00298913 0.0101985
27 92 0 0 0 0.0195688 0 0.0059761 0 0.00143421 0.00271739 0.000275634
28 79 0 0 0 0.00199005 0 0.000996016 0 0.00788813 0.00108696 0.0121279
29 87 0 0 0 0.0135987 0.00238095 0 0 0.00358551 0.00842391 0.00110254
30 73 0 0 0 0.0139303 0 0.00498008 0 0.00143421 0.000271739 0.00303197
31 80 0 0 0 0.00895522 0 0.00265604 0 0.010398 0.00244565 0.00192944
32 80 0 0 0 0.00066335 0 0.00298805 0 0 0.0122283 0.00661521
33 58 0 0 0 0.00497512 0 0 0 0.00286841 0.00706522 0.00248071
34 63 0 0 0 0.00696517 0 0.000332005 0 0.00250986 0.00652174 0.00275634
35 55 0 0 0 0.00497512 0 0.00298805 0 0 0.00570652 0.00275634
36 59 0 0 0 0 0.00952381 0.00232404 0 0.00752958 0.00706522 0.000275634
37 49 0 0 0 0.00464345 0 0 0 0.00430262 0.00516304 0.00110254
38 55 0 0 0 0.0053068 0 0.00498008 0 0.000358551 0.00380435 0.00248071
39 55 0 0 0 0.0026534 0 0.0126162 0 0.00143421 0.00108696 0.000275634
40 56 0 0 0.0107143 0.0119403 0 0 0 0.00286841 0.00108696 0.000551268
41 59 0 0 0 0.0026534 0 0.00365206 0 0.00824668 0.00163043 0.00303197
42 49 0 0 0 0.00331675 0 0.0059761 0 0.00609537 0.00108696 0
43 42 0 0 0 0.0013267 0 0.00398406 0 0.00645393 0 0.00220507
44 62 0 0 0 0.00066335 0 0.00464807 0 0.00430262 0.00407609 0.00523705
45 45 0 0 0 0.000331675 0 0.00232404 0 0.00430262 0.00434783 0.00248071
46 43 0 0 0 0.00331675 0 0.00531208 0 0.00250986 0.00108696 0.0016538
47 32 0 0 0 0.00331675 0 0.00265604 0 0.00143421 0.00190217 0.000826902
48 55 0 0 0 0.0112769 0 0.00298805 0 0.000717103 0.00271739 0
49 53 0 0 0 0.000331675 0 0.00498008 0 0.00968089 0 0.00275634
50 56 0 0 0 0.00066335 0 0.00564409 0 0.00215131 0.0048913 0.00358324
51 35 0 0 0 0.00331675 0 0.00199203 0 0.00466117 0.000815217 0.000826902
52 34 0 0 0.00357143 0.00497512 0 0 0 0.00250986 0.000815217 0.00192944
53 42 0 0 0 0 0 0.00464807 0 0.00466117 0.000271739 0.00385888
54 48 0 0 0 0.00862355 0 0.00332005 0 0.00358551 0.000271739 0.000275634
55 38 0 0 0 0.00066335 0 0.00332005 0 0.00143421 0.000815217 0.00523705
56 36 0 0 0 0.00298507 0 0.00132802 0 0.00250986 0.00326087 0.00110254
57 30 0 0 0 0.000331675 0 0.00796813 0 0.00179276 0 0
58 33 0 0 0 0.00066335 0.00238095 0 0 0.00107565 0.00543478 0.00192944
59 52 0 0 0 0.000995025 0 0.0142762 0 0.000358551 0.000271739 0.00110254
60 40 0 0 0 0.0053068 0 0.000332005 0 0.00466117 0.00163043 0.00110254
61 43 0 0 0 0.0053068 0.0119048 0 0 0.00322696 0.00244565 0.00110254
62 31 0 0 0 0.00199005 0 0.00298805 0 0.00358551 0.00163043 0
63 41 0 0 0 0 0 0.00132802 0 0.00968089 0.00217391 0.000551268
64 37 0 0 0 0.00298507 0 0.00166003 0 0.00322696 0.00190217 0.00192944
65 39 0 0 0 0.00165837 0 0.00332005 0 0.00430262 0.000815217 0.00248071
66 30 0 0 0 0.00298507 0 0.000332005 0 0.00107565 0.00108696 0.00358324
67 34 0 0 0 0.00431177 0 0 0 0.00250986 0.00353261 0.000275634
68 26 0 0 0 0.00364842 0 0.000332005 0 0.000358551 0.00217391 0.00137817
69 29 0 0 0 0.00331675 0 0.00132802 0 0.00430262 0.000815217 0
70 38 0 0 0 0.00563847 0 0.00166003 0 0.00501972 0.000271739 0.000275634
71 29 0 0 0 0.0013267 0 0.00398406 0 0.00250986 0.000543478 0.00110254
72 33 0 0 0 0.00298507 0 0.00232404 0 0.00286841 0.00217391 0.000275634
73 17 0 0 0 0.0013267 0.00952381 0 0 0 0.00108696 0.00137817
74 30 0 0 0 0.0026534 0 0.00166003 0 0.00143421 0.00163043 0.00192944
75 33 0 0 0 0.00199005 0 0 0 0.00322696 0.00353261 0.00137817
76 20 0 0 0 0 0 0.000332005 0 0.00107565 0.00380435 0.000551268
77 28 0 0 0 0.00364842 0 0.00199203 0 0.00322696 0.000543478 0
78 27 0 0 0 0.000995025 0.00238095 0 0 0.00394407 0.00217391 0.00110254
