#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8 AS=9 AS=10 AS=11
1 2193 1 0 0 0 1 0 1 0 0 0 0
2 1056 1 0 0 0 0 1 0 0 0 0 0
3 756 1 0 0 0 0 1 1 0 0 1 0
4 567 0 0 0 0 0 1 0 0 0 0 0
5 443 1 0 0 0 0 1 1 0 0 0 0
6 367 0 0 0 0 0 0 1 0 0 0 0
7 320 0 0 0 0 1 0 0 0 0 0 0
8 256 1 0 0 0 0 0 0 0 0 0 0
9 226 0 0 0 0 0 0 1 0 0 0 0
10 207 0 0 0 0 0 0 1 0 0 0 0
11 197 0 0 0 0 0 0 0 0 0 0 0
12 190 0 0 0 0 0 0 0 0 0 0 0
13 169 0 0 0 0 0 0 0 0 0 1 0
14 147 0 0 0 0 0 0 0 0 0 0 0
15 148 0 0 0 0 0 0 0 0 0 0 0
16 139 0 0 0 0 0 0 0 0 0 0 0
17 132 0 0 0 0 0 0 0 0 0 0 0
18 113 0 0 0 0 0 0 0 0 0 0 0
19 148 0 0 0 0 0 0 0 0 0 0 0
20 94 0 0 0 0 0 0 0 0 0 0 0
21 104 0 0 0 0 0 0 0 0 0 0 0
22 90 0 0 0 0 0 0 0 0 0 0 0
23 105 0 0 0 0 0 0 0 0 0 0 0
24 99 0 0 0 0 0 0 0 0 0 0 0
25 91 0 0 0 0 0 0 0 0 0 0 0
26 82 0 0 0 0 0 0 0 0 0 0 0
27 92 0 0 0 0 0 0 0 0 0 0 0
28 79 0 0 0 0 0 0 0 0 0 0 0
29 87 0 0 0 0 0 0 0 0 0 0 0
30 73 0 0 0 0 0 0 0 0 0 0 0
31 80 0 0 0 0 0 0 0 0 0 0 0
32 80 0 0 0 0 0 0 0 0 0 0 0
33 58 0 0 0 0 0 0 0 0 0 0 0
34 63 0 0 0 0 0 0 0 0 0 0 0
35 55 0 0 0 0 0 0 0 0 0 0 0
36 59 0 0 0 0 0 0 0 0 0 0 0
37 49 0 0 0 0 0 0 0 0 0 0 0
38 55 0 0 0 0 0 0 0 0 0 0 0
39 55 0 0 0 0 0 0 0 0 0 0 0
40 56 0 0 0 0 0 0 0 0 0 0 0
41 59 0 0 0 0 0 0 0 0 0 0 0
42 49 0 0 0 0 0 0 0 0 0 0 0
43 42 0 0 0 0 0 0 0 0 0 0 0
44 62 0 0 0 0 0 0 0 0 0 0 0
45 45 0 0 0 0 0 0 0 0 0 0 0
46 43 0 0 0 0 0 0 0 0 0 0 0
47 32 0 0 0 0 0 0 0 0 0 0 0
48 55 0 0 0 0 0 0 0 0 0 0 0
49 53 0 0 0 0 0 0 0 0 0 0 0
50 56 0 0 0 0 0 0 0 0 0 0 0
51 35 0 0 0 0 0 0 0 0 0 0 0
52 34 0 0 0 0 0 0 0 0 0 0 0
53 42 0 0 0 0 0 0 0 0 0 0 0
54 48 0 0 0 0 0 0 0 0 0 0 0
55 38 0 0 0 0 0 0 0 0 0 0 0
56 36 0 0 0 0 0 0 0 0 0 0 0
57 30 0 0 0 0 0 0 0 0 0 0 0
58 33 0 0 0 0 0 0 0 0 0 0 0
59 52 0 0 0 0 0 0 0 0 0 0 0
60 40 0 0 0 0 0 0 0 0 0 0 0
61 43 0 0 0 0 0 0 0 0 0 0 0
62 31 0 0 0 0 0 0 0 0 0 0 0
63 41 0 0 0 0 0 0 0 0 0 0 0
64 37 0 0 0 0 0 0 0 0 0 0 0
65 39 0 0 0 0 0 0 0 0 0 0 0
66 30 0 0 0 0 0 0 0 0 0 0 0
67 34 0 0 0 0 0 0 0 0 0 0 0
68 26 0 0 0 0 0 0 0 0 0 0 0
69 29 0 0 0 0 0 0 0 0 0 0 0
70 38 0 0 0 0 0 0 0 0 0 0 0
71 29 0 0 0 0 0 0 0 0 0 0 0
72 33 0 0 0 0 0 0 0 0 0 0 0
73 17 0 0 0 0 0 0 0 0 0 0 0
74 30 0 0 0 0 0 0 0 0 0 0 0
75 33 0 0 0 0 0 0 0 0 0 0 0
76 20 0 0 0 0 0 0 0 0 0 0 0
77 28 0 0 0 0 0 0 0 0 0 0 0
78 27 0 0 0 0 0 0 0 0 0 0 0
79 33 0 0 0 0 0 0 0 0 0 0 0
80 29 0 0 0 0 0 0 0 0 0 0 0
81 36 0 0 0 0 0 0 0 0 0 0 0
82 22 0 0 0 0 0 0 0 0 0 0 0
83 24 0 0 0 0 0 0 0 0 0 0 0
84 22 0 0 0 0 0 0 0 0 0 0 0
85 20 0 0 0 0 0 0 0 0 0 0 0
86 21 0 0 0 0 0 0 0 0 0 0 0
87 24 0 0 0 0 0 0 0 0 0 0 0
88 25 0 0 0 0 0 0 0 0 0 0 0
89 24 0 0 0 0 0 0 0 0 0 0 0
90 17 0 0 0 0 0 0 0 0 0 0 0
91 23 0 0 0 0 0 0 0 0 0 0 0
92 24 0 0 0 0 0 0 0 0 0 0 0
93 30 0 0 0 0 0 0 0 0 0 0 0
94 17 0 0 0 0 0 0 0 0 0 0 0
95 29 0 0 0 0 0 0 0 0 0 0 0
96 22 0 0 0 0 0 0 0 0 0 0 0
97 21 0 0 0 0 0 0 0 0 0 0 0
98 23 0 0 0 0 0 0 0 0 0 0 0
99 26 0 0 0 0 0 0 0 0 0 0 0
100 19 0 0 0 0 0 0 0 0 0 0 0
101 13 0 0 0 0 0 0 0 0 0 0 0
102 18 0 0 0 0 0 0 0 0 0 0 0
103 17 0 0 0 0 0 0 0 0 0 0 0
