#rank q_avg rank q_avg
1 1 0 0
2 1 0 0
3 1 0 0
4 1 0 0
5 1 0 0
6 1 0 0
7 1 0 0
8 1 0 0
9 1 0 0
10 1 0 0
11 1 0 0
12 1 0 0
13 1 0 0
14 1 0 0
15 1 0 0
16 1 0 0
17 1 0 0
18 1 0 0
19 1 0 0
20 1 0 0
21 1 0 0
22 1 0 0
23 1 0 0
24 1 0 0
25 1 0 0
26 1 0 0
27 1 0 0
28 1 0 0
29 1 0 0
30 1 0 0
31 1 0 0
32 1 0 0
33 1 0 0
34 1 0 0
35 1 0 0
36 1 0 0
37 1 0 0
38 1 0 0
39 1 0 0
40 1 0 0
41 1 0 0
42 1 0 0
43 1 0 0
44 1 0 0
45 1 0 0
46 1 0 0
47 1 0 0
48 1 0 0
49 1 0 0
50 1 0 0
51 1 0 0
52 1 0 0
53 1 0 0
54 1 0 0
55 1 0 0
56 1 0 0
57 1 0 0
58 1 0 0
59 1 0 0
60 1 0 0
61 1 0 0
62 1 0 0
63 1 0 0
64 1 0 0
65 1 0 0
66 1 0 0
67 1 0 0
68 1 0 0
69 1 0 0
70 1 0 0
71 1 0 0
72 1 0 0
73 1 0 0
74 1 0 0
75 1 0 0
76 1 0 0
77 1 0 0
78 1 0 0
79 1 0 0
80 1 0 0
81 1 0 0
82 1 0 0
83 1 0 0
84 1 0 0
85 1 0 0
86 1 0 0
87 1 0 0
88 1 0 0
89 1 0 0
90 1 0 0
91 1 0 0
92 1 0 0
93 1 0 0
94 1 0 0
95 1 0 0
96 1 0 0
97 1 0 0
98 1 0 0
99 1 0 0
100 1 0 0
101 1 0 0
102 1 0 0
103 1 0 0
104 1 0 0
105 1 0 0
106 1 0 0
107 1 0 0
108 1 0 0
109 1 0 0
110 1 0 0
111 1 0 0
112 1 0 0
113 1 0 0
114 2 0 0
115 1 0 0
116 1 0 0
117 1 0 0
118 1 0 0
119 2 0 0
120 2 0 0
121 2 0 0
122 1 0 0
123 2 0 0
124 1 0 0
125 1 0 0
126 2 0 0
127 2 0 0
128 2 0 0
129 2 0 0
130 1 0 0
131 1 0 0
132 1 0 0
133 1 0 0
134 2 0 0
135 1 0 0
136 1 0 0
137 2 0 0
138 1 0 0
139 2 0 0
140 1 0 0
141 2 0 0
142 2 0 0
143 2 0 0
144 2 0 0
145 1 0 0
146 1 0 0
147 2 0 0
148 1 0 0
149 2 0 0
150 1 0 0
151 2 0 0
152 2 0 0
153 1 0 0
154 2 0 0
155 2 0 0
156 2 0 0
157 2 0 0
158 2 0 0
159 2 0 0
160 2 0 0
161 2 0 0
162 2 0 0
163 1 0 0
164 1 0 0
165 1 0 0
166 1 0 0
167 1 0 0
168 1 0 0
169 1 0 0
170 2 0 0
171 1 0 0
172 1 0 0
173 2 0 0
174 1 0 0
175 1.88365 0 0
176 1 0 0
177 1 0 0
178 1 0 0
179 1 0 0
180 2 0 0
181 2 0 0
182 1 0 0
183 2 0 0
184 1 0 0
185 1 0 0
186 1 0 0
187 2 0 0
188 1 0 0
189 1 0 0
190 1 0 0
191 1 0 0
192 1 0 0
193 1 0 0
194 2 0 0
195 1 0 0
196 1 0 0
197 1 0 0
198 2 0 0
199 2 0 0
200 2 0 0
201 1 0 0
202 1 0 0
203 1 0 0
204 1 0 0
205 2 0 0
206 1 0 0
207 1 0 0
208 1 0 0
209 1 0 0
210 1 0 0
211 2 0 0
212 1 0 0
213 1 0 0
214 2 0 0
215 2 0 0
216 2 0 0
217 1 0 0
218 1 0 0
219 2 0 0
220 1 0 0
221 1 0 0
222 1 0 0
223 2 0 0
224 2 0 0
225 2 0 0
226 1 0 0
227 1 0 0
228 1 0 0
229 1 0 0
230 1 0 0
231 1 0 0
232 1 0 0
233 1 0 0
234 2 0 0
235 2 0 0
236 1 0 0
237 1 0 0
238 2 0 0
239 2 0 0
240 2 0 0
241 2 0 0
242 1 0 0
243 2 0 0
244 2 0 0
245 2 0 0
246 1 0 0
247 2 0 0
248 1 0 0
249 1 0 0
250 1 0 0
251 2 0 0
252 2 0 0
253 2 0 0
254 2 0 0
255 1 0 0
256 1 0 0
257 2 0 0
258 1 0 0
259 2 0 0
260 1 0 0
261 2 0 0
262 2 0 0
263 2 0 0
264 2 0 0
265 1 0 0
266 2 0 0
267 2 0 0
268 1 0 0
269 2 0 0
270 1 0 0
271 2 0 0
272 2 0 0
273 1 0 0
274 1 0 0
275 2 0 0
276 1 0 0
277 2 0 0
278 2 0 0
279 1 0 0
280 2 0 0
281 2 0 0
282 2 0 0
283 1 0 0
284 2 0 0
285 1 0 0
286 2 0 0
287 2 0 0
288 1 0 0
289 1 0 0
290 2 0 0
291 1 0 0
292 2 0 0
293 2 0 0
294 1 0 0
295 2 0 0
296 2 0 0
297 1 0 0
298 1 0 0
299 1 0 0
300 2 0 0
301 1 0 0
302 1 0 0
303 2 0 0
304 2 0 0
305 2 0 0
306 1 0 0
307 1 0 0
308 1 0 0
309 2 0 0
310 1 0 0
311 1 0 0
312 1 0 0
313 1 0 0
314 2 0 0
315 1 0 0
316 2 0 0
317 1 0 0
318 1 0 0
319 1 0 0
320 2 0 0
321 2 0 0
322 2 0 0
323 1 0 0
324 2 0 0
325 1 0 0
326 2 0 0
327 1 0 0
328 1 0 0
329 2 0 0
330 2 0 0
331 2 0 0
332 2 0 0
333 2 0 0
334 1 0 0
335 2 0 0
336 1 0 0
337 2 0 0
338 1 0 0
339 1 0 0
340 1 0 0
341 1 0 0
342 1 0 0
343 2 0 0
344 1 0 0
345 1 0 0
346 1 0 0
347 1 0 0
348 1 0 0
349 1 0 0
350 1 0 0
351 2 0 0
352 2 0 0
353 1 0 0
354 2 0 0
355 1 0 0
356 2 0 0
357 2 0 0
358 1 0 0
359 1 0 0
360 1 0 0
361 2 0 0
362 1 0 0
363 1 0 0
364 1 0 0
365 2 0 0
366 1 0 0
367 2 0 0
368 1 0 0
369 1 0 0
370 2 0 0
371 1 0 0
372 1 0 0
373 1 0 0
374 2 0 0
375 2 0 0
376 1 0 0
377 1 0 0
378 2 0 0
379 2 0 0
380 2 0 0
381 2 0 0
382 1 0 0
383 1 0 0
384 1 0 0
385 1 0 0
386 2 0 0
387 1 0 0
388 1 0 0
389 1 0 0
390 1 0 0
391 1 0 0
392 1 0 0
393 1 0 0
394 2 0 0
395 2 0 0
396 1 0 0
397 1 0 0
398 1 0 0
399 2 0 0
400 1 0 0
401 1 0 0
402 1 0 0
403 2 0 0
404 2 0 0
405 2 0 0
406 1 0 0
407 1 0 0
408 2 0 0
409 2 0 0
410 1 0 0
411 2 0 0
412 2 0 0
413 1 0 0
414 1 0 0
415 2 0 0
416 2 0 0
417 1 0 0
418 2 0 0
419 1 0 0
420 1 0 0
421 1 0 0
422 2 0 0
423 1 0 0
424 1 0 0
425 1 0 0
426 1 0 0
427 1 0 0
428 2 0 0
429 2 0 0
430 1 0 0
431 2 0 0
432 2 0 0
433 2 0 0
434 1 0 0
435 1 0 0
436 1 0 0
437 2 0 0
438 1 0 0
439 2 0 0
440 1 0 0
441 1 0 0
442 2 0 0
443 2 0 0
444 2 0 0
445 2 0 0
446 2 0 0
447 2 0 0
448 1 0 0
449 1 0 0
450 1 0 0
451 2 0 0
452 1 0 0
453 1 0 0
454 1 0 0
455 1 0 0
456 2 0 0
457 2 0 0
458 2 0 0
459 1 0 0
460 2 0 0
461 1 0 0
462 1 0 0
463 1 0 0
464 2 0 0
465 2 0 0
466 2 0 0
467 1 0 0
468 2 0 0
469 2 0 0
470 1 0 0
471 1 0 0
472 1 0 0
473 2 0 0
474 1 0 0
475 1 0 0
476 1 0 0
477 2 0 0
478 1 0 0
479 2 0 0
480 2 0 0
481 1 0 0
482 1 0 0
483 2 0 0
484 1 0 0
485 2 0 0
486 2 0 0
487 2 0 0
488 2 0 0
489 2 0 0
490 1 0 0
491 2 0 0
492 1 0 0
493 1 0 0
494 1 0 0
495 2 0 0
496 2 0 0
497 2 0 0
498 2 0 0
499 1 0 0
500 1 0 0
501 2 0 0
502 2 0 0
503 2 0 0
504 2 0 0
505 1 0 0
506 1 0 0
507 2 0 0
508 2 0 0
509 2 0 0
510 2 0 0
511 2 0 0
512 1 0 0
513 1 0 0
514 1 0 0
515 2 0 0
516 2 0 0
517 1 0 0
518 1 0 0
519 2 0 0
520 1 0 0
521 2 0 0
522 2 0 0
523 1 0 0
524 2 0 0
525 2 0 0
526 2 0 0
527 2 0 0
528 2 0 0
529 2 0 0
530 1 0 0
531 1 0 0
532 1 0 0
533 1 0 0
534 2 0 0
535 1 0 0
536 2 0 0
537 2 0 0
538 2 0 0
539 2 0 0
540 1 0 0
541 2 0 0
542 1 0 0
543 1 0 0
544 2 0 0
545 2 0 0
546 2 0 0
547 2 0 0
548 2 0 0
549 2 0 0
550 2 0 0
551 1 0 0
552 2 0 0
553 2 0 0
554 1 0 0
555 2 0 0
556 1 0 0
557 2 0 0
558 2 0 0
559 2 0 0
560 2 0 0
561 2 0 0
562 2 0 0
563 2 0 0
564 2 0 0
565 1 0 0
566 1 0 0
567 2 0 0
568 2 0 0
569 2 0 0
570 2 0 0
571 2 0 0
572 1 0 0
573 2 0 0
574 2 0 0
575 2 0 0
576 2 0 0
577 2 0 0
578 2 0 0
579 2 0 0
580 1 0 0
581 2 0 0
582 1 0 0
583 2 0 0
584 2 0 0
585 2 0 0
586 2 0 0
587 2 0 0
588 2 0 0
589 2 0 0
590 2 0 0
591 2 0 0
592 1 0 0
593 2 0 0
594 2 0 0
595 2 0 0
596 2 0 0
597 2 0 0
598 2 0 0
599 1 0 0
600 1 0 0
601 1 0 0
602 2 0 0
603 2 0 0
604 2 0 0
605 1 0 0
606 2 0 0
607 2 0 0
608 2 0 0
609 1 0 0
610 2 0 0
611 2 0 0
612 2 0 0
613 1 0 0
614 2 0 0
615 2 0 0
616 2 0 0
617 2 0 0
618 2 0 0
619 2 0 0
620 2 0 0
621 2 0 0
622 2 0 0
623 2 0 0
624 2 0 0
625 1 0 0
626 2 0 0
627 2 0 0
628 2 0 0
629 2 0 0
630 2 0 0
631 1 0 0
632 2 0 0
633 2 0 0
634 1 0 0
635 2 0 0
636 2 0 0
637 2 0 0
638 1 0 0
639 2 0 0
640 1 0 0
641 2 0 0
642 2 0 0
643 2 0 0
644 2 0 0
645 2 0 0
646 1 0 0
647 2 0 0
648 2 0 0
649 1 0 0
650 1 0 0
651 2 0 0
652 1 0 0
653 1 0 0
654 2 0 0
655 2 0 0
656 1 0 0
657 2 0 0
658 2 0 0
659 1 0 0
660 1 0 0
661 1 0 0
662 1 0 0
663 1 0 0
664 2 0 0
665 2 0 0
666 1 0 0
667 2 0 0
668 2 0 0
669 2 0 0
670 1 0 0
671 2 0 0
672 2 0 0
673 1 0 0
674 2 0 0
675 2 0 0
676 1 0 0
677 2 0 0
678 2 0 0
679 2 0 0
680 2 0 0
681 2 0 0
682 1 0 0
683 1 0 0
684 1 0 0
685 2 0 0
686 1 0 0
687 2 0 0
688 2 0 0
689 2 0 0
690 1 0 0
691 2 0 0
692 1 0 0
693 1 0 0
694 2 0 0
695 2 0 0
696 2 0 0
697 2 0 0
698 2 0 0
699 1 0 0
700 2 0 0
701 2 0 0
702 1 0 0
703 1 0 0
704 2 0 0
705 2 0 0
706 1 0 0
707 2 0 0
708 2 0 0
709 2 0 0
710 2 0 0
711 2 0 0
712 2 0 0
713 1 0 0
714 2 0 0
715 2 0 0
716 2 0 0
717 1 0 0
718 1 0 0
719 2 0 0
720 2 0 0
721 2 0 0
722 2 0 0
723 2 0 0
724 2 0 0
725 2 0 0
726 2 0 0
727 2 0 0
728 2 0 0
729 2 0 0
730 1 0 0
731 2 0 0
732 2 0 0
733 2 0 0
734 2 0 0
735 2 0 0
736 2 0 0
737 2 0 0
738 1 0 0
739 2 0 0
740 2 0 0
741 2 0 0
742 2 0 0
743 2 0 0
744 2 0 0
745 2 0 0
746 1 0 0
747 1 0 0
748 1 0 0
749 2 0 0
750 1 0 0
751 2 0 0
752 2 0 0
753 2 0 0
754 2 0 0
755 2 0 0
756 2 0 0
757 1 0 0
758 2 0 0
759 2 0 0
760 2 0 0
761 2 0 0
762 2 0 0
763 1 0 0
764 2 0 0
765 2 0 0
766 1 0 0
767 2 0 0
768 2 0 0
769 2 0 0
770 2 0 0
771 2 0 0
772 2 0 0
773 2 0 0
774 2 0 0
775 2 0 0
776 2 0 0
777 2 0 0
778 2 0 0
779 2 0 0
780 2 0 0
781 1 0 0
782 2 0 0
783 1 0 0
784 2 0 0
785 1 0 0
786 2 0 0
787 2 0 0
788 1 0 0
789 2 0 0
790 2 0 0
791 2 0 0
792 2 0 0
793 2 0 0
794 2 0 0
795 2 0 0
796 2 0 0
797 2 0 0
798 2 0 0
799 1 0 0
800 2 0 0
801 1 0 0
802 2 0 0
803 2 0 0
804 2 0 0
805 2 0 0
806 2 0 0
807 1 0 0
808 2 0 0
809 2 0 0
810 2 0 0
811 1 0 0
812 2 0 0
813 2 0 0
814 1 0 0
815 2 0 0
816 2 0 0
817 2 0 0
818 2 0 0
819 2 0 0
820 2 0 0
821 2 0 0
822 2 0 0
823 2 0 0
824 2 0 0
825 2 0 0
826 2 0 0
827 2 0 0
828 2 0 0
829 2 0 0
830 2 0 0
831 2 0 0
832 2 0 0
833 1 0 0
834 2 0 0
835 2 0 0
836 1 0 0
837 2 0 0
838 2 0 0
839 2 0 0
840 2 0 0
841 2 0 0
842 2 0 0
843 2 0 0
844 2 0 0
845 2 0 0
846 2 0 0
847 1 0 0
848 2 0 0
849 2 0 0
850 2 0 0
851 1 0 0
852 1 0 0
853 2 0 0
854 2 0 0
855 1 0 0
856 2 0 0
857 2 0 0
858 2 0 0
859 2 0 0
860 2 0 0
861 2 0 0
862 2 0 0
863 2 0 0
864 2 0 0
865 2 0 0
866 2 0 0
