rank q_avg
1 3
2 2
3 2
4 1
5 1
6 2
7 2
8 2
9 1.22642
10 1
11 1
12 1
13 1
14 1
15 1
16 1
17 1
18 1
19 1
20 1
21 1
22 1
23 1
24 2
25 2
26 1
27 2
28 2
29 1
30 1
31 1
32 1
33 1
34 1
35 1
36 1
37 1
38 1
39 1
40 2
41 1
42 1
43 1
44 1
45 1
46 1
47 1
48 1
49 2
50 2
51 1
52 1
53 2
54 1
55 1
56 1
57 1
58 2
59 1
60 2
61 2
62 1
63 2
64 2
65 2
66 1
67 1
68 2
69 2
70 2
71 2
72 1
73 2
74 2
75 2
76 2
77 2
78 2
79 2
80 2
81 2
82 2
83 1
84 2
85 2
86 1
87 2
88 2
89 2
90 2
91 2
92 2
93 2
94 2
95 1
96 2
97 2
98 2
99 2
100 2
