#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8
1 1534 0 0 0 0 1 0 0 0
2 810 0 0 0 0 0 0 1 0
3 525 0 0 0 0 0 0 0 0
4 345 0 0 0 0 0 0 0 0
5 296 0 0 0 0 0 0 0 0
6 252 0 0 0 0 0 0 0 0
7 198 0 0 0 0 0 0 0 0
8 207 0 0 0 0 0 0 0 0
9 168 0 0 0 0 0 0 0 0
10 167 0 0 0 0 0 0 0 0
11 135 0 0 0 0 0 0 0 0
12 126 0 0 0 0 0 0 0 0
13 114 0 0 0 0 0 0 0 0
14 125 0 0 0 0 0 0 0 0
15 119 0 0 0 0 0 0 0 0
16 86 0 0 0 0 0 0 0 0
17 101 0 0 0 0 0 0 0 0
18 92 0 0 0 0 0 0 0 0
19 71 0 0 0 0 0 0 0 0
20 72 0 0 0 0 0 0 0 0
21 55 0 0 0 0 0 0 0 0
22 73 0 0 0 0 0 0 0 0
23 49 0 0 0 0 0 0 0 0
24 70 0 0 0 0 0 0 0 0
25 55 0 0 0 0 0 0 0 0
26 61 0 0 0 0 0 0 0 0
27 52 0 0 0 0 0 0 0 0
28 56 0 0 0 0 0 0 0 0
29 49 0 0 0 0 0 0 0 0
30 42 0 0 0 0 0 0 0 0
31 41 0 0 0 0 0 0 0 0
32 58 0 0 0 0 0 0 0 0
33 66 0 0 0 0 0 0 0 0
34 44 0 0 0 0 0 0 0 0
35 41 0 0 0 0 0 0 0 0
36 46 0 0 0 0 0 0 0 0
37 41 0 0 0 0 0 0 0 0
38 36 0 0 0 0 0 0 0 0
39 38 0 0 0 0 0 0 0 0
40 43 0 0 0 0 0 0 0 0
41 45 0 0 0 0 0 0 0 0
42 39 0 0 0 0 0 0 0 0
43 29 0 0 0 0 0 0 0 0
44 31 0 0 0 0 0 0 0 0
45 34 0 0 0 0 0 0 0 0
46 35 0 0 0 0 0 0 0 0
47 29 0 0 0 0 0 0 0 0
48 36 0 0 0 0 0 0 0 0
49 32 0 0 0 0 0 0 0 0
50 32 0 0 0 0 0 0 0 0
51 27 0 0 0 0 0 0 0 0
52 33 0 0 0 0 0 0 0 0
53 23 0 0 0 0 0 0 0 0
54 27 0 0 0 0 0 0 0 0
55 29 0 0 0 0 0 0 0 0
