rank q_avg
1 4
2 2
3 1
4 2
5 2
6 2
7 2
8 2
9 1.39024
10 1
11 1
12 2
13 1
14 1
15 1
16 1
17 1
18 1
19 1
20 2
21 2
22 1
23 1
24 1
25 2
26 2
27 1
28 2
29 2
30 2
31 2
32 2
33 1
34 2
35 1
36 1
37 2
38 2
39 2
40 2
41 2
42 2
43 2
44 1
45 2
46 2
47 2
48 2
49 2
50 2
51 2
52 2
53 2
54 2
55 2
56 2
57 2
58 2
59 2
60 2
61 2
62 2
63 2
64 2
65 2
66 2
67 2
68 2
69 2
70 NaN
71 2
72 2
73 2
74 2
75 1
76 2
77 2
78 2
79 1
80 2
81 2
82 2
83 2
84 2
85 2
86 2
87 2
88 2
89 2
90 2
91 2
92 2
93 2
94 2
95 2
96 2
97 2
98 2
99 2
100 2
