#rank q_avg rank q_avg
1 5 0 0
2 5 0 0
3 5 0 0
4 5 0 0
5 5 0 0
6 5 0 0
7 5 0 0
8 5 0 0
9 5 0 0
10 5 0 0
11 5 0 0
12 5 0 0
13 5 0 0
14 5 0 0
15 NaN 0 NaN
16 5 0 0
17 NaN 0 NaN
18 5 0 0
19 5 0 0
20 NaN 0 NaN
21 NaN 0 NaN
22 5 0 0
23 5 0 0
24 5 0 0
25 NaN 0 NaN
26 5 0 0
27 NaN 0 NaN
28 5 0 0
29 5 0 0
30 5 0 0
31 5 0 0
32 5 0 0
33 5 0 0
34 5 0 0
35 5 0 0
36 NaN 0 NaN
37 5 0 0
38 NaN 0 NaN
39 5 0 0
40 5 0 0
41 NaN 0 NaN
42 5 0 0
43 5 0 0
44 5 0 0
45 5 0 0
46 5 0 0
47 NaN 0 NaN
48 NaN 0 NaN
49 5 0 0
50 NaN 0 NaN
51 5 0 0
52 NaN 0 NaN
53 NaN 0 NaN
54 NaN 0 NaN
55 5 0 0
56 5 0 0
57 NaN 0 NaN
58 NaN 0 NaN
59 NaN 0 NaN
60 5 0 0
61 NaN 0 NaN
62 NaN 0 NaN
63 NaN 0 NaN
64 NaN 0 NaN
65 NaN 0 NaN
66 NaN 0 NaN
67 NaN 0 NaN
68 NaN 0 NaN
69 NaN 0 NaN
70 NaN 0 NaN
71 NaN 0 NaN
72 5 0 0
73 5 0 0
74 NaN 0 NaN
75 NaN 0 NaN
76 5 0 0
77 NaN 0 NaN
78 NaN 0 NaN
79 5 0 0
80 5 0 0
81 NaN 0 NaN
82 NaN 0 NaN
83 NaN 0 NaN
84 NaN 0 NaN
85 NaN 0 NaN
86 NaN 0 NaN
87 NaN 0 NaN
88 NaN 0 NaN
89 5 0 0
90 NaN 0 NaN
91 NaN 0 NaN
92 5 0 0
93 NaN 0 NaN
94 NaN 0 NaN
95 NaN 0 NaN
96 NaN 0 NaN
97 5 0 0
98 NaN 0 NaN
99 NaN 0 NaN
100 NaN 0 NaN
