#rank requests AS=1 AS=2
1 291 0 0
2 157 0 1
3 108 0 1
4 80 0 0
5 61 0 0
6 46 0 0
7 38 0 0
8 47 0 0
9 47 0 0
10 36 0 0
11 26 0 0
12 29 0 0
13 26 0 0
14 17 0 0
15 22 0 0
16 23 0 0
17 18 0 0
18 15 0 0
19 18 0 0
20 18 0 0
21 11 0 0
22 19 0 0
23 15 0 0
24 12 0 0
25 7 0 0
26 8 0 0
27 19 0 0
28 5 0 0
29 9 0 0
30 9 0 0
31 8 0 0
32 8 0 0
33 15 0 0
34 6 0 0
35 14 0 0
36 9 0 0
37 8 0 0
38 9 0 0
39 12 0 0
40 6 0 0
41 7 0 0
42 9 0 0
43 9 0 0
44 11 0 0
45 10 0 0
46 9 0 0
47 6 0 0
48 9 0 0
49 6 0 0
50 4 0 0
51 5 0 0
52 5 0 0
53 3 0 0
54 7 0 0
55 8 0 0
56 8 0 0
57 5 0 0
58 5 0 0
59 7 0 0
60 4 0 0
61 3 0 0
62 11 0 0
63 8 0 0
64 8 0 0
65 1 0 0
66 5 0 0
67 3 0 0
68 8 0 0
69 2 0 0
70 0 0 0
71 5 0 0
72 7 0 0
73 3 0 0
74 1 0 0
75 2 0 0
76 4 0 0
77 2 0 0
78 4 0 0
79 3 0 0
80 5 0 0
81 3 0 0
82 3 0 0
83 7 0 0
84 2 0 0
85 3 0 0
86 9 0 0
87 5 0 0
88 4 0 0
89 4 0 0
90 3 0 0
91 4 0 0
92 6 0 0
93 4 0 0
94 6 0 0
95 3 0 0
96 2 0 0
97 3 0 0
98 5 0 0
99 1 0 0
100 2 0 0
