rank q_avg
1 5
2 5
3 5
4 5
5 5
6 5
7 5
8 5
9 5
10 5
11 5
12 5
13 5
14 5
15 NaN
16 5
17 NaN
18 5
19 5
20 NaN
21 NaN
22 5
23 5
24 5
25 NaN
26 5
27 NaN
28 5
29 5
30 5
31 5
32 5
33 5
34 5
35 5
36 NaN
37 5
38 NaN
39 5
40 5
41 NaN
42 5
43 5
44 5
45 5
46 5
47 NaN
48 NaN
49 5
50 NaN
51 5
52 NaN
53 NaN
54 NaN
55 5
56 5
57 NaN
58 NaN
59 NaN
60 5
61 NaN
62 NaN
63 NaN
64 NaN
65 NaN
66 NaN
67 NaN
68 NaN
69 NaN
70 NaN
71 NaN
72 5
73 5
74 NaN
75 NaN
76 5
77 NaN
78 NaN
79 5
80 5
81 NaN
82 NaN
83 NaN
84 NaN
85 NaN
86 NaN
87 NaN
88 NaN
89 5
90 NaN
91 NaN
92 5
93 NaN
94 NaN
95 NaN
96 NaN
97 5
98 NaN
99 NaN
100 NaN
