#rank q_avg rank q_avg
1 5 0 0
2 5 0 0
3 5 0 0
4 5 0 0
5 5 0 0
6 5 0 0
7 5 0 0
8 5 0 0
9 5 0 0
10 5 0 0
11 5 0 0
12 5 0 0
13 5 0 0
14 5 0 0
15 5 0 0
16 5 0 0
17 5 0 0
18 4 0 0
19 4 0 0
20 NaN 0 NaN
21 4 0 0
22 4 0 0
23 4 0 0
24 4 0 0
25 4 0 0
26 4 0 0
27 4 0 0
28 4 0 0
29 4 0 0
30 NaN 0 NaN
31 NaN 0 NaN
32 4 0 0
33 4 0 0
34 4 0 0
35 NaN 0 NaN
36 4 0 0
37 NaN 0 NaN
38 4 0 0
39 NaN 0 NaN
40 4 0 0
41 NaN 0 NaN
42 4 0 0
43 NaN 0 NaN
44 NaN 0 NaN
45 4 0 0
46 4 0 0
47 NaN 0 NaN
48 4 0 0
49 NaN 0 NaN
50 NaN 0 NaN
51 NaN 0 NaN
52 4 0 0
53 NaN 0 NaN
54 NaN 0 NaN
55 4 0 0
56 NaN 0 NaN
57 NaN 0 NaN
58 NaN 0 NaN
59 NaN 0 NaN
60 4 0 0
61 NaN 0 NaN
62 NaN 0 NaN
63 NaN 0 NaN
64 NaN 0 NaN
65 NaN 0 NaN
66 NaN 0 NaN
67 NaN 0 NaN
68 NaN 0 NaN
69 4 0 0
70 NaN 0 NaN
71 NaN 0 NaN
72 NaN 0 NaN
73 NaN 0 NaN
74 4 0 0
75 NaN 0 NaN
76 NaN 0 NaN
77 NaN 0 NaN
78 NaN 0 NaN
79 NaN 0 NaN
80 NaN 0 NaN
81 NaN 0 NaN
82 NaN 0 NaN
83 NaN 0 NaN
84 NaN 0 NaN
85 4 0 0
86 NaN 0 NaN
87 4 0 0
88 NaN 0 NaN
89 NaN 0 NaN
90 4 0 0
91 NaN 0 NaN
92 NaN 0 NaN
93 NaN 0 NaN
94 NaN 0 NaN
95 NaN 0 NaN
96 NaN 0 NaN
97 NaN 0 NaN
98 NaN 0 NaN
99 NaN 0 NaN
100 NaN 0 NaN
101 NaN 0 NaN
102 NaN 0 NaN
103 NaN 0 NaN
104 NaN 0 NaN
