#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8
1 1469 0 0 0 0 1 1 1 0
2 752 0 0 0 0 1 0 0 1
3 528 0 0 0 0 0 0 1 0
4 410 0 0 0 0 0 1 1 0
5 310 0 0 0 0 1 0 0 1
6 277 0 0 0 0 0 0 0 1
7 219 0 0 0 0 0 0 0 0
8 217 0 0 0 0 0 0 0 0
9 192 0 0 0 0 0 0 0 0
10 150 0 0 0 0 0 0 0 0
11 126 0 0 0 0 0 0 0 0
12 126 0 0 0 0 0 0 0 0
13 123 0 0 0 0 0 0 0 0
14 124 0 0 0 0 0 0 0 0
15 111 0 0 0 0 0 0 0 0
16 105 0 0 0 0 0 0 0 0
17 86 0 0 0 0 0 0 0 0
18 84 0 0 0 0 0 0 0 0
19 84 0 0 0 0 0 0 0 0
20 61 0 0 0 0 0 0 0 0
21 72 0 0 0 0 0 0 0 0
22 63 0 0 0 0 0 0 0 0
23 68 0 0 0 0 0 0 0 0
24 58 0 0 0 0 0 0 0 0
25 72 0 0 0 0 0 0 0 0
26 51 0 0 0 0 0 0 0 0
27 62 0 0 0 0 0 0 0 0
28 49 0 0 0 0 0 0 0 0
29 56 0 0 0 0 0 0 0 0
30 55 0 0 0 0 0 0 0 0
31 52 0 0 0 0 0 0 0 0
32 49 0 0 0 0 0 0 0 0
33 49 0 0 0 0 0 0 0 0
34 33 0 0 0 0 0 0 0 0
35 33 0 0 0 0 0 0 0 0
36 39 0 0 0 0 0 0 0 0
37 36 0 0 0 0 0 0 0 0
38 45 0 0 0 0 0 0 0 0
39 39 0 0 0 0 0 0 0 0
40 42 0 0 0 0 0 0 0 0
41 29 0 0 0 0 0 0 0 0
42 30 0 0 0 0 0 0 0 0
43 39 0 0 0 0 0 0 0 0
44 31 0 0 0 0 0 0 0 0
45 44 0 0 0 0 0 0 0 0
46 27 0 0 0 0 0 0 0 0
47 35 0 0 0 0 0 0 0 0
48 26 0 0 0 0 0 0 0 0
49 29 0 0 0 0 0 0 0 0
50 25 0 0 0 0 0 0 0 0
51 42 0 0 0 0 0 0 0 0
52 32 0 0 0 0 0 0 0 0
53 19 0 0 0 0 0 0 0 0
54 27 0 0 0 0 0 0 0 0
55 31 0 0 0 0 0 0 0 0
56 28 0 0 0 0 0 0 0 0
57 27 0 0 0 0 0 0 0 0
58 23 0 0 0 0 0 0 0 0
59 17 0 0 0 0 0 0 0 0
60 31 0 0 0 0 0 0 0 0
61 29 0 0 0 0 0 0 0 0
62 29 0 0 0 0 0 0 0 0
63 28 0 0 0 0 0 0 0 0
64 16 0 0 0 0 0 0 0 0
65 15 0 0 0 0 0 0 0 0
66 21 0 0 0 0 0 0 0 0
67 18 0 0 0 0 0 0 0 0
68 27 0 0 0 0 0 0 0 0
69 24 0 0 0 0 0 0 0 0
70 26 0 0 0 0 0 0 0 0
71 29 0 0 0 0 0 0 0 0
72 24 0 0 0 0 0 0 0 0
73 23 0 0 0 0 0 0 0 0
74 18 0 0 0 0 0 0 0 0
75 13 0 0 0 0 0 0 0 0
76 20 0 0 0 0 0 0 0 0
77 18 0 0 0 0 0 0 0 0
78 15 0 0 0 0 0 0 0 0
79 20 0 0 0 0 0 0 0 0
80 17 0 0 0 0 0 0 0 0
81 11 0 0 0 0 0 0 0 0
82 20 0 0 0 0 0 0 0 0
83 11 0 0 0 0 0 0 0 0
84 25 0 0 0 0 0 0 0 0
85 14 0 0 0 0 0 0 0 0
86 14 0 0 0 0 0 0 0 0
87 17 0 0 0 0 0 0 0 0
88 18 0 0 0 0 0 0 0 0
89 16 0 0 0 0 0 0 0 0
90 17 0 0 0 0 0 0 0 0
91 9 0 0 0 0 0 0 0 0
92 14 0 0 0 0 0 0 0 0
93 18 0 0 0 0 0 0 0 0
94 15 0 0 0 0 0 0 0 0
95 10 0 0 0 0 0 0 0 0
96 18 0 0 0 0 0 0 0 0
97 17 0 0 0 0 0 0 0 0
98 16 0 0 0 0 0 0 0 0
99 12 0 0 0 0 0 0 0 0
100 13 0 0 0 0 0 0 0 0
101 12 0 0 0 0 0 0 0 0
102 19 0 0 0 0 0 0 0 0
103 17 0 0 0 0 0 0 0 0
104 15 0 0 0 0 0 0 0 0
105 13 0 0 0 0 0 0 0 0
106 19 0 0 0 0 0 0 0 0
107 13 0 0 0 0 0 0 0 0
108 9 0 0 0 0 0 0 0 0
109 14 0 0 0 0 0 0 0 0
110 17 0 0 0 0 0 0 0 0
111 10 0 0 0 0 0 0 0 0
112 8 0 0 0 0 0 0 0 0
113 13 0 0 0 0 0 0 0 0
114 11 0 0 0 0 0 0 0 0
115 19 0 0 0 0 0 0 0 0
116 8 0 0 0 0 0 0 0 0
117 9 0 0 0 0 0 0 0 0
118 8 0 0 0 0 0 0 0 0
119 18 0 0 0 0 0 0 0 0
120 15 0 0 0 0 0 0 0 0
121 13 0 0 0 0 0 0 0 0
122 11 0 0 0 0 0 0 0 0
123 13 0 0 0 0 0 0 0 0
124 9 0 0 0 0 0 0 0 0
125 17 0 0 0 0 0 0 0 0
126 6 0 0 0 0 0 0 0 0
127 12 0 0 0 0 0 0 0 0
128 7 0 0 0 0 0 0 0 0
129 8 0 0 0 0 0 0 0 0
130 12 0 0 0 0 0 0 0 0
131 11 0 0 0 0 0 0 0 0
132 10 0 0 0 0 0 0 0 0
133 10 0 0 0 0 0 0 0 0
134 12 0 0 0 0 0 0 0 0
135 13 0 0 0 0 0 0 0 0
136 12 0 0 0 0 0 0 0 0
137 7 0 0 0 0 0 0 0 0
138 14 0 0 0 0 0 0 0 0
139 12 0 0 0 0 0 0 0 0
140 3 0 0 0 0 0 0 0 0
141 11 0 0 0 0 0 0 0 0
142 5 0 0 0 0 0 0 0 0
143 13 0 0 0 0 0 0 0 0
144 5 0 0 0 0 0 0 0 0
145 7 0 0 0 0 0 0 0 0
146 4 0 0 0 0 0 0 0 0
147 19 0 0 0 0 0 0 0 0
148 8 0 0 0 0 0 0 0 0
149 15 0 0 0 0 0 0 0 0
150 12 0 0 0 0 0 0 0 0
151 10 0 0 0 0 0 0 0 0
152 11 0 0 0 0 0 0 0 0
153 7 0 0 0 0 0 0 0 0
154 13 0 0 0 0 0 0 0 0
155 9 0 0 0 0 0 0 0 0
156 14 0 0 0 0 0 0 0 0
157 13 0 0 0 0 0 0 0 0
158 10 0 0 0 0 0 0 0 0
159 13 0 0 0 0 0 0 0 0
160 5 0 0 0 0 0 0 0 0
161 9 0 0 0 0 0 0 0 0
162 11 0 0 0 0 0 0 0 0
163 10 0 0 0 0 0 0 0 0
164 19 0 0 0 0 0 0 0 0
165 4 0 0 0 0 0 0 0 0
166 11 0 0 0 0 0 0 0 0
167 7 0 0 0 0 0 0 0 0
168 8 0 0 0 0 0 0 0 0
169 11 0 0 0 0 0 0 0 0
170 5 0 0 0 0 0 0 0 0
171 8 0 0 0 0 0 0 0 0
172 5 0 0 0 0 0 0 0 0
173 5 0 0 0 0 0 0 0 0
174 6 0 0 0 0 0 0 0 0
175 8 0 0 0 0 0 0 0 0
176 4 0 0 0 0 0 0 0 0
177 13 0 0 0 0 0 0 0 0
178 6 0 0 0 0 0 0 0 0
179 6 0 0 0 0 0 0 0 0
180 9 0 0 0 0 0 0 0 0
181 7 0 0 0 0 0 0 0 0
182 12 0 0 0 0 0 0 0 0
183 9 0 0 0 0 0 0 0 0
184 4 0 0 0 0 0 0 0 0
185 7 0 0 0 0 0 0 0 0
186 7 0 0 0 0 0 0 0 0
187 5 0 0 0 0 0 0 0 0
188 5 0 0 0 0 0 0 0 0
189 14 0 0 0 0 0 0 0 0
190 1 0 0 0 0 0 0 0 0
191 9 0 0 0 0 0 0 0 0
192 4 0 0 0 0 0 0 0 0
193 8 0 0 0 0 0 0 0 0
194 8 0 0 0 0 0 0 0 0
195 6 0 0 0 0 0 0 0 0
196 10 0 0 0 0 0 0 0 0
197 4 0 0 0 0 0 0 0 0
198 7 0 0 0 0 0 0 0 0
199 10 0 0 0 0 0 0 0 0
200 8 0 0 0 0 0 0 0 0
201 9 0 0 0 0 0 0 0 0
202 4 0 0 0 0 0 0 0 0
203 4 0 0 0 0 0 0 0 0
204 4 0 0 0 0 0 0 0 0
205 6 0 0 0 0 0 0 0 0
206 8 0 0 0 0 0 0 0 0
207 4 0 0 0 0 0 0 0 0
208 9 0 0 0 0 0 0 0 0
209 10 0 0 0 0 0 0 0 0
210 3 0 0 0 0 0 0 0 0
211 7 0 0 0 0 0 0 0 0
212 13 0 0 0 0 0 0 0 0
213 7 0 0 0 0 0 0 0 0
214 9 0 0 0 0 0 0 0 0
215 11 0 0 0 0 0 0 0 0
216 8 0 0 0 0 0 0 0 0
217 7 0 0 0 0 0 0 0 0
218 3 0 0 0 0 0 0 0 0
219 7 0 0 0 0 0 0 0 0
220 8 0 0 0 0 0 0 0 0
221 10 0 0 0 0 0 0 0 0
222 7 0 0 0 0 0 0 0 0
223 1 0 0 0 0 0 0 0 0
224 9 0 0 0 0 0 0 0 0
225 5 0 0 0 0 0 0 0 0
226 13 0 0 0 0 0 0 0 0
227 8 0 0 0 0 0 0 0 0
228 7 0 0 0 0 0 0 0 0
229 4 0 0 0 0 0 0 0 0
230 7 0 0 0 0 0 0 0 0
231 3 0 0 0 0 0 0 0 0
232 8 0 0 0 0 0 0 0 0
233 10 0 0 0 0 0 0 0 0
234 3 0 0 0 0 0 0 0 0
235 12 0 0 0 0 0 0 0 0
236 9 0 0 0 0 0 0 0 0
237 9 0 0 0 0 0 0 0 0
238 8 0 0 0 0 0 0 0 0
239 6 0 0 0 0 0 0 0 0
240 3 0 0 0 0 0 0 0 0
241 1 0 0 0 0 0 0 0 0
242 7 0 0 0 0 0 0 0 0
243 7 0 0 0 0 0 0 0 0
244 5 0 0 0 0 0 0 0 0
245 7 0 0 0 0 0 0 0 0
246 0 0 0 0 0 0 0 0 0
247 6 0 0 0 0 0 0 0 0
248 3 0 0 0 0 0 0 0 0
249 10 0 0 0 0 0 0 0 0
250 6 0 0 0 0 0 0 0 0
251 2 0 0 0 0 0 0 0 0
252 5 0 0 0 0 0 0 0 0
253 3 0 0 0 0 0 0 0 0
254 3 0 0 0 0 0 0 0 0
255 10 0 0 0 0 0 0 0 0
256 6 0 0 0 0 0 0 0 0
257 5 0 0 0 0 0 0 0 0
258 6 0 0 0 0 0 0 0 0
259 5 0 0 0 0 0 0 0 0
260 5 0 0 0 0 0 0 0 0
261 2 0 0 0 0 0 0 0 0
262 8 0 0 0 0 0 0 0 0
263 7 0 0 0 0 0 0 0 0
264 9 0 0 0 0 0 0 0 0
265 5 0 0 0 0 0 0 0 0
266 3 0 0 0 0 0 0 0 0
267 7 0 0 0 0 0 0 0 0
268 5 0 0 0 0 0 0 0 0
269 8 0 0 0 0 0 0 0 0
270 7 0 0 0 0 0 0 0 0
271 6 0 0 0 0 0 0 0 0
272 3 0 0 0 0 0 0 0 0
273 5 0 0 0 0 0 0 0 0
274 4 0 0 0 0 0 0 0 0
275 5 0 0 0 0 0 0 0 0
276 10 0 0 0 0 0 0 0 0
277 3 0 0 0 0 0 0 0 0
278 3 0 0 0 0 0 0 0 0
279 10 0 0 0 0 0 0 0 0
280 8 0 0 0 0 0 0 0 0
281 8 0 0 0 0 0 0 0 0
282 5 0 0 0 0 0 0 0 0
283 2 0 0 0 0 0 0 0 0
284 3 0 0 0 0 0 0 0 0
285 5 0 0 0 0 0 0 0 0
286 9 0 0 0 0 0 0 0 0
287 6 0 0 0 0 0 0 0 0
288 6 0 0 0 0 0 0 0 0
289 7 0 0 0 0 0 0 0 0
290 4 0 0 0 0 0 0 0 0
291 7 0 0 0 0 0 0 0 0
292 5 0 0 0 0 0 0 0 0
293 3 0 0 0 0 0 0 0 0
294 8 0 0 0 0 0 0 0 0
295 3 0 0 0 0 0 0 0 0
296 5 0 0 0 0 0 0 0 0
297 10 0 0 0 0 0 0 0 0
298 3 0 0 0 0 0 0 0 0
299 2 0 0 0 0 0 0 0 0
300 3 0 0 0 0 0 0 0 0
301 1 0 0 0 0 0 0 0 0
302 2 0 0 0 0 0 0 0 0
303 1 0 0 0 0 0 0 0 0
304 2 0 0 0 0 0 0 0 0
305 0 0 0 0 0 0 0 0 0
306 6 0 0 0 0 0 0 0 0
307 3 0 0 0 0 0 0 0 0
308 6 0 0 0 0 0 0 0 0
309 2 0 0 0 0 0 0 0 0
310 6 0 0 0 0 0 0 0 0
311 5 0 0 0 0 0 0 0 0
312 5 0 0 0 0 0 0 0 0
313 6 0 0 0 0 0 0 0 0
314 7 0 0 0 0 0 0 0 0
315 3 0 0 0 0 0 0 0 0
316 3 0 0 0 0 0 0 0 0
317 6 0 0 0 0 0 0 0 0
318 7 0 0 0 0 0 0 0 0
319 6 0 0 0 0 0 0 0 0
320 5 0 0 0 0 0 0 0 0
321 10 0 0 0 0 0 0 0 0
322 7 0 0 0 0 0 0 0 0
323 2 0 0 0 0 0 0 0 0
324 4 0 0 0 0 0 0 0 0
325 3 0 0 0 0 0 0 0 0
326 2 0 0 0 0 0 0 0 0
327 6 0 0 0 0 0 0 0 0
328 5 0 0 0 0 0 0 0 0
329 6 0 0 0 0 0 0 0 0
330 2 0 0 0 0 0 0 0 0
331 0 0 0 0 0 0 0 0 0
332 5 0 0 0 0 0 0 0 0
333 4 0 0 0 0 0 0 0 0
334 1 0 0 0 0 0 0 0 0
335 8 0 0 0 0 0 0 0 0
336 6 0 0 0 0 0 0 0 0
337 7 0 0 0 0 0 0 0 0
338 1 0 0 0 0 0 0 0 0
339 4 0 0 0 0 0 0 0 0
