#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7
1 1254 0 0 0 0 0 1 0
2 615 0 0 1 1 0 0 0
3 411 0 1 0 0 0 1 0
4 332 0 0 0 0 0 1 0
5 266 0 1 0 0 0 0 0
6 204 0 0 0 0 0 0 1
7 153 0 0 0 0 0 0 0
8 167 0 0 1 0 0 0 0
9 155 0 0 0 0 1 0 0
10 120 0 0 0 0 0 0 0
11 115 0 0 0 0 0 0 0
12 113 0 0 0 0 0 0 0
13 103 0 0 0 0 0 0 0
14 93 0 0 0 0 0 0 0
15 83 0 0 0 0 0 0 0
16 77 0 0 0 0 0 0 0
17 73 0 0 0 0 0 0 0
18 77 0 0 0 0 0 0 0
19 68 0 0 0 0 0 0 0
20 61 0 0 0 0 0 0 0
21 59 0 0 0 0 0 0 0
22 63 0 0 0 0 0 0 0
23 52 0 0 0 0 0 0 0
24 40 0 0 0 0 0 0 0
25 38 0 0 0 0 0 0 0
26 39 0 0 0 0 0 0 0
27 47 0 0 0 0 0 0 0
28 43 0 0 0 0 0 0 0
29 37 0 0 0 0 0 0 0
30 43 0 0 0 0 0 0 0
31 37 0 0 0 0 0 0 0
32 35 0 0 0 0 0 0 0
33 48 0 0 0 0 0 0 0
34 22 0 0 0 0 0 0 0
35 48 0 0 0 0 0 0 0
36 34 0 0 0 0 0 0 0
37 31 0 0 0 0 0 0 0
38 33 0 0 0 0 0 0 0
39 33 0 0 0 0 0 0 0
40 34 0 0 0 0 0 0 0
41 26 0 0 0 0 0 0 0
42 33 0 0 0 0 0 0 0
43 35 0 0 0 0 0 0 0
44 39 0 0 0 0 0 0 0
45 25 0 0 0 0 0 0 0
46 25 0 0 0 0 0 0 0
47 29 0 0 0 0 0 0 0
48 34 0 0 0 0 0 0 0
49 26 0 0 0 0 0 0 0
50 26 0 0 0 0 0 0 0
51 17 0 0 0 0 0 0 0
52 30 0 0 0 0 0 0 0
53 23 0 0 0 0 0 0 0
54 17 0 0 0 0 0 0 0
55 27 0 0 0 0 0 0 0
56 22 0 0 0 0 0 0 0
57 21 0 0 0 0 0 0 0
58 21 0 0 0 0 0 0 0
59 20 0 0 0 0 0 0 0
60 21 0 0 0 0 0 0 0
61 15 0 0 0 0 0 0 0
62 32 0 0 0 0 0 0 0
63 31 0 0 0 0 0 0 0
64 25 0 0 0 0 0 0 0
65 16 0 0 0 0 0 0 0
66 14 0 0 0 0 0 0 0
67 25 0 0 0 0 0 0 0
68 21 0 0 0 0 0 0 0
69 13 0 0 0 0 0 0 0
70 13 0 0 0 0 0 0 0
71 16 0 0 0 0 0 0 0
72 21 0 0 0 0 0 0 0
73 17 0 0 0 0 0 0 0
74 12 0 0 0 0 0 0 0
75 21 0 0 0 0 0 0 0
76 18 0 0 0 0 0 0 0
77 12 0 0 0 0 0 0 0
78 10 0 0 0 0 0 0 0
79 19 0 0 0 0 0 0 0
80 14 0 0 0 0 0 0 0
81 11 0 0 0 0 0 0 0
82 20 0 0 0 0 0 0 0
83 18 0 0 0 0 0 0 0
84 12 0 0 0 0 0 0 0
85 16 0 0 0 0 0 0 0
86 25 0 0 0 0 0 0 0
87 20 0 0 0 0 0 0 0
88 12 0 0 0 0 0 0 0
89 16 0 0 0 0 0 0 0
90 13 0 0 0 0 0 0 0
91 10 0 0 0 0 0 0 0
92 16 0 0 0 0 0 0 0
93 12 0 0 0 0 0 0 0
94 13 0 0 0 0 0 0 0
95 13 0 0 0 0 0 0 0
96 16 0 0 0 0 0 0 0
97 15 0 0 0 0 0 0 0
98 12 0 0 0 0 0 0 0
99 9 0 0 0 0 0 0 0
100 11 0 0 0 0 0 0 0
