#rank requests intersection
1 3526 1
2 1796 0
3 1131 0
4 856 0
5 654 0
6 576 0
7 474 0
8 435 0
9 403 0
10 376 0
11 292 0
12 281 0
13 268 0
14 279 0
15 235 0
16 207 0
17 200 0
18 209 0
19 169 0
20 173 0
21 148 0
22 141 0
23 151 0
24 159 0
25 133 0
26 156 0
27 109 0
28 142 0
29 113 0
30 97 0
31 124 0
32 127 0
33 125 0
34 100 0
35 103 0
36 111 0
37 94 0
38 86 0
39 83 0
40 95 0
41 80 0
42 95 0
43 68 0
44 76 0
45 87 0
46 85 0
47 65 0
48 71 0
49 81 0
50 78 0
51 74 0
52 67 0
53 70 0
54 64 0
55 64 0
56 59 0
57 76 0
58 59 0
59 59 0
60 60 0
61 53 0
62 67 0
63 52 0
64 48 0
65 70 0
66 65 0
67 40 0
68 54 0
69 71 0
70 49 0
71 36 0
72 48 0
73 39 0
74 39 0
75 46 0
76 43 0
77 42 0
78 56 0
79 44 0
80 60 0
81 42 0
82 32 0
83 44 0
84 53 0
85 44 0
86 41 0
87 44 0
88 28 0
89 49 0
90 34 0
91 42 0
92 41 0
93 29 0
94 44 0
95 34 0
96 34 0
97 28 0
98 44 0
99 35 0
100 34 0
101 29 0
102 28 0
103 29 0
104 29 0
105 23 0
106 35 0
107 33 0
108 36 0
109 31 0
110 32 0
111 31 0
112 34 0
113 34 0
114 27 0
115 26 0
116 20 0
117 18 0
118 30 0
119 23 0
120 30 0
121 29 0
122 30 0
123 21 0
124 24 0
125 25 0
126 30 0
127 23 0
128 40 0
129 28 0
130 19 0
131 24 0
132 32 0
133 24 0
134 31 0
135 26 0
136 21 0
137 22 0
138 17 0
139 22 0
140 21 0
141 15 0
142 12 0
143 25 0
144 27 0
145 28 0
146 21 0
147 24 0
148 21 0
149 25 0
150 28 0
151 15 0
152 19 0
153 14 0
154 24 0
155 22 0
156 19 0
157 20 0
158 25 0
159 19 0
160 25 0
161 22 0
162 17 0
163 15 0
164 22 0
165 24 0
166 18 0
167 21 0
168 19 0
169 26 0
170 24 0
171 22 0
172 20 0
173 8 0
174 17 0
175 14 0
176 21 0
177 14 0
178 25 0
179 19 0
